energy_ev,total_up,Mo_p_up,Mo_d_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up
-6.00000000,5.12457172,2.16175837,3.08276483,0.16154831,0.00272307,0.02293668,3.59077702
-5.99399700,5.28200986,2.24826353,3.16090165,0.17160391,0.00282909,0.02428317,3.69541277
-5.98799400,5.44536926,2.33853762,3.24030411,0.18241292,0.00294188,0.02573168,3.80342335
-5.98199100,5.61336993,2.43180633,3.31994846,0.19397455,0.00306098,0.02728471,3.91376480
-5.97598799,5.78455052,2.52718781,3.39874620,0.20627316,0.00318578,0.02894207,4.02528199
-5.96998499,5.95729808,2.62371181,3.47557724,0.21927628,0.00331551,0.03070056,4.13673784
-5.96398199,6.12988120,2.72034099,3.54932342,0.23293309,0.00344920,0.03255364,4.24684412
-5.95797899,6.30048526,2.81599372,3.61890084,0.24717327,0.00358575,0.03449125,4.35429263
-5.95197599,6.46724826,2.90956744,3.68328964,0.26190649,0.00372390,0.03649970,4.45778542
-5.94597299,6.62829615,2.99996174,3.74155995,0.27702235,0.00386227,0.03856172,4.55606300
-5.93996998,6.78177639,3.08610050,3.79289306,0.29239111,0.00399935,0.04065663,4.64792935
-5.93396698,6.92588892,3.16695231,3.83659709,0.30786496,0.00413355,0.04276067,4.73227313
-5.92796398,7.05891387,3.24154872,3.87211673,0.32328007,0.00426324,0.04484738,4.80808460
-5.92196098,7.17923555,3.30899982,3.89903717,0.33845918,0.00438674,0.04688817,4.87446794
-5.91595798,7.28536280,3.36850715,3.91708237,0.35321492,0.00450238,0.04885298,4.93064918
-5.90995498,7.37594560,3.41937353,3.92610828,0.36735353,0.00460855,0.05071099,4.97597995
-5.90395198,7.44978846,3.46101029,3.92609189,0.38067916,0.00470369,0.05243141,5.00993775
-5.89794897,7.50586105,3.49294176,3.91711716,0.39299844,0.00478636,0.05398434,5.03212330
-5.89194597,7.54330658,3.51480765,3.89935886,0.40412524,0.00485527,0.05534153,5.04225598
-5.88594297,7.56144872,3.52636345,3.87306563,0.41388554,0.00490928,0.05647725,5.04016801
-5.87993997,7.55979735,3.52747943,3.83854326,0.42212223,0.00494745,0.05736900,5.02579838
-5.87393697,7.53805382,3.51813862,3.79613942,0.42869960,0.00496907,0.05799820,4.99918711
-5.86793397,7.49611587,3.49843403,3.74623041,0.43350751,0.00497363,0.05835075,4.96047049
-5.86193097,7.43408232,3.46856562,3.68921090,0.43646495,0.00496092,0.05841749,4.90987764
-5.85592796,7.35225745,3.42883697,3.62548672,0.43752300,0.00493095,0.05819449,4.84772859
-5.84992496,7.25115468,3.37965191,3.55547112,0.43666691,0.00488399,0.05768317,4.77443380
-5.84392196,7.13149919,3.32151111,3.47958420,0.43391740,0.00482058,0.05689036,4.69049485
-5.83791896,6.99422866,3.25500838,3.39825513,0.42933096,0.00474150,0.05582807,4.59650594
-5.83191596,6.84049167,3.18082665,3.31192675,0.42299918,0.00464776,0.05451323,4.49315551
-5.82591296,6.67164281,3.09973325,3.22106167,0.41504715,0.00454060,0.05296719,4.38122737
-5.81990995,6.48923394,3.01257426,3.12614914,0.40563093,0.00442143,0.05121518,4.26160059
-5.81390695,6.29500097,2.92026758,3.02771177,0.39493415,0.00429184,0.04928564,4.13524755
-5.80790395,6.09084574,2.82379453,2.92631131,0.38316386,0.00415354,0.04720945,4.00322934
-5.80190095,5.87881273,2.72418960,2.82255270,0.37054577,0.00400835,0.04501915,3.86668818
-5.79589795,5.66106073,2.62252840,2.71708563,0.35731899,0.00385814,0.04274815,3.72683646
-5.78989495,5.43982953,2.51991360,2.61060339,0.34373042,0.00370481,0.04042985,3.58494220
-5.78389195,5.21740244,2.41745907,2.50383830,0.33002902,0.00355023,0.03809693,3.44231106
-5.77788894,4.99606518,2.31627230,2.39755406,0.31646004,0.00339624,0.03578060,3.30026523
-5.77188594,4.77806237,2.21743550,2.29253480,0.30325943,0.00324456,0.03350994,3.16011958
-5.76588294,4.56555272,2.12198580,2.18957139,0.29064857,0.00309681,0.03131134,3.02315589
-5.75987994,4.36056445,2.03089510,2.08944537,0.27882939,0.00295445,0.02920806,2.89059594
-5.75387694,4.16495231,1.94505014,1.99291135,0.26798014,0.00281875,0.02721988,2.76357463
-5.74787394,3.98035777,1.86523355,1.90067852,0.25825173,0.00269077,0.02536286,2.64311392
-5.74187094,3.80817392,1.79210654,1.81339227,0.24976485,0.00257139,0.02364923,2.53009902
-5.73586793,3.64951644,1.72619390,1.73161680,0.24260785,0.00246122,0.02208740,2.42525764
-5.72986493,3.50520182,1.66787205,1.65581965,0.23683547,0.00236066,0.02068203,2.32914347
-5.72386193,3.37573393,1.61736070,1.58635893,0.23246830,0.00226988,0.01943427,2.24212467
-5.71785893,3.26129958,1.57471849,1.52347398,0.22949320,0.00218884,0.01834197,2.16437795
-5.71185593,3.16177351,1.53984322,1.46728008,0.22786437,0.00211730,0.01740010,2.09588887
-5.70585293,3.07673279,1.51247665,1.41776750,0.22750530,0.00205483,0.01660109,2.03645833
-5.69984992,3.00548044,1.49221396,1.37480514,0.22831134,0.00200085,0.01593532,1.98571538
-5.69384692,2.94707746,1.47851791,1.33814867,0.23015298,0.00195468,0.01539151,1.94313574
-5.68784392,2.90038235,1.47073713,1.30745288,0.23287964,0.00191554,0.01495730,1.90806564
-5.68184092,2.86409675,1.46812825,1.28228787,0.23632407,0.00188258,0.01461961,1.87974999
-5.67583792,2.83681572,1.46988122,1.26215839,0.24030699,0.00185495,0.01436517,1.85736394
-5.66983492,2.81708075,1.47514692,1.24652547,0.24464221,0.00183182,0.01418093,1.84004643
-5.66383192,2.80343387,1.48306639,1.23482955,0.24914181,0.00181240,0.01405444,1.82693475
-5.65782891,2.79447065,1.49280049,1.22651412,0.25362144,0.00179596,0.01397419,1.81719841
-5.65182591,2.78889053,1.50355917,1.22104879,0.25790560,0.00178189,0.01392994,1.81007138
-5.64582291,2.78554243,1.51462930,1.21795103,0.26183266,0.00176969,0.01391294,1.80488118
-5.63981991,2.78346433,1.52540000,1.21680552,0.26525963,0.00175898,0.01391611,1.80107391
