energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Mg_p_up,Mg_p_down,Mg_d_up,Mg_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,1.41114206,-2.50151068,1.27197137,-2.98723394,0.37794589,-0.75602067,0.15472001,-0.37857368,0.00000000,-0.00000000,0.01215556,-0.00690029,0.42390072,-0.99342492,0.04774899,-0.00939095,0.42035255,-0.57542392
-5.99399700,1.36197500,-2.54326579,1.17864590,-3.02016543,0.35832387,-0.76722738,0.14740769,-0.37957558,0.00000000,-0.00000000,0.01256338,-0.00727665,0.39664018,-1.01158850,0.05119800,-0.00999841,0.41755914,-0.58514461
-5.98799400,1.32001787,-2.57813617,1.09498142,-3.04020157,0.34134922,-0.77633515,0.14085332,-0.37950942,0.00000000,-0.00000000,0.01292323,-0.00765445,0.37250823,-1.02658747,0.05463832,-0.01077483,0.41597797,-0.59332287
-5.98199100,1.28542324,-2.60588512,1.02152004,-3.04699071,0.32711669,-0.78332807,0.13511292,-0.37835989,0.00000000,-0.00000000,0.01323271,-0.00802636,0.35163481,-1.03829843,0.05802727,-0.01172718,0.41559370,-0.59994546
-5.97598799,1.25813543,-2.62646219,0.95854195,-3.04046995,0.31565123,-0.78823876,0.13021822,-0.37614676,0.00000000,-0.00000000,0.01349041,-0.00838524,0.33406718,-1.04666590,0.06132085,-0.01286236,0.41634773,-0.60505204
-5.96998499,1.23790426,-2.63998597,0.90607576,-3.02085099,0.30691085,-0.79114109,0.12617712,-0.37292109,0.00000000,-0.00000000,0.01369591,-0.00872439,0.31977409,-1.05169748,0.06447483,-0.01418688,0.41814170,-0.60872888
-5.96398199,1.22430327,-2.64672143,0.86391440,-2.98859846,0.30079106,-0.79214170,0.12297495,-0.36876054,0.00000000,-0.00000000,0.01384967,-0.00903773,0.30865149,-1.05345689,0.06744580,-0.01570647,0.42084196,-0.61110120
-5.95797899,1.21675125,-2.64705315,0.83163542,-2.94440180,0.29713059,-0.79137063,0.12057605,-0.36376386,0.00000000,-0.00000000,0.01395294,-0.00932002,0.30052978,-1.05205571,0.07019222,-0.01742565,0.42428473,-0.61232447
-5.95197599,1.21453598,-2.64145594,0.80862469,-2.88914215,0.29571800,-0.78897171,0.11892589,-0.35804507,0.00000000,-0.00000000,0.01400764,-0.00956702,0.29518189,-1.04764394,0.07267541,-0.01934719,0.42828163,-0.61257506
-5.94597299,1.21683942,-2.63046420,0.79410258,-2.82385581,0.29629908,-0.78509320,0.11795347,-0.35172737,0.00000000,-0.00000000,0.01401617,-0.00977563,0.29233211,-1.04040016,0.07486044,-0.02147164,0.43262556,-0.61204074
-5.93996998,1.22276334,-2.61464175,0.78715175,-2.74969577,0.29858471,-0.77987914,0.11757390,-0.34493744,0.00000000,-0.00000000,0.01398127,-0.00994398,0.29166534,-1.03052162,0.07671693,-0.02379675,0.43709646,-0.61091138
-5.93396698,1.23135489,-2.59455348,0.78674580,-2.66789305,0.30225892,-0.77346187,0.11769120,-0.33779999,0.00000000,-0.00000000,0.01390582,-0.01007146,0.29283642,-1.01821493,0.07821959,-0.02631700,0.44146720,-0.60937032
-5.92796398,1.24163161,-2.57074022,0.79177836,-2.57971927,0.30698722,-0.76595616,0.11820114,-0.33043311,0.00000000,-0.00000000,0.01379275,-0.01015871,0.29547948,-1.00368769,0.07934874,-0.02902317,0.44550915,-0.60758665
-5.92196098,1.25260544,-2.54369792,0.80109201,-2.48645196,0.31242474,-0.75745505,0.11899416,-0.32294440,0.00000000,-0.00000000,0.01364483,-0.01020757,0.29921714,-0.98714153,0.08009054,-0.03190199,0.44899757,-0.60570888
-5.91595798,1.26330560,-2.51386190,0.81350668,-2.38934354,0.31822442,-0.74802779,0.11995828,-0.31542814,0.00000000,-0.00000000,0.01346460,-0.01022098,0.30366939,-0.96876675,0.08043714,-0.03493589,0.45171675,-0.60386000
-5.90995498,1.27280000,-2.48159684,0.82784723,-2.28959516,0.32404482,-0.73771968,0.12098195,-0.30796335,0.00000000,-0.00000000,0.01325431,-0.01020283,0.30846209,-0.94873888,0.08038659,-0.03810301,0.45346489,-0.60213419
-5.90395198,1.28021521,-2.44719245,0.84296979,-2.18833569,0.32955775,-0.72655394,0.12195685,-0.30061298,0.00000000,-0.00000000,0.01301583,-0.01015779,0.31323503,-0.92721716,0.07994270,-0.04137720,0.45405855,-0.60059519
-5.89794897,1.28475469,-2.41086493,0.85778666,-2.08660646,0.33445535,-0.71453527,0.12278052,-0.29342394,0.00000000,-0.00000000,0.01275072,-0.01009110,0.31764938,-0.90434480,0.07911472,-0.04472830,0.45333694,-0.59927617
-5.89194597,1.28571528,-2.37276339,0.87128925,-1.98535146,0.33845672,-0.70165486,0.12335888,-0.28642798,0.00000000,-0.00000000,0.01246016,-0.01000836,0.32139452,-0.88025111,0.07791696,-0.04812260,0.45116574,-0.59818114
-5.88594297,1.28250154,-2.33298073,0.88256888,-1.88541287,0.34131388,-0.68789649,0.12360852,-0.27964320,0.00000000,-0.00000000,0.01214513,-0.00991530,0.32419412,-0.85505491,0.07636829,-0.05152338,0.44744052,-0.59728745
-5.87993997,1.27463803,-2.29156778,0.89083482,-1.78753140,0.34281691,-0.67324326,0.12345875,-0.27307603,0.00000000,-0.00000000,0.01180639,-0.00981755,0.32581128,-0.82886913,0.07449167,-0.05489169,0.44208974,-0.59654932
