energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,2.03359556,0.00547685,0.11787599,0.20072110,1.56723218,1.07239319,0.02519381,0.62017131
-5.99399700,2.01373090,0.00518277,0.11458427,0.19647064,1.57721763,1.05415699,0.02511959,0.61998185
-5.98799400,2.00204283,0.00490175,0.11265708,0.19278228,1.60245167,1.03915163,0.02511360,0.62167751
-5.98199100,1.99811313,0.00463263,0.11200170,0.18970131,1.64246669,1.02712733,0.02517649,0.62520876
-5.97598799,2.00143476,0.00437425,0.11251287,0.18726184,1.69654742,1.01781609,0.02530833,0.63049749
-5.96998499,2.01140946,0.00412555,0.11407388,0.18548443,1.76372550,1.01093329,0.02550830,0.63743406
-5.96398199,2.02734589,0.00388558,0.11655766,0.18437408,1.84277888,1.00617841,0.02577439,0.64587489
-5.95797899,2.04845923,0.00365355,0.11982803,0.18391869,1.93223692,1.00323553,0.02610318,0.65564097
-5.95197599,2.07387336,0.00342889,0.12374121,0.18408816,2.03039257,1.00177380,0.02648962,0.66651746
-5.94597299,2.10262638,0.00321117,0.12814747,0.18483424,2.13532227,1.00144846,0.02692692,0.67825474
-5.93996998,2.13368002,0.00300018,0.13289321,0.18609107,2.24491418,1.00190264,0.02740656,0.69057100
-5.93396698,2.16593350,0.00279588,0.13782322,0.18777657,2.35690454,1.00277039,0.02791834,0.70315656
-5.92796398,2.19824179,0.00259838,0.14278329,0.18979461,2.46892197,1.00368097,0.02845053,0.71567971
-5.92196098,2.22943794,0.00240795,0.14762299,0.19203777,2.57853839,1.00426448,0.02899020,0.72779408
-5.91595798,2.25835915,0.00222494,0.15219867,0.19439078,2.68332544,1.00415890,0.02952349,0.73914736
-5.90995498,2.28387544,0.00204982,0.15637647,0.19673430,2.78091415,1.00301813,0.03003605,0.74939083
-5.90395198,2.30491997,0.00188308,0.16003531,0.19894906,2.86905601,1.00052095,0.03051350,0.75818952
-5.89794897,2.32051961,0.00172528,0.16306962,0.20091996,2.94568265,0.99638031,0.03094189,0.76523247
-5.89194597,2.32982443,0.00157700,0.16539188,0.20254019,3.00896189,0.99035262,0.03130822,0.77024263
