energy_ev,total_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,3.21487070,0.09484742,0.42906671,0.64405175,0.25658628,1.26295686,0.00000000,2.05307572,0.32686660
-5.99399700,3.21802743,0.09654017,0.43146587,0.64823963,0.25335709,1.26149067,0.00000000,2.05861311,0.32757112
-5.98799400,3.20859690,0.09830119,0.43133396,0.64989313,0.24916739,1.25555474,0.00000000,2.05312499,0.32715377
-5.98199100,3.18716131,0.10015195,0.42869096,0.64912525,0.24410186,1.24544445,0.00000000,2.03681167,0.32566473
-5.97598799,3.15452957,0.10210908,0.42360674,0.64609921,0.23826029,1.23154153,0.00000000,2.01009751,0.32316970
-5.96998499,3.11171118,0.10418388,0.41619847,0.64102238,0.23175489,1.21430178,0.00000000,1.97361514,0.31974792
-5.96398199,3.05988297,0.10638214,0.40662639,0.63413861,0.22470728,1.19423976,0.00000000,1.92818218,0.31548977
-5.95797899,3.00035038,0.10870420,0.39508827,0.62571930,0.21724529,1.17191127,0.00000000,1.87477161,0.31049407
-5.95197599,2.93450449,0.11114518,0.38181265,0.61605358,0.20949955,1.14789425,0.00000000,1.81447714,0.30486529
-5.94597299,2.86377701,0.11369541,0.36705132,0.60543812,0.20160020,1.12276896,0.00000000,1.74847527,0.29871057
-5.93996998,2.78959496,0.11634104,0.35107128,0.59416695,0.19367367,1.09709833,0.00000000,1.67798583,0.29213680
-5.93396698,2.71333699,0.11906465,0.33414666,0.58252177,0.18583980,1.07140947,0.00000000,1.60423275,0.28524785
-5.92796398,2.63629317,0.12184593,0.31655074,0.57076318,0.17820931,1.04617687,0.00000000,1.52840690,0.27814197
-5.92196098,2.55962983,0.12466240,0.29854861,0.55912320,0.17088169,1.02180837,0.00000000,1.45163245,0.27090950
-5.91595798,2.48436074,0.12748996,0.28039060,0.54779932,0.16394360,0.99863413,0.00000000,1.37493813,0.26363099
-5.90995498,2.41132559,0.13030352,0.26230669,0.53695026,0.15746777,0.97689926,0.00000000,1.29923442,0.25637565
-5.90395198,2.34117631,0.13307735,0.24450218,0.52669361,0.15151241,0.95676015,0.00000000,1.22529713,0.24920041
-5.89794897,2.27437149,0.13578551,0.22715456,0.51710526,0.14612108,0.93828456,0.00000000,1.15375790,0.24214929
-5.89194597,2.21117852,0.13840207,0.21041165,0.50822053,0.14132294,0.92145537,0.00000000,1.08510120,0.23525336
-5.88594297,2.15168298,0.14090126,0.19439101,0.50003686,0.13713336,0.90617752,0.00000000,1.01966767,0.22853117
-5.87993997,2.09580431,0.14325761,0.17918045,0.49251774,0.13355479,0.89228772,0.00000000,0.95766281,0.22198946
-5.87393697,2.04331668,0.14544596,0.16483953,0.48559764,0.13057780,0.87956629,0.00000000,0.89917027,0.21562446
-5.86793397,1.99387368,0.14744152,0.15140189,0.47918758,0.12818218,0.86775051,0.00000000,0.84416854,0.20942325
-5.86193097,1.94703547,0.14921992,0.13887816,0.47318098,0.12633815,0.85654868,0.00000000,0.79254979,0.20336556
-5.85592796,1.90229696,0.15075726,0.12725931,0.46745952,0.12500741,0.84565425,0.00000000,0.74413989,0.19742557
-5.84992496,1.85911572,0.15203020,0.11652017,0.46189880,0.12414430,0.83475938,0.00000000,0.69871827,0.19157387
-5.84392196,1.81693837,0.15301610,0.10662306,0.45637332,0.12369674,0.82356730,0.00000000,0.65603681,0.18577932
-5.83791896,1.77522452,0.15369328,0.09752120,0.45076098,0.12360716,0.81180312,0.00000000,0.61583686,0.18001090
-5.83191596,1.73346742,0.15404119,0.08916191,0.44494664,0.12381336,0.79922265,0.00000000,0.57786385,0.17423932
-5.82591296,1.69121082,0.15404074,0.08148948,0.43882492,0.12424934,0.78561908,0.00000000,0.54187906,0.16843849
-5.81990995,1.64806173,0.15367467,0.07444754,0.43230222,0.12484611,0.77082747,0.00000000,0.50766831,0.16258663
-5.81390695,1.60369918,0.15292787,0.06798105,0.42529796,0.12553261,0.75472713,0.00000000,0.47504776,0.15666722
-5.80790395,1.55787896,0.15178779,0.06203776,0.41774524,0.12623661,0.73724196,0.00000000,0.44386672,0.15066952
-5.80190095,1.51043493,0.15024486,0.05656927,0.40959092,0.12688579,0.71833915,0.00000000,0.41400815,0.14458886
-5.79589795,1.46127719,0.14829282,0.05153167,0.40079548,0.12740894,0.69802638,0.00000000,0.38538685,0.13842667
-5.78989495,1.41038786,0.14592914,0.04688582,0.39133255,0.12773722,0.67634806,0.00000000,0.35794618,0.13219016
-5.78389195,1.35781496,0.14315536,0.04259733,0.38118837,0.12780558,0.65338079,0.00000000,0.33165360,0.12589192
