energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Li_s_up,Te_p_up,Te_d_up
-6.00000000,1.81149288,0.07284347,0.02561475,0.61137318,0.34452640,0.38762007,0.90506286,0.00000000
-5.99399700,1.73833169,0.06992213,0.02380082,0.58708703,0.32984533,0.37337668,0.87154358,0.00000000
-5.98799400,1.66281681,0.06684627,0.02198694,0.56151798,0.31452403,0.35838957,0.83680210,0.00000000
-5.98199100,1.58585425,0.06366216,0.02019250,0.53502953,0.29876552,0.34288532,0.80125987,0.00000000
-5.97598799,1.50829714,0.06041417,0.01843550,0.50797375,0.28276680,0.32707639,0.76531130,0.00000000
-5.96998499,1.43092249,0.05714350,0.01673218,0.48068112,0.26671329,0.31115552,0.72931290,0.00000000
-5.96398199,1.35441346,0.05388715,0.01509674,0.45345220,0.25077411,0.29529153,0.69357526,0.00000000
-5.95797899,1.27934774,0.05067722,0.01354113,0.42655136,0.23509864,0.27962670,0.65835796,0.00000000
-5.95197599,1.20619198,0.04754045,0.01207495,0.40020284,0.21981419,0.26427560,0.62386763,0.00000000
-5.94597299,1.13530229,0.04449811,0.01070539,0.37458899,0.20502501,0.24932539,0.59025883,0.00000000
-5.93996998,1.06692996,0.04156612,0.00943733,0.34985056,0.19081231,0.23483738,0.55763756,0.00000000
-5.93396698,1.00123171,0.03875538,0.00827344,0.32608889,0.17723536,0.22084964,0.52606692,0.00000000
-5.92796398,0.93828338,0.03607231,0.00721440,0.30336951,0.16433348,0.20738039,0.49557425,0.00000000
-5.92196098,0.87809591,0.03351949,0.00625912,0.28172697,0.15212854,0.19443192,0.46615940,0.00000000
-5.91595798,0.82063238,0.03109642,0.00540502,0.26117028,0.14062798,0.18199470,0.43780328,0.00000000
-5.90995498,0.76582507,0.02880028,0.00464837,0.24168883,0.12982801,0.17005147,0.41047629,0.00000000
-5.90395198,0.71359148,0.02662663,0.00398455,0.22325815,0.11971677,0.15858101,0.38414603,0.00000000
-5.89794897,0.66384845,0.02457011,0.00340844,0.20584548,0.11027735,0.14756155,0.35878400,0.00000000
-5.89194597,0.61652388,0.02262506,0.00291467,0.18941466,0.10149044,0.13697349,0.33437079,0.00000000
-5.88594297,0.57156552,0.02078596,0.00249798,0.17393039,0.09333664,0.12680147,0.31089992,0.00000000
-5.87993997,0.52894683,0.01904782,0.00215348,0.15936159,0.08579817,0.11703579,0.28837990,0.00000000
-5.87393697,0.48866988,0.01740645,0.00187690,0.14568406,0.07886015,0.10767312,0.26683492,0.00000000
-5.86793397,0.45076552,0.01585857,0.00166492,0.13288219,0.07251133,0.09871665,0.24630410,0.00000000
-5.86193097,0.41529140,0.01440190,0.00151535,0.12095016,0.06674442,0.09017572,0.22683964,0.00000000
