energy_ev,total_up,Ge_p_up,Ge_d_up,Mo_p_up,Mo_d_up,Te_p_up,Te_d_up
-6.00000000,2.58962415,0.27746105,0.00000000,1.74172941,1.06574729,1.36049068,0.00000000
-5.99399700,2.53266918,0.26891592,0.00000000,1.71389545,1.03843226,1.33112016,0.00000000
-5.98799400,2.47144116,0.26001435,0.00000000,1.68065801,1.00980526,1.29941967,0.00000000
-5.98199100,2.40642215,0.25083813,0.00000000,1.64229928,0.98011051,1.26563758,0.00000000
-5.97598799,2.33810851,0.24146775,0.00000000,1.59918903,0.94958752,1.23003170,0.00000000
-5.96998499,2.26701518,0.23198194,0.00000000,1.55178307,0.91847237,1.19287174,0.00000000
-5.96398199,2.19368114,0.22245741,0.00000000,1.50061964,0.88699999,1.15444208,0.00000000
-5.95797899,2.11867509,0.21296876,0.00000000,1.44631349,0.85540694,1.11504477,0.00000000
-5.95197599,2.04260081,0.20358864,0.00000000,1.38954787,0.82393446,1.07500207,0.00000000
-5.94597299,1.96610128,0.19438791,0.00000000,1.33106440,0.79283141,1.03465837,0.00000000
-5.93996998,1.88986096,0.18543584,0.00000000,1.27165106,0.76235662,0.99438095,0.00000000
-5.93396698,1.81460549,0.17680039,0.00000000,1.21212857,0.73278053,0.95455938,0.00000000
-5.92796398,1.74109856,0.16854832,0.00000000,1.15333545,0.70438562,0.91560333,0.00000000
-5.92196098,1.67013551,0.16074532,0.00000000,1.09611213,0.67746561,0.87793857,0.00000000
-5.91595798,1.60253367,0.15345595,0.00000000,1.04128451,0.65232316,0.84200120,0.00000000
-5.90995498,1.53911946,0.14674348,0.00000000,0.98964737,0.62926615,0.80823011,0.00000000
-5.90395198,1.48071269,0.14066964,0.00000000,0.94194803,0.60860257,0.77705800,0.00000000
-5.89794897,1.42810831,0.13529419,0.00000000,0.89887078,0.59063410,0.74890099,0.00000000
-5.89194597,1.38205658,0.13067435,0.00000000,0.86102232,0.57564868,0.72414748,0.00000000
-5.88594297,1.34324207,0.12686420,0.00000000,0.82891873,0.56391240,0.70314647,0.00000000
-5.87993997,1.31226272,0.12391392,0.00000000,0.80297424,0.55566098,0.68619594,0.00000000
-5.87393697,1.28960963,0.12186905,0.00000000,0.78349220,0.55109133,0.67353186,0.00000000
-5.86793397,1.27564867,0.12076970,0.00000000,0.77065835,0.55035358,0.66531819,0.00000000
-5.86193097,1.27060486,0.12064986,0.00000000,0.76453688,0.55354401,0.66163865,0.00000000
-5.85592796,1.27455030,0.12153674,0.00000000,0.76506919,0.56069937,0.66249040,0.00000000
-5.84992496,1.28739642,0.12345029,0.00000000,0.77207560,0.57179278,0.66778028,0.00000000
-5.84392196,1.30889118,0.12640284,0.00000000,0.78526009,0.58673170,0.67732384,0.00000000
-5.83791896,1.33862159,0.13039904,0.00000000,0.80421784,0.60535806,0.69084721,0.00000000
-5.83191596,1.37602165,0.13543599,0.00000000,0.82844574,0.62745073,0.70799213,0.00000000
-5.82591296,1.42038576,0.14150364,0.00000000,0.85735542,0.65273032,0.72832383,0.00000000
-5.81990995,1.47088726,0.14858545,0.00000000,0.89028866,0.68086619,0.75134175,0.00000000
-5.81390695,1.52660139,0.15665927,0.00000000,0.92653477,0.71148543,0.77649266,0.00000000
-5.80790395,1.58653214,0.16569850,0.00000000,0.96534953,0.74418358,0.80318575,0.00000000
-5.80190095,1.64964174,0.17567333,0.00000000,1.00597508,0.77853650,0.83080930,0.00000000
-5.79589795,1.71488188,0.18655211,0.00000000,1.04766026,0.81411307,0.85874801,0.00000000
-5.78989495,1.78122525,0.19830275,0.00000000,1.08968085,0.85048802,0.88640071,0.00000000
-5.78389195,1.84769615,0.21089402,0.00000000,1.13135887,0.88725443,0.91319743,0.00000000
-5.77788894,1.91339899,0.22429677,0.00000000,1.17208058,0.92403529,0.93861533,0.00000000
-5.77188594,1.97754339,0.23848487,0.00000000,1.21131231,0.96049362,0.96219295,0.00000000
-5.76588294,2.03946489,0.25343593,0.00000000,1.24861390,0.99634073,0.98354196,0.00000000
-5.75987994,2.09864049,0.26913163,0.00000000,1.28364894,1.03134220,1.00235631,0.00000000
-5.75387694,2.15469838,0.28555774,0.00000000,1.31619183,1.06532149,1.01841822,0.00000000
-5.74787394,2.20742157,0.30270381,0.00000000,1.34613106,1.09816091,1.03160088,0.00000000
-5.74187094,2.25674545,0.32056241,0.00000000,1.37346898,1.12980022,1.04186800,0.00000000
-5.73586793,2.30274958,0.33912828,0.00000000,1.39831775,1.16023278,1.04927003,0.00000000
-5.72986493,2.34564415,0.35839706,0.00000000,1.42089188,1.18949977,1.05393762,0.00000000
-5.72386193,2.38575214,0.37836407,0.00000000,1.44149760,1.21768274,1.05607239,0.00000000
-5.71785893,2.42348790,0.39902291,0.00000000,1.46051945,1.24489503,1.05593575,0.00000000
-5.71185593,2.45933348,0.42036429,0.00000000,1.47840459,1.27127258,1.05383614,0.00000000
-5.70585293,2.49381379,0.44237486,0.00000000,1.49564560,1.29696462,1.05011538,0.00000000
-5.69984992,2.52747182,0.46503641,0.00000000,1.51276219,1.32212477,1.04513463,0.00000000
-5.69384692,2.56084501,0.48832530,0.00000000,1.53028269,1.34690307,1.03926073,0.00000000
-5.68784392,2.59444390,0.51221233,0.00000000,1.54872599,1.37143919,1.03285331,0.00000000
-5.68184092,2.62873371,0.53666284,0.00000000,1.56858447,1.39585727,1.02625322,0.00000000
-5.67583792,2.66411969,0.56163732,0.00000000,1.59030871,1.42026236,1.01977272,0.00000000
-5.66983492,2.70093648,0.58709214,0.00000000,1.61429433,1.44473876,1.01368764,0.00000000
-5.66383192,2.73944182,0.61298072,0.00000000,1.64087156,1.46934993,1.00823175,0.00000000
-5.65782891,2.77981446,0.63925469,0.00000000,1.67029771,1.49414007,1.00359351,0.00000000
-5.65182591,2.82215595,0.66586523,0.00000000,1.70275281,1.51913688,0.99991490,0.00000000
-5.64582291,2.86649606,0.69276436,0.00000000,1.73833837,1.54435535,0.99729248,0.00000000
-5.63981991,2.91280096,0.71990612,0.00000000,1.77707932,1.56980216,0.99578026,0.00000000
-5.63381691,2.96098369,0.74724758,0.00000000,1.81892865,1.59548028,0.99539413,0.00000000
-5.62781391,3.01091590,0.77474961,0.00000000,1.86377469,1.62139342,0.99611743,0.00000000
-5.62181091,3.06244034,0.80237738,0.00000000,1.91145022,1.64755002,0.99790735,0.00000000
-5.61580790,3.11538299,0.83010058,0.00000000,1.96174324,1.67396639,1.00070163,0.00000000
-5.60980490,3.16956445,0.85789335,0.00000000,2.01440838,1.70066887,1.00442521,0.00000000
-5.60380190,3.22480969,0.88573392,0.00000000,2.06917873,1.72769481,1.00899644,0.00000000
-5.59779890,3.28095587,0.91360406,0.00000000,2.12577718,1.75509228,1.01433248,0.00000000
-5.59179590,3.33785773,0.94148836,0.00000000,2.18392680,1.78291853,1.02035370,0.00000000
-5.58579290,3.39539051,0.96937336,0.00000000,2.24335976,1.81123732,1.02698678,0.00000000
-5.57978989,3.45345020,0.99724659,0.00000000,2.30382445,1.84011522,1.03416659,0.00000000
-5.57378689,3.51195138,1.02509563,0.00000000,2.36509039,1.86961712,1.04183660,0.00000000
-5.56778389,3.57082287,1.05290712,0.00000000,2.42695092,1.89980117,1.04994812,0.00000000
-5.56178089,3.63000153,1.08066583,0.00000000,2.48922365,1.93071352,1.05845843,0.00000000
-5.55577789,3.68942474,1.10835378,0.00000000,2.55174875,1.96238305,1.06732805,0.00000000
-5.54977489,3.74902214,1.13594937,0.00000000,2.61438548,1.99481643,1.07651736,0.00000000
-5.54377189,3.80870711,1.16342661,0.00000000,2.67700717,2.02799374,1.08598305,0.00000000
-5.53776888,3.86836860,1.19075432,0.00000000,2.73949522,2.06186489,1.09567452,0.00000000
-5.53176588,3.92786388,1.21789538,0.00000000,2.80173254,2.09634701,1.10553068,0.00000000
-5.52576288,3.98701257,1.24480598,0.00000000,2.86359690,2.13132297,1.11547739,0.00000000
-5.51975988,4.04559233,1.27143476,0.00000000,2.92495463,2.16664090,1.12542565,0.00000000
-5.51375688,4.10333646,1.29772207,0.00000000,2.98565510,2.20211494,1.13527089,0.00000000
-5.50775388,4.15993346,1.32359903,0.00000000,3.04552619,2.23752699,1.14489326,0.00000000
-5.50175088,4.21502842,1.34898667,0.00000000,3.10437098,2.27262926,1.15415889,0.00000000
-5.49574787,4.26822629,1.37379499,0.00000000,3.16196564,2.30714766,1.16292225,0.00000000
-5.48974487,4.31909650,1.39792210,0.00000000,3.21805865,2.34078563,1.17102912,0.00000000
-5.48374187,4.36717873,1.42125331,0.00000000,3.27237097,2.37322826,1.17832029,0.00000000
-5.47773887,4.41198936,1.44366045,0.00000000,3.32459721,2.40414659,1.18463540,0.00000000
-5.47173587,4.45302837,1.46500132,0.00000000,3.37440734,2.43320176,1.18981700,0.00000000
-5.46573287,4.48978603,1.48511937,0.00000000,3.42144887,2.46004901,1.19371423,0.00000000
-5.45972986,4.52174946,1.50384384,0.00000000,3.46534913,2.48434141,1.19618619,0.00000000
