energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Sc_p_up,Sc_p_down,Sc_d_up,Sc_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,2.48771998,-2.83931734,0.02127794,-0.01778021,0.41834212,-0.52902234,1.35963227,-1.60824912,0.80133570,-0.95404957,0.48778661,-0.52962894,0.18269057,-0.17939568,1.15354079,-1.26008172,0.00000000,-0.00000000
-5.99399700,2.41123206,-2.79786521,0.02264311,-0.01890922,0.39507642,-0.52193051,1.30609725,-1.56473793,0.76154265,-0.94150021,0.47833686,-0.51916557,0.18389220,-0.18010098,1.13398015,-1.24042801,0.00000000,-0.00000000
-5.98799400,2.33609538,-2.74969124,0.02408011,-0.02012653,0.37102060,-0.51187950,1.25359470,-1.51781438,0.72089277,-0.92441010,0.46995171,-0.50854550,0.18538933,-0.18083669,1.11655263,-1.22029655,0.00000000,-0.00000000
-5.98199100,2.26368014,-2.69600551,0.02557619,-0.02142900,0.34657024,-0.49904838,1.20297772,-1.46843069,0.68006224,-0.90309407,0.46284255,-0.49810546,0.18720346,-0.18167599,1.10165559,-1.20032102,0.00000000,-0.00000000
-5.97598799,2.19516066,-2.63807958,0.02711562,-0.02281046,0.32210470,-0.48367062,1.15498464,-1.41754762,0.63968845,-0.87795260,0.45716611,-0.48816075,0.18933639,-0.18268261,1.08956901,-1.18109571,0.00000000,-0.00000000
-5.96998499,2.13148557,-2.57720239,0.02867997,-0.02426172,0.29797839,-0.46602654,1.11022133,-1.36610518,0.60035500,-0.84945853,0.45302009,-0.47899506,0.19176958,-0.18390778,1.08044717,-1.16315435,0.00000000,-0.00000000
-5.96398199,2.07335834,-2.51463612,0.03024848,-0.02577050,0.27451368,-0.44643427,1.06914913,-1.31499450,0.56257985,-0.81814156,0.45044095,-0.47085128,0.19446438,-0.18538756,1.07431517,-1.14695120,0.00000000,-0.00000000
-5.95797899,2.02122855,-2.45157405,0.03179846,-0.02732155,0.25199561,-0.42523984,1.03207851,-1.26503212,0.52680701,-0.78457111,0.44940393,-0.46392392,0.19736316,-0.18714088,1.07107051,-1.13284512,0.00000000,-0.00000000
-5.95197599,1.97529398,-2.38910222,0.03330587,-0.02889692,0.23066859,-0.40280670,0.99916871,-1.21693758,0.49340185,-0.74933849,0.44982511,-0.45835328,0.20039113,-0.18916818,1.07048962,-1.12108733,0.00000000,-0.00000000
-5.94597299,1.93551302,-2.32816658,0.03474588,-0.03047628,0.21073485,-0.37950520,0.97043298,-1.17131524,0.46264983,-0.71303915,0.45156564,-0.45422161,0.20345904,-0.19145084,1.07223891,-1.11181348,0.00000000,-0.00000000
