energy_ev,total_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,2.75051699,0.01407430,0.25800978,1.08479517,0.80659697,0.03038752,0.96640825
-5.99399700,2.72792712,0.01403520,0.25819296,1.07752996,0.80334543,0.03023122,0.95466526
-5.98799400,2.70794702,0.01400350,0.25853447,1.07358135,0.80068057,0.02991601,0.94414981
-5.98199100,2.69107011,0.01397663,0.25905130,1.07320057,0.79874979,0.02944298,0.93508232
-5.97598799,2.67771575,0.01395189,0.25975440,1.07656220,0.79768017,0.02881625,0.92765190
-5.96998499,2.66822668,0.01392665,0.26064859,1.08376405,0.79757659,0.02804298,0.92201529
-5.96398199,2.66286616,0.01389841,0.26173263,1.09482805,0.79851984,0.02713317,0.91829586
-5.95797899,2.66181487,0.01386492,0.26299925,1.10970212,0.80056471,0.02609942,0.91658237
-5.95197599,2.66516756,0.01382426,0.26443538,1.12826287,0.80373838,0.02495660,0.91692765
-5.94597299,2.67292998,0.01377491,0.26602234,1.15031913,0.80803897,0.02372141,0.91934724
-5.93996998,2.68501650,0.01371578,0.26773631,1.17561650,0.81343471,0.02241196,0.92381817
-5.93396698,2.70124912,0.01364626,0.26954896,1.20384269,0.81986368,0.02104720,0.93027814
-5.92796398,2.72135834,0.01356626,0.27142820,1.23463413,0.82723442,0.01964652,0.93862532
-5.92196098,2.74498667,0.01347624,0.27333926,1.26758365,0.83542761,0.01822913,0.94871906
-5.91595798,2.77169499,0.01337721,0.27524590,1.30224947,0.84429867,0.01681371,0.96038172
-5.90995498,2.80097231,0.01327073,0.27711179,1.33816537,0.85368169,0.01541791,0.97340167
-5.90395198,2.83224866,0.01315898,0.27890208,1.37485206,0.86339423,0.01405807,0.98753778
-5.89794897,2.86491125,0.01304469,0.28058498,1.41182935,0.87324324,0.01274890,1.00252516
-5.89194597,2.89832305,0.01293117,0.28213338,1.44862905,0.88303162,0.01150329,1.01808213
-5.88594297,2.93184346,0.01282229,0.28352629,1.48480797,0.89256537,0.01033221,1.03391822
