energy_ev,total_up,total_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down,V_p_up,V_p_down,V_d_up,V_d_down
-6.00000000,3.91969492,-1.25542229,0.80732731,-0.32882566,1.26415563,-0.06901009,0.00436209,-0.00411054,0.46924413,-0.03847443,0.01583143,-0.02845301,1.62258526,-0.74915791,0.81002799,-0.34462878,0.35421597,-0.15530446
-5.99399700,3.88342478,-1.25823118,0.80120495,-0.32944139,1.26397725,-0.06938288,0.00419594,-0.00421004,0.47312106,-0.03811186,0.01512481,-0.02824745,1.59614530,-0.75213902,0.79724288,-0.34282279,0.34961890,-0.15839548
-5.98799400,3.83613171,-1.26251049,0.79342599,-0.33027172,1.25961500,-0.07008850,0.00402480,-0.00428472,0.47568263,-0.03778666,0.01443214,-0.02800578,1.56524341,-0.75608282,0.78234883,-0.34183500,0.34368211,-0.16133083
-5.98199100,3.77827298,-1.26878814,0.78422793,-0.33157363,1.25119529,-0.07116976,0.00384959,-0.00433334,0.47705658,-0.03753302,0.01375372,-0.02772032,1.52998412,-0.76130783,0.76541010,-0.34191893,0.33642825,-0.16413100
-5.97598799,3.71059218,-1.27762165,0.77392054,-0.33361842,1.23896549,-0.07266622,0.00367127,-0.00435524,0.47743206,-0.03738600,0.01308979,-0.02738520,1.49055174,-0.76814949,0.74651971,-0.34332472,0.32790738,-0.16683170
-5.96998499,3.63412271,-1.28958742,0.76288426,-0.33668481,1.22329466,-0.07461341,0.00349082,-0.00435035,0.47705867,-0.03738063,0.01244064,-0.02699672,1.44721360,-0.77695370,0.72580105,-0.34629425,0.31819686,-0.16948344
-5.96398199,3.55017958,-1.30526670,0.75156564,-0.34105120,1.20466969,-0.07704186,0.00330932,-0.00431919,0.47624292,-0.03755090,0.01180681,-0.02655354,1.40031988,-0.78806842,0.70340833,-0.35105575,0.30740020,-0.17215048
-5.95797899,3.46033946,-1.32522858,0.74046990,-0.34698719,1.18368667,-0.07997627,0.00312782,-0.00426289,0.47534238,-0.03792873,0.01118914,-0.02605670,1.35030005,-0.80183350,0.67952595,-0.35781811,0.29564481,-0.17490884
-5.95197599,3.36640961,-1.35001045,0.73015073,-0.35474464,1.16103780,-0.08343451,0.00294743,-0.00418311,0.47475752,-0.03854288,0.01058890,-0.02550959,1.29765606,-0.81856899,0.65436666,-0.36676484,0.28307889,-0.17784375
-5.94597299,3.27038670,-1.38009665,0.72119779,-0.36454859,1.13749431,-0.08742670,0.00276925,-0.00408201,0.47492148,-0.03941787,0.01000775,-0.02491766,1.24295251,-0.83856242,0.62816857,-0.37804791,0.26986751,-0.18104642
-5.93996998,3.17440724,-1.41589603,0.71422199,-0.37658822,1.11388591,-0.09195435,0.00259440,-0.00396215,0.47628811,-0.04057295,0.00944780,-0.02428817,1.18680447,-0.86205540,0.60119128,-0.39178162,0.25618817,-0.18461034
-5.93396698,3.08069133,-1.45771939,0.70983929,-0.39100842,1.09107766,-0.09700952,0.00242396,-0.00382641,0.47931867,-0.04202112,0.00891150,-0.02362971,1.12986331,-0.88923013,0.57371111,-0.40803667,0.24222592,-0.18862728
-5.92796398,2.99148199,-1.50575792,0.70865339,-0.40790193,1.06994495,-0.10257413,0.00225900,-0.00367791,0.48446749,-0.04376832,0.00840158,-0.02295178,1.07280129,-0.92019658,0.54601577,-0.42683477,0.22816850,-0.19318304
-5.92196098,2.90898231,-1.56006352,0.71123781,-0.42730276,1.05134756,-0.10861947,0.00210055,-0.00351986,0.49216724,-0.04581272,0.00792097,-0.02226426,1.01629551,-0.95498063,0.51839854,-0.44814388,0.21420140,-0.19835332
-5.91595798,2.83529257,-1.62053209,0.71811802,-0.44918080,1.03610375,-0.11510582,0.00194963,-0.00335548,0.50281409,-0.04814422,0.00747268,-0.02157689,0.96101201,-0.99351415,0.49115240,-0.47187460,0.20050336,-0.20419958
-5.90995498,2.77234980,-1.68689081,0.72975399,-0.47343821,1.02496516,-0.12198244,0.00180724,-0.00318789,0.51675341,-0.05074422,0.00705965,-0.02089877,0.90759043,-1.03562728,0.46456407,-0.49787762,0.18724223,-0.21076543
-5.90395198,2.72187146,-1.75869010,0.74652388,-0.49990754,1.01859352,-0.12918767,0.00167434,-0.00302005,0.53426628,-0.05358555,0.00668467,-0.02023798,0.85662995,-1.08104363,0.43890839,-0.52594280,0.17457148,-0.21807337
-5.89794897,2.68530534,-1.83530098,0.76870923,-0.52835191,1.01753964,-0.13664950,0.00155192,-0.00285462,0.55555746,-0.05663276,0.00635020,-0.01960115,0.80867679,-1.12937859,0.41444302,-0.55579979,0.16262741,-0.22612217
-5.89194597,2.66378699,-1.91591823,0.79648213,-0.55846723,1.02222571,-0.14428628,0.00144097,-0.00269395,0.58074504,-0.05984258,0.00605831,-0.01899325,0.76421373,-1.18014121,0.39140375,-0.58712052,0.15152712,-0.23488504
-5.88594297,2.65810605,-1.99956970,0.82989486,-0.58988662,1.03293100,-0.15200787,0.00134253,-0.00253998,0.60985221,-0.06316478,0.00581054,-0.01841740,0.72365179,-1.23273960,0.37000047,-0.61952351,0.14136719,-0.24430854
-5.87993997,2.66868226,-2.08513151,0.86887220,-0.62218680,1.04978176,-0.15971704,0.00125769,-0.00239426,0.64280154,-0.06654315,0.00560783,-0.01787478,0.68732417,-1.28649004,0.35041381,-0.65258001,0.13222319,-0.25431237
-5.87393697,2.69555179,-2.17134906,0.91320701,-0.65489656,1.07274534,-0.16731111,0.00118762,-0.00225790,0.67941181,-0.06991683,0.00545046,-0.01736474,0.65548256,-1.34062944,0.33279266,-0.68582204,0.12414985,-0.26479010
-5.86793397,2.73836419,-2.25686333,0.96255898,-0.68750683,1.10162872,-0.17468388,0.00113359,-0.00213162,0.71939780,-0.07322179,0.00533801,-0.01688488,0.62829560,-1.39433108,0.31725238,-0.71875186,0.11718181,-0.27561074
-5.86193097,2.79638984,-2.34024164,1.01645702,-0.71948245,1.13608163,-0.18172778,0.00109697,-0.00201569,0.76237306,-0.07639244,0.00526930,-0.01643130,0.60584940,-1.44672300,0.30387385,-0.75085303,0.11133491,-0.28662117
-5.85592796,2.86853770,-2.42001197,1.07430523,-0.75027495,1.17560397,-0.18833610,0.00107924,-0.00191007,0.80785559,-0.07936343,0.00524243,-0.01599890,0.58815002,-1.49690858,0.29270327,-0.78160238,0.10660786,-0.29764942
-5.84992496,2.95338268,-2.49469985,1.13539246,-0.77933626,1.21955745,-0.19440537,0.00108202,-0.00181435,0.85527663,-0.08207144,0.00525480,-0.01558170,0.57512744,-1.54398879,0.28375261,-0.81048279,0.10298418,-0.30850859
-5.84392196,3.04920193,-2.56286651,1.19890538,-0.80613269,1.26718108,-0.19983767,0.00110700,-0.00172788,0.90399210,-0.08445693,0.00530313,-0.01517325,0.56664096,-1.58708511,0.27700079,-0.83699625,0.10043424,-0.31900145
-5.83791896,3.15401881,-2.62314710,1.26394486,-0.83015898,1.31761010,-0.20454302,0.00115598,-0.00164980,0.95329677,-0.08646586,0.00538351,-0.01476697,0.56248563,-1.62536267,0.27239533,-0.86067671,0.09891746,-0.32892542
-5.83191596,3.26565346,-2.67428758,1.32954518,-0.85095176,1.36989786,-0.20844148,0.00123080,-0.00157909,1.00244049,-0.08805127,0.00549153,-0.01435653,0.56239952,-1.65805269,0.26985457,-0.88110246,0.09838426,-0.33807795
-5.82591296,3.38177835,-2.71517918,1.39469576,-0.86810206,1.42303996,-0.21146518,0.00133333,-0.00151465,1.05064638,-0.08917461,0.00562231,-0.01393616,0.56607150,-1.68447339,0.26927023,-0.89790737,0.09877800,-0.34626203
-5.81990995,3.49997718,-2.74488909,1.45836471,-0.88126651,1.47599998,-0.21356003,0.00146540,-0.00145532,1.09713015,-0.08980688,0.00577068,-0.01350099,0.57314934,-1.70404884,0.27051041,-0.91079072,0.10003665,-0.35329168
-5.81390695,3.61780547,-2.76268645,1.51952352,-0.89017670,1.52773613,-0.21468709,0.00162873,-0.00139998,1.14112012,-0.08992942,0.00593121,-0.01304722,0.58324781,-1.71632496,0.27342271,-0.91952527,0.10209412,-0.35899724
-5.80790395,3.73285088,-2.76806270,1.57717209,-0.89464657,1.57722775,-0.21482361,0.00182488,-0.00134756,1.18187730,-0.08953445,0.00609842,-0.01257230,0.59595684,-1.72098221,0.27783758,-0.92396313,0.10488142,-0.36323028
-5.80190095,3.84279134,-2.76074561,1.63036337,-0.89457740,1.62350115,-0.21396365,0.00205516,-0.00129709,1.21871469,-0.08862520,0.00626684,-0.01207505,0.61084918,-1.71784444,0.28357178,-0.92403941,0.10832735,-0.36586803
-5.79589795,3.94544931,-2.74070653,1.67822658,-0.88996038,1.66565365,-0.21211826,0.00232053,-0.00124771,1.25101524,-0.08721574,0.00643119,-0.01155567,0.62748787,-1.70688378,0.29043179,-0.91977340,0.11235904,-0.36681701
-5.78989495,4.03884034,-2.70816083,1.71998829,-0.88087660,1.70287517,-0.20931521,0.00262155,-0.00119871,1.27824778,-0.08533053,0.00658644,-0.01101566,0.64543306,-1.68822127,0.29821720,-0.91126728,0.11690213,-0.36601594
-5.78389195,4.12121442,-2.66356126,1.75499064,-0.86749449,1.73446670,-0.20559834,0.00295826,-0.00114953,1.29998017,-0.08300357,0.00672801,-0.01045781,0.66424830,-1.66212331,0.30672395,-0.89870245,0.12188080,-0.36343760
-5.77788894,4.19108879,-2.60758490,1.78270576,-0.85006493,1.75985481,-0.20102642,0.00333011,-0.00109977,1.31588944,-0.08027738,0.00685179,-0.00988600,0.68350625,-1.62899413,0.31574743,-0.88233367,0.12721761,-0.35908980
-5.77188594,4.24727150,-2.54111401,1.80274629,-0.82891396,1.77860202,-0.19567174,0.00373587,-0.00104919,1.32576817,-0.07720169,0.00695426,-0.00930502,0.70279370,-1.58936450,0.32508536,-0.86248116,0.13283324,-0.35301518
-5.76588294,4.28887492,-2.46521164,1.81487120,-0.80443371,1.79041244,-0.18961832,0.00417360,-0.00099768,1.32952720,-0.07383205,0.00703257,-0.00872041,0.72171599,-1.54387727,0.33454034,-0.83952114,0.13864635,-0.34529005
-5.75987994,4.31531922,-2.38109288,1.81898710,-0.77707163,1.79513283,-0.18295984,0.00464059,-0.00094526,1.32719437,-0.07022819,0.00708459,-0.00813823,0.73990082,-1.49327006,0.34392226,-0.81387506,0.14457334,-0.33602218
-5.75387694,4.32632619,-2.29009285,1.81514489,-0.74731841,1.79274898,-0.17579747,0.00513332,-0.00089207,1.31890950,-0.06645249,0.00710889,-0.00756484,0.75700158,-1.43835600,0.35305030,-0.78599797,0.15052841,-0.32534771
