energy_ev,total_up,P_s_up,P_p_up,S_s_up,S_p_up,Ta_p_up,Ta_d_up
-6.00000000,0.12981702,0.00004962,0.07498994,0.00168157,0.01116566,0.14682345,0.04943789
-5.99399700,0.12994325,0.00006202,0.07577837,0.00206783,0.01138343,0.14123730,0.05217454
-5.98799400,0.13443895,0.00007696,0.07916301,0.00253805,0.01198551,0.14015931,0.05680300
-5.98199100,0.14359161,0.00009483,0.08533341,0.00310428,0.01299887,0.14378044,0.06350507
-5.97598799,0.15771135,0.00011602,0.09449514,0.00377924,0.01445200,0.15230871,0.07247785
-5.96998499,0.17712953,0.00014095,0.10686909,0.00457605,0.01637455,0.16597044,0.08393246
-5.96398199,0.20219439,0.00017003,0.12268884,0.00550793,0.01879670,0.18500846,0.09809141
-5.95797899,0.23326348,0.00020367,0.14219623,0.00658777,0.02174829,0.20967731,0.11518446
-5.95197599,0.27069301,0.00024223,0.16563501,0.00782771,0.02525758,0.24023532,0.13544315
-5.94597299,0.31482422,0.00028607,0.19324265,0.00923859,0.02934985,0.27693388,0.15909385
-5.93996998,0.36596714,0.00033545,0.22524057,0.01082938,0.03404575,0.32000400,0.18634952
-5.93396698,0.42438210,0.00039059,0.26182288,0.01260653,0.03935949,0.36964076,0.21740041
-5.92796398,0.49025982,0.00045159,0.30314417,0.01457339,0.04529696,0.42598620,0.25240390
-5.92196098,0.56370069,0.00051844,0.34930666,0.01672953,0.05185388,0.48911122,0.29147380
-5.91595798,0.64469418,0.00059098,0.40034721,0.01907021,0.05901396,0.55899743,0.33466956
-5.90995498,0.73309934,0.00066892,0.45622488,0.02158589,0.06674738,0.63551976,0.38198580
-5.90395198,0.82862750,0.00075182,0.51680947,0.02426178,0.07500949,0.71843067,0.43334258
-5.89794897,0.93082801,0.00083903,0.58187178,0.02707766,0.08373992,0.80734697,0.48857701
-5.89194597,1.03907820,0.00092976,0.65107615,0.03000774,0.09286223,0.90174000,0.54743655
-5.88594297,1.15257823,0.00102304,0.72397572,0.03302085,0.10228411,1.00093006,0.60957460
-5.87993997,1.27035171,0.00111776,0.80001107,0.03608074,0.11189817,1.10408561,0.67454858
