energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,0.65543759,-0.65526245,0.00069271,-0.00069251,0.02777955,-0.02777062,0.23619920,-0.23613372,0.10224930,-0.10222271,0.23732874,-0.23726528,0.05831936,-0.05830900,0.38095719,-0.38085462,0.00000000,-0.00000000
-5.99399700,0.59440861,-0.59425007,0.00061688,-0.00061670,0.02497173,-0.02496353,0.21466287,-0.21460424,0.09263685,-0.09261266,0.21611407,-0.21605671,0.05348019,-0.05347172,0.34590425,-0.34581160,0.00000000,-0.00000000
-5.98799400,0.53849902,-0.53835932,0.00054910,-0.00054895,0.02236742,-0.02236002,0.19505515,-0.19500414,0.08381541,-0.08379398,0.19671512,-0.19666471,0.04921478,-0.04920851,0.31385287,-0.31377145,0.00000000,-0.00000000
-5.98199100,0.48831939,-0.48820060,0.00048900,-0.00048887,0.01998726,-0.01998071,0.17759711,-0.17755444,0.07588397,-0.07586565,0.17936791,-0.17932521,0.04559184,-0.04558810,0.28516499,-0.28509600,0.00000000,-0.00000000
-5.97598799,0.44438534,-0.44428930,0.00043626,-0.00043615,0.01784808,-0.01784244,0.16247876,-0.16244509,0.06892465,-0.06890973,0.16427291,-0.16423862,0.04267579,-0.04267489,0.26014704,-0.26009155,0.00000000,-0.00000000
-5.96998499,0.40712053,-0.40704892,0.00039064,-0.00039055,0.01596316,-0.01595846,0.14985965,-0.14983556,0.06300343,-0.06299218,0.15159545,-0.15157016,0.04052678,-0.04052906,0.23905144,-0.23901043,0.00000000,-0.00000000
-5.96398199,0.37686200,-0.37681631,0.00035189,-0.00035182,0.01434249,-0.01433876,0.13987013,-0.13985618,0.05817134,-0.05816398,0.14146686,-0.14145109,0.03920092,-0.03920673,0.22207945,-0.22205378,0.00000000,-0.00000000
-5.95797899,0.35386683,-0.35384840,0.00031980,-0.00031975,0.01299317,-0.01299045,0.13261306,-0.13260972,0.05446573,-0.05446246,0.13398616,-0.13398036,0.03875050,-0.03876017,0.20938472,-0.20937515,0.00000000,-0.00000000
-5.95197599,0.33831932,-0.33832933,0.00029414,-0.00029411,0.01191981,-0.01191812,0.12816554,-0.12817322,0.05191168,-0.05191268,0.12922195,-0.12922650,0.03922405,-0.03923795,0.20107716,-0.20108434,0.00000000,-0.00000000
-5.94597299,0.33033793,-0.33037740,0.00027465,-0.00027464,0.01112493,-0.01112429,0.12658047,-0.12659955,0.05052331,-0.05052871,0.12721429,-0.12722948,0.04066641,-0.04068488,0.19722663,-0.19725113,0.00000000,-0.00000000
