energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,10.60603870,2.42795041,7.95844173,0.05744590,0.17308273,1.49126985,0.41213861,1.75494723,0.00000000
-5.99399700,10.63205787,2.43235247,7.98667977,0.05743600,0.17266739,1.48977353,0.41059039,1.75281638,0.00000000
-5.98799400,10.64032717,2.43184846,8.00208648,0.05731306,0.17194423,1.48496275,0.40851384,1.74747732,0.00000000
-5.98199100,10.62901697,2.42600265,8.00317735,0.05706872,0.17088566,1.47670835,0.40587256,1.73868979,0.00000000
-5.97598799,10.59671580,2.41448587,7.98877293,0.05669643,0.16947234,1.46494964,0.40264437,1.72628833,0.00000000
-5.96998499,10.54248884,2.39708732,7.95804605,0.05619170,0.16769406,1.44969906,0.39882303,1.71019019,0.00000000
-5.96398199,10.46592607,2.37372333,7.91056176,0.05555241,0.16555033,1.43104479,0.39441959,1.69040109,0.00000000
-5.95797899,10.36717770,2.34444251,7.84630792,0.05477905,0.16305074,1.40915132,0.38946329,1.66701860,0.00000000
-5.95197599,10.24697462,2.30942731,7.76571478,0.05387485,0.16021498,1.38425761,0.38400200,1.64023303,0.00000000
-5.94597299,10.10663214,2.26899160,7.66966165,0.05284591,0.15707253,1.35667311,0.37810207,1.61032551,0.00000000
-5.93996998,9.94803572,2.22357453,7.55946983,0.05170124,0.15366205,1.32677151,0.37184762,1.57766338,0.00000000
-5.93396698,9.77360805,2.17373053,7.43688072,0.05045264,0.15003040,1.29498246,0.36533926,1.54269291,0.00000000
-5.92796398,9.58625766,2.12011603,7.30401932,0.04911455,0.14623146,1.26178155,0.35869219,1.50592942,0.00000000
-5.92196098,9.38930981,2.06347300,7.16334346,0.04770381,0.14232461,1.22767875,0.35203369,1.46794515,0.00000000
-5.91595798,9.18642152,2.00461010,7.01758013,0.04623929,0.13837305,1.19320572,0.34550016,1.42935511,0.00000000
-5.90995498,8.98148316,1.94438180,6.86965074,0.04474147,0.13444201,1.15890242,0.33923360,1.39080143,0.00000000
-5.90395198,8.77850985,1.88366633,6.72258769,0.04323190,0.13059681,1.12530340,0.33337790,1.35293651,0.00000000
-5.89794897,8.58152644,1.82334305,6.57944558,0.04173263,0.12690100,1.09292422,0.32807468,1.31640574,0.00000000
-5.89194597,8.39445027,1.76427005,6.44320995,0.04026566,0.12341449,1.06224846,0.32345920,1.28183010,0.00000000
-5.88594297,8.22097607,1.70726257,6.31670759,0.03885225,0.12019185,1.03371562,0.31965624,1.24978937,0.00000000
-5.87993997,8.06446758,1.65307310,6.20252161,0.03751233,0.11728076,1.00771036,0.31677610,1.22080643,0.00000000
-5.87393697,7.92785981,1.60237354,6.10291496,0.03626393,0.11472073,0.98455335,0.31491109,1.19533320,0.00000000
-5.86793397,7.81357598,1.55574004,6.01976532,0.03512266,0.11254203,0.96449390,0.31413232,1.17373860,0.00000000
-5.86193097,7.72346209,1.51364093,5.95451395,0.03410125,0.11076500,0.94770477,0.31448720,1.15629899,0.00000000
-5.85592796,7.65874153,1.47642797,5.90813042,0.03320920,0.10939963,0.93427894,0.31599758,1.14319138,0.00000000
-5.84992496,7.61999116,1.44433113,5.88109434,0.03245256,0.10844547,0.92422869,0.31865869,1.13448957,0.00000000
-5.84392196,7.60713938,1.41745684,5.87339449,0.03183382,0.10789183,0.91748685,0.32243888,1.13016329,0.00000000
-5.83791896,7.61948570,1.39578982,5.88454478,0.03135192,0.10771835,0.91391002,0.32728016,1.13008038,0.00000000
-5.83191596,7.65574033,1.37919807,5.91361594,0.03100236,0.10789581,0.91328388,0.33309963,1.13401192,0.00000000
-5.82591296,7.71408164,1.36744093,5.95928093,0.03077752,0.10838711,0.91533015,0.33979162,1.14163992,0.00000000
-5.81990995,7.79222845,1.36017977,6.01987150,0.03066697,0.10914859,0.91971512,0.34723053,1.15256748,0.00000000
-5.81390695,7.88752370,1.35699076,6.09344318,0.03065795,0.11013138,0.92605939,0.35527426,1.16633091,0.00000000
-5.80790395,7.99702556,1.35737951,6.17784532,0.03073591,0.11128292,0.93394858,0.36376809,1.18241343,0.00000000
-5.80190095,8.11760224,1.36079676,6.27079305,0.03088502,0.11254854,0.94294464,0.37254891,1.20025987,0.00000000
-5.79589795,8.24602625,1.36665484,6.36993794,0.03108884,0.11387297,0.95259743,0.38144961,1.21929211,0.00000000
-5.78989495,8.37906470,1.37434418,6.47293464,0.03133084,0.11520191,0.96245625,0.39030342,1.23892438,0.00000000
-5.78389195,8.51356232,1.38324958,6.57750076,0.03159503,0.11648344,0.97208100,0.39894824,1.25857836,0.00000000
-5.77788894,8.64651442,1.39276551,6.68146827,0.03186642,0.11766929,0.98105250,0.40723056,1.27769719,0.00000000
-5.77188594,8.77512781,1.40231025,6.78282494,0.03213145,0.11871601,0.98898195,0.41500902,1.29575830,0.00000000
-5.76588294,8.89686848,1.41133842,6.87974504,0.03237843,0.11958582,0.99551899,0.42215747,1.31228455,0.00000000
-5.75987994,9.00949512,1.41935157,6.97060919,0.03259772,0.12024739,1.00035832,0.42856731,1.32685335,0.00000000
-5.75387694,9.11107903,1.42590668,7.05401391,0.03278192,0.12067622,1.00324473,0.43414922,1.33910370,0.00000000
-5.74787394,9.20001081,1.43062245,7.12877165,0.03292592,0.12085492,1.00397627,0.43883416,1.34874092,0.00000000
-5.74187094,9.27499549,1.43318331,7.19390292,0.03302689,0.12077314,1.00240581,0.44257357,1.35553901,0.00000000
-5.73586793,9.33503776,1.43334122,7.24862202,0.03308408,0.12042739,0.99844082,0.44533895,1.35934087,0.00000000
-5.72986493,9.37941947,1.43091541,7.29231845,0.03309865,0.11982050,0.99204157,0.44712075,1.36005638,0.00000000
-5.72386193,9.40767181,1.42579021,7.32453578,0.03307334,0.11896112,0.98321792,0.44792667,1.35765857,0.00000000
-5.71785893,9.41954450,1.41791135,7.34495011,0.03301217,0.11786287,0.97202494,0.44777953,1.35217830,0.00000000
-5.71185593,9.41497432,1.40728092,7.35334957,0.03292005,0.11654355,0.95855765,0.44671482,1.34369768,0.00000000
