energy_ev,total_up,Pb_p_up,Pb_d_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,0.59933688,0.12015964,0.00004312,0.06751844,0.19997419,0.02537876,0.23242544
-5.99399700,0.60721175,0.11933796,0.00004431,0.06538433,0.20315015,0.02662215,0.23799241
-5.98799400,0.61440875,0.11807927,0.00004584,0.06397732,0.20596962,0.02775986,0.24373676
-5.98199100,0.62070433,0.11639738,0.00004766,0.06327191,0.20837763,0.02877060,0.24948673
-5.97598799,0.62594845,0.11431002,0.00004973,0.06326556,0.21034116,0.02963549,0.25511403
-5.96998499,0.63006671,0.11183862,0.00005203,0.06397644,0.21185025,0.03033878,0.26053528
-5.96398199,0.63306124,0.10900812,0.00005455,0.06544074,0.21291859,0.03086835,0.26571251
-5.95797899,0.63500998,0.10584686,0.00005729,0.06770976,0.21358380,0.03121615,0.27065266
-5.95197599,0.63606397,0.10238642,0.00006029,0.07084663,0.21390686,0.03137850,0.27540585
-5.94597299,0.63644259,0.09866144,0.00006357,0.07492286,0.21397094,0.03135623,0.28006237
-5.93996998,0.63642626,0.09470941,0.00006716,0.08001452,0.21387931,0.03115464,0.28474819
-5.93396698,0.63634680,0.09057026,0.00007112,0.08619822,0.21375250,0.03078334,0.28961921
-5.92796398,0.63657538,0.08628598,0.00007550,0.09354692,0.21372448,0.03025581,0.29485400
-5.92196098,0.63750822,0.08190001,0.00008035,0.10212547,0.21393819,0.02958895,0.30064542
-5.91595798,0.63955057,0.07745653,0.00008570,0.11198618,0.21454029,0.02880244,0.30719130
-5.90995498,0.64309924,0.07299966,0.00009162,0.12316442,0.21567544,0.02791794,0.31468430
-5.90395198,0.64852455,0.06857263,0.00009812,0.13567431,0.21748029,0.02695837,0.32330156
-5.89794897,0.65615223,0.06421679,0.00010523,0.14950482,0.22007734,0.02594701,0.33319438
-5.89194597,0.66624618,0.05997075,0.00011295,0.16461638,0.22356906,0.02490672,0.34447844
-5.88594297,0.67899280,0.05586950,0.00012126,0.18093808,0.22803239,0.02385913,0.35722499
-5.87993997,0.69448778,0.05194361,0.00013013,0.19836578,0.23351403,0.02282401,0.37145348
-5.87393697,0.71272586,0.04821864,0.00013948,0.21676127,0.24002664,0.02181860,0.38712591
-5.86793397,0.73359441,0.04471462,0.00014925,0.23595249,0.24754622,0.02085722,0.40414341
-5.86193097,0.75687096,0.04144579,0.00015931,0.25573502,0.25601079,0.01995094,0.42234511
-5.85592796,0.78222521,0.03842053,0.00016956,0.27587487,0.26532057,0.01910740,0.44150958
-5.84992496,0.80922540,0.03564151,0.00017983,0.29611250,0.27533948,0.01833086,0.46135875
-5.84392196,0.83734890,0.03310600,0.00018996,0.31616802,0.28589823,0.01762228,0.48156436
-5.83791896,0.86599677,0.03080638,0.00019979,0.33574754,0.29679865,0.01697962,0.50175664
-5.83191596,0.89451165,0.02873082,0.00020913,0.35455023,0.30781926,0.01639820,0.52153488
-5.82591296,0.92219832,0.02686405,0.00021780,0.37227621,0.31872177,0.01587118,0.54047960
-5.81990995,0.94834606,0.02518819,0.00022562,0.38863461,0.32925840,0.01539006,0.55816577
-5.81390695,0.97225200,0.02368367,0.00023243,0.40335182,0.33917952,0.01494525,0.57417652
-5.80790395,0.99324442,0.02233006,0.00023808,0.41617935,0.34824156,0.01452660,0.58811682
-5.80190095,1.01070503,0.02110695,0.00024245,0.42690126,0.35621470,0.01412394,0.59962657
-5.79589795,1.02408950,0.01999469,0.00024542,0.43534055,0.36289011,0.01372758,0.60839253
-5.78989495,1.03294529,0.01897504,0.00024694,0.44136456,0.36808651,0.01332873,0.61415866
-5.78389195,1.03692629,0.01803178,0.00024697,0.44488901,0.37165575,0.01291983,0.61673444
-5.77788894,1.03580357,0.01715107,0.00024550,0.44588056,0.37348736,0.01249485,0.61600091
-5.77188594,1.02947222,0.01632185,0.00024258,0.44435782,0.37351172,0.01204943,0.61191418
-5.76588294,1.01795389,0.01553593,0.00023829,0.44039083,0.37170200,0.01158101,0.60450639
-5.75987994,1.00139527,0.01478817,0.00023273,0.43409900,0.36807479,0.01108878,0.59388409
-5.75387694,0.98006267,0.01407641,0.00022605,0.42564771,0.36268932,0.01057364,0.58022434
-5.74787394,0.95433311,0.01340139,0.00021844,0.41524361,0.35564555,0.01003807,0.56376854
-5.74187094,0.92468236,0.01276663,0.00021010,0.40312893,0.34708115,0.00948592,0.54481452
-5.73586793,0.89167067,0.01217819,0.00020125,0.38957495,0.33716752,0.00892217,0.52370717
-5.72986493,0.85592655,0.01164445,0.00019216,0.37487494,0.32610508,0.00835272,0.50082803
-5.72386193,0.81812951,0.01117584,0.00018307,0.35933672,0.31411791,0.00778410,0.47658427
-5.71785893,0.77899220,0.01078461,0.00017426,0.34327512,0.30144804,0.00722319,0.45139758
-5.71185593,0.73924267,0.01048447,0.00016600,0.32700461,0.28834953,0.00667702,0.42569313
-5.70585293,0.69960704,0.01029033,0.00015857,0.31083213,0.27508243,0.00615249,0.39988920
-5.69984992,0.66079326,0.01021797,0.00015222,0.29505044,0.26190687,0.00565622,0.37438762
-5.69384692,0.62347610,0.01028367,0.00014721,0.27993201,0.24907735,0.00519432,0.34956528
-5.68784392,0.58828364,0.01050386,0.00014378,0.26572363,0.23683729,0.00477231,0.32576692
-5.68184092,0.55578556,0.01089468,0.00014214,0.25264175,0.22541411,0.00439497,0.30329921
-5.67583792,0.52648314,0.01147150,0.00014249,0.24086869,0.21501459,0.00406628,0.28242629
-5.66983492,0.50080115,0.01224846,0.00014499,0.23054969,0.20582096,0.00378936,0.26336666
-5.66383192,0.47908155,0.01323792,0.00014977,0.22179084,0.19798742,0.00356646,0.24629142
-5.65782891,0.46157906,0.01444981,0.00015692,0.21465801,0.19163735,0.00339894,0.23132377
-5.65182591,0.44845855,0.01589111,0.00016649,0.20917667,0.18686121,0.00328730,0.21853975
-5.64582291,0.43979423,0.01756520,0.00017851,0.20533266,0.18371513,0.00323116,0.20797003
-5.63981991,0.43557065,0.01947129,0.00019293,0.20307391,0.18222027,0.00322933,0.19960263
-5.63381691,0.43568553,0.02160389,0.00020968,0.20231314,0.18236297,0.00327983,0.19338655
-5.62781391,0.43995443,0.02395235,0.00022863,0.20293144,0.18409585,0.00337997,0.18923620
-5.62181091,0.44811720,0.02650058,0.00024959,0.20478264,0.18733961,0.00352636,0.18703640
-5.61580790,0.45984632,0.02922681,0.00027235,0.20769854,0.19198588,0.00371501,0.18664797
-5.60980490,0.47475701,0.03210367,0.00029664,0.21149480,0.19790087,0.00394139,0.18791377
-5.60380190,0.49241895,0.03509838,0.00032214,0.21597728,0.20492988,0.00420054,0.19066504
-5.59779890,0.51236959,0.03817323,0.00034852,0.22094885,0.21290256,0.00448712,0.19472787
-5.59179590,0.53412868,0.04128621,0.00037540,0.22621634,0.22163888,0.00479558,0.19992986
-5.58579290,0.55721375,0.04439198,0.00040240,0.23159738,0.23095557,0.00512024,0.20610643
-5.57978989,0.58115619,0.04744297,0.00042913,0.23692711,0.24067295,0.00545541,0.21310706
