energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,2.25619831,-3.30230585,0.46939785,-0.28240497,0.17912314,-0.11151877,1.14661561,-2.59911195,0.65427419,-0.85912216,0.00087706,-0.00294095,0.49991710,-1.53618531,0.83274389,-0.48342531,0.00000000,-0.00000000
-5.99399700,2.23709985,-3.33390223,0.47281897,-0.28468063,0.18354101,-0.11579340,1.10499996,-2.60636305,0.64608302,-0.87227393,0.00088408,-0.00289709,0.47748408,-1.55050784,0.84464194,-0.48920502,0.00000000,-0.00000000
-5.98799400,2.21991009,-3.36011499,0.47413139,-0.28691404,0.18750476,-0.12062893,1.06769480,-2.60447029,0.63923962,-0.88460048,0.00089865,-0.00284737,0.45873003,-1.56070411,0.85356071,-0.49577412,0.00000000,-0.00000000
-5.98199100,2.20365621,-3.38160043,0.47334870,-0.28929820,0.19100569,-0.12611461,1.03409193,-2.59376032,0.63334491,-0.89618842,0.00092049,-0.00279473,0.44318354,-1.56685146,0.85944197,-0.50345102,0.00000000,-0.00000000
-5.97598799,2.18744616,-3.39910343,0.47054257,-0.29203501,0.19405063,-0.13233910,1.00357356,-2.57468943,0.62801119,-0.90713069,0.00094958,-0.00274221,0.43034053,-1.56907744,0.86231308,-0.51255969,0.00000000,-0.00000000
-5.96998499,2.17050022,-3.41341897,0.46584014,-0.29532718,0.19666188,-0.13938672,0.97553710,-2.54782400,0.62287469,-0.91751757,0.00098618,-0.00269289,0.41968219,-1.56755011,0.86228625,-0.52341611,0.00000000,-0.00000000
-5.96398199,2.15217528,-3.42535143,0.45941936,-0.29936979,0.19887641,-0.14733331,0.94941615,-2.51381823,0.61760624,-0.92742815,0.00103078,-0.00264973,0.41069185,-1.56246746,0.85955447,-0.53631399,0.00000000,-0.00000000
-5.95797899,2.13198130,-3.43567327,0.45150219,-0.30434176,0.20074450,-0.15624196,0.92469737,-2.47338994,0.61191976,-0.93692216,0.00108402,-0.00261550,0.40287031,-1.55404662,0.85438439,-0.55151042,0.00000000,-0.00000000
-5.95197599,2.10958987,-3.44508506,0.44234635,-0.31039757,0.20232773,-0.16615866,0.90093295,-2.42729585,0.60557859,-0.94603304,0.00114671,-0.00259264,0.39574929,-1.54251337,0.84710628,-0.56921180,0.00000000,-0.00000000
-5.94597299,2.08483512,-3.45417845,0.43223560,-0.31765967,0.20369653,-0.17710810,0.87774869,-2.37630713,0.59839952,-0.95476223,0.00121968,-0.00258320,0.38890280,-1.52809236,0.83810166,-0.58956090,0.00000000,-0.00000000
-5.93996998,2.05770743,-3.46340404,0.42146932,-0.32621162,0.20492717,-0.18908983,0.85484798,-2.32118658,0.59025468,-0.96307527,0.00130382,-0.00258873,0.38195628,-1.51099871,0.82778895,-0.61262531,0.00000000,-0.00000000
-5.93396698,2.02834064,-3.47304550,0.41035162,-0.33609258,0.20609847,-0.20207506,0.83201196,-2.26266823,0.58107124,-0.97089975,0.00139989,-0.00261023,0.37459341,-1.49143124,0.81660785,-0.63838808,0.00000000,-0.00000000
-5.92796398,1.99699380,-3.48320138,0.39918055,-0.34729316,0.20728834,-0.21600414,0.80909636,-2.20144021,0.57082929,-0.97812536,0.00150854,-0.00264812,0.36656050,-1.46956776,0.80500302,-0.66674100,0.00000000,-0.00000000
-5.92196098,1.96402845,-3.49377552,0.38823782,-0.35975300,0.20857015,-0.23078504,0.78602548,-2.13813152,0.55955787,-0.98460611,0.00163021,-0.00270217,0.35766864,-1.44556247,0.79340765,-0.69748083,0.00000000,-0.00000000
-5.91595798,1.92988267,-3.50447662,0.37777943,-0.37336013,0.21000923,-0.24629297,0.76278401,-2.07330307,0.54732963,-0.99016451,0.00176506,-0.00277157,0.34779364,-1.41954567,0.78222765,-0.73030898,0.00000000,-0.00000000
-5.90995498,1.89504311,-3.51482734,0.36802764,-0.38795224,0.21165956,-0.26237122,0.73940730,-2.00744312,0.53425425,-0.99459778,0.00191291,-0.00285486,0.33687388,-1.39162563,0.77182696,-0.76483472,0.00000000,-0.00000000
