energy_ev,total_up,N_s_up,N_p_up,Os_p_up,Os_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.26949044,0.00900222,0.48251904,0.40128305,0.81268239,0.00621784,0.87831869,0.34315823,0.13401215
-5.99399700,2.18867777,0.00921387,0.45934641,0.38973076,0.78347760,0.00609247,0.85026231,0.33052252,0.12893048
-5.98799400,2.11127087,0.00942728,0.43685578,0.37847821,0.75574899,0.00596860,0.82328777,0.31827690,0.12405032
-5.98199100,2.03751713,0.00963896,0.41522576,0.36759995,0.72953215,0.00584667,0.79742242,0.30650822,0.11938963
-5.97598799,1.96749712,0.00984464,0.39459179,0.35714240,0.70480278,0.00572684,0.77264361,0.29527656,0.11495680
-5.96998499,1.90113422,0.01003939,0.37504549,0.34712446,0.68148154,0.00560899,0.74888342,0.28461551,0.11075117
-5.96398199,1.83821050,0.01021779,0.35663584,0.33753969,0.65944093,0.00549266,0.72603524,0.27453368,0.10676406
-5.95797899,1.77838843,0.01037408,0.33937189,0.32835987,0.63851393,0.00537717,0.70396198,0.26501740,0.10297998
-5.95197599,1.72123719,0.01050242,0.32322709,0.31953980,0.61850400,0.00526158,0.68250557,0.25603433,0.09937816
-5.94597299,1.66626250,0.01059710,0.30814478,0.31102306,0.59919602,0.00514477,0.66149731,0.24753802,0.09593426
-5.93996998,1.61293861,0.01065280,0.29404471,0.30274846,0.58036770,0.00502555,0.64076871,0.23947297,0.09262220
-5.93396698,1.56074092,0.01066479,0.28083008,0.29465683,0.56180101,0.00490272,0.62016222,0.23178015,0.08941606
-5.92796398,1.50917773,0.01062915,0.26839502,0.28669779,0.54329295,0.00477517,0.59954153,0.22440259,0.08629183
-5.92196098,1.45781967,0.01054299,0.25663178,0.27883621,0.52466550,0.00464195,0.57880078,0.21729071,0.08322916
-5.91595798,1.40632556,0.01040455,0.24543768,0.27105792,0.50577394,0.00450238,0.55787244,0.21040735,0.08021285
-5.90995498,1.35446340,0.01021331,0.23472124,0.26337445,0.48651358,0.00435609,0.53673336,0.20373202,0.07723404
-5.90395198,1.30212571,0.00997006,0.22440727,0.25582661,0.46682437,0.00420308,0.51540880,0.19726425,0.07429113
-5.89794897,1.24933864,0.00967688,0.21444091,0.24848652,0.44669337,0.00404377,0.49397427,0.19102597,0.07139032
-5.89194597,1.19626442,0.00933708,0.20479021,0.24145816,0.42615496,0.00387896,0.47255494,0.18506261,0.06854572
-5.88594297,1.14319730,0.00895509,0.19544740,0.23487630,0.40528893,0.00370989,0.45132296,0.17944305,0.06577920
-5.87993997,1.09055328,0.00853637,0.18642872,0.22890375,0.38421659,0.00353814,0.43049243,0.17425823,0.06311967
-5.87393697,1.03885414,0.00808717,0.17777302,0.22372716,0.36309508,0.00336561,0.41031261,0.16961863,0.06060218
-5.86793397,0.98870669,0.00761437,0.16953905,0.21955141,0.34211027,0.00319446,0.39105935,0.16565064,0.05826664
-5.86193097,0.94077832,0.00712526,0.16180190,0.21659276,0.32146867,0.00302702,0.37302537,0.16249192,0.05615624
-5.85592796,0.89576977,0.00662732,0.15464852,0.21507109,0.30138862,0.00286572,0.35650961,0.16028604,0.05431578
-5.84992496,0.85438661,0.00612803,0.14817279,0.21520154,0.28209128,0.00271294,0.34180615,0.15917657,0.05278982
-5.84392196,0.81731049,0.00563471,0.14247023,0.21718566,0.26379176,0.00257100,0.32919318,0.15930075,0.05162075
-5.83791896,0.78517141,0.00515431,0.13763272,0.22120275,0.24669082,0.00244202,0.31892240,0.16078328,0.05084698
-5.83191596,0.75852216,0.00469330,0.13374340,0.22740142,0.23096738,0.00232783,0.31120928,0.16373017,0.05050117
-5.82591296,0.73781586,0.00425760,0.13087206,0.23589195,0.21677215,0.00222993,0.30622462,0.16822312,0.05060863
-5.81990995,0.72338760,0.00385251,0.12907108,0.24673967,0.20422262,0.00214943,0.30408758,0.17431471,0.05118606
-5.81390695,0.71544063,0.00348268,0.12837223,0.25995975,0.19339950,0.00208699,0.30486071,0.18202440,0.05224047
-5.80790395,0.71403794,0.00315214,0.12878441,0.27551373,0.18434464,0.00204280,0.30854699,0.19133592,0.05376852
-5.80190095,0.71909919,0.00286431,0.13029241,0.29330786,0.17706063,0.00201658,0.31508910,0.20219585,0.05575630
-5.79589795,0.73040339,0.00262210,0.13285673,0.31319374,0.17151175,0.00200757,0.32437099,0.21451379,0.05817941
-5.78989495,0.74759708,0.00242796,0.13641448,0.33497102,0.16762645,0.00201457,0.33622179,0.22816406,0.06100360
-5.78389195,0.77020781,0.00228396,0.14088135,0.35839253,0.16530105,0.00203600,0.35042186,0.24298899,0.06418575
-5.77788894,0.79766236,0.00219189,0.14615456,0.38317145,0.16440451,0.00206992,0.36671094,0.25880372,0.06767529
-5.77188594,0.82930913,0.00215334,0.15211659,0.40899064,0.16478412,0.00211410,0.38479798,0.27540243,0.07141596
-5.76588294,0.86444384,0.00216972,0.15863974,0.43551362,0.16627186,0.00216615,0.40437245,0.29256571,0.07534791
-5.75987994,0.90233749,0.00224236,0.16559104,0.46239697,0.16869117,0.00222353,0.42511663,0.31006893,0.07941002
-5.75387694,0.94226559,0.00237250,0.17283763,0.48930356,0.17186384,0.00228370,0.44671841,0.32769113,0.08354234
-5.74787394,0.98353745,0.00256128,0.18025212,0.51591618,0.17561691,0.00234419,0.46888411,0.34522428,0.08768860
-5.74187094,1.02552416,0.00280970,0.18771782,0.54195084,0.17978918,0.00240267,0.49135064,0.36248214,0.09179867
-5.73586793,1.06768438,0.00311858,0.19513357,0.56716924,0.18423720,0.00245708,0.51389669,0.37930872,0.09583077
-5.72986493,1.10958637,0.00348845,0.20241797,0.59138963,0.18884051,0.00250566,0.53635210,0.39558553,0.09975354
-5.72386193,1.15092562,0.00391946,0.20951276,0.61449569,0.19350594,0.00254703,0.55860522,0.41123749,0.10354757
-5.71785893,1.19153699,0.00441125,0.21638521,0.63644266,0.19817080,0.00258026,0.58060769,0.42623704,0.10720656
-5.71185593,1.23140077,0.00496282,0.22302939,0.65726058,0.20280492,0.00260489,0.60237638,0.44060614,0.11073791
-5.70585293,1.27064245,0.00557239,0.22946624,0.67705425,0.20741141,0.00262091,0.62399240,0.45441610,0.11416273
-5.69984992,1.30952588,0.00623732,0.23574234,0.69599979,0.21202625,0.00262884,0.64559711,0.46778509,0.11751528
-5.69384692,1.34844037,0.00695394,0.24192760,0.71433796,0.21671653,0.00262961,0.66738522,0.48087329,0.12084175
-5.68784392,1.38788196,0.00771755,0.24811175,0.73236444,0.22157769,0.00262460,0.68959537,0.49387605,0.12419861
-5.68184092,1.42843000,0.00852230,0.25439988,0.75041748,0.22672969,0.00261554,0.71249855,0.50701501,0.12765037
-5.67583792,1.47071982,0.00936125,0.26090727,0.76886347,0.23231235,0.00260445,0.73638485,0.52052784,0.13126698
-5.66983492,1.51541299,0.01022637,0.26775363,0.78808112,0.23848008,0.00259353,0.76154925,0.53465684,0.13512106
-5.66383192,1.56316642,0.01110865,0.27505716,0.80844499,0.24539620,0.00258513,0.78827713,0.54963700,0.13928478
-5.65782891,1.61460174,0.01199821,0.28292848,0.83030918,0.25322704,0.00258154,0.81683012,0.56568395,0.14382696
-5.65182591,1.67027636,0.01288451,0.29146504,0.85399188,0.26213607,0.00258501,0.84743309,0.58298246,0.14881005
