energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,0.89423896,0.16184574,0.73944966,0.00005248,0.00713836,0.00007215,0.15361123,0.04397125,0.02233415
-5.99399700,0.90720852,0.16418252,0.75046889,0.00004060,0.00724558,0.00005642,0.15573651,0.04435952,0.02253834
-5.98799400,0.91530790,0.16559219,0.75749624,0.00003121,0.00730982,0.00004385,0.15697934,0.04453297,0.02261557
-5.98199100,0.91817549,0.16601524,0.76022513,0.00002383,0.00732943,0.00003386,0.15728532,0.04447032,0.02255905
-5.97598799,0.91558861,0.16541715,0.75846343,0.00001808,0.00730395,0.00002598,0.15662368,0.04415823,0.02236563
-5.96998499,0.90746628,0.16378853,0.75213632,0.00001363,0.00723417,0.00001981,0.15498736,0.04359115,0.02203574
-5.96398199,0.89386781,0.16114452,0.74128575,0.00001021,0.00712209,0.00001501,0.15239244,0.04277089,0.02157322
-5.95797899,0.87498747,0.15752354,0.72606647,0.00000759,0.00697086,0.00001130,0.14887685,0.04170609,0.02098500
-5.95197599,0.85114538,0.15298535,0.70673901,0.00000561,0.00678476,0.00000845,0.14449851,0.04041160,0.02028080
-5.94597299,0.82277504,0.14760854,0.68365973,0.00000412,0.00656908,0.00000628,0.13933296,0.03890756,0.01947273
-5.93996998,0.79040818,0.14148761,0.65726863,0.00000301,0.00633001,0.00000464,0.13347048,0.03721861,0.01857479
-5.93396698,0.75465735,0.13472964,0.62807522,0.00000218,0.00607459,0.00000342,0.12701293,0.03537282,0.01760240
-5.92796398,0.71619723,0.12745073,0.59664315,0.00000157,0.00581050,0.00000251,0.12007044,0.03340073,0.01657190
-5.92196098,0.67574513,0.11977247,0.56357427,0.00000112,0.00554601,0.00000184,0.11275794,0.03133434,0.01550006
-5.91595798,0.63404162,0.11181834,0.52949247,0.00000080,0.00528981,0.00000136,0.10519188,0.02920616,0.01440362
-5.90995498,0.59183182,0.10371038,0.49502817,0.00000056,0.00505091,0.00000103,0.09748708,0.02704829,0.01329884
-5.90395198,0.54984802,0.09556619,0.46080367,0.00000040,0.00483851,0.00000081,0.08975384,0.02489167,0.01220115
-5.89794897,0.50879414,0.08749620,0.42741997,0.00000028,0.00466190,0.00000069,0.08209558,0.02276537,0.01112487
-5.89194597,0.46933228,0.07960157,0.39544522,0.00000020,0.00453033,0.00000064,0.07460681,0.02069614,0.01008292
-5.88594297,0.43207173,0.07197253,0.36540508,0.00000014,0.00445295,0.00000067,0.06737164,0.01870797,0.00908676
-5.87993997,0.39756053,0.06468727,0.33777502,0.00000010,0.00443868,0.00000078,0.06046288,0.01682195,0.00814622
-5.87393697,0.36627945,0.05781135,0.31297466,0.00000008,0.00449615,0.00000097,0.05394159,0.01505618,0.00726960
-5.86793397,0.33863846,0.05139770,0.29136390,0.00000008,0.00463357,0.00000126,0.04785712,0.01342586,0.00646367
-5.86193097,0.31497530,0.04548705,0.27324082,0.00000008,0.00485871,0.00000166,0.04224773,0.01194358,0.00573389
-5.85592796,0.29555612,0.04010872,0.25884116,0.00000011,0.00517876,0.00000220,0.03714141,0.01061964,0.00508453
-5.84992496,0.28057768,0.03528189,0.24833903,0.00000015,0.00560029,0.00000293,0.03255723,0.00946253,0.00451896
-5.84392196,0.27017099,0.03101706,0.24184881,0.00000021,0.00612917,0.00000388,0.02850684,0.00847947,0.00403992
-5.83791896,0.26440605,0.02731766,0.23942796,0.00000031,0.00677049,0.00000512,0.02499619,0.00767703,0.00364981
-5.83191596,0.26329745,0.02418189,0.24108053,0.00000045,0.00752855,0.00000671,0.02202732,0.00706179,0.00335099
-5.82591296,0.26681063,0.02160453,0.24676140,0.00000066,0.00840681,0.00000874,0.01960024,0.00664098,0.00314610
-5.81990995,0.27486864,0.01957871,0.25638095,0.00000097,0.00940791,0.00001131,0.01771471,0.00642314,0.00303837
-5.81390695,0.28735925,0.01809765,0.26981034,0.00000141,0.01053365,0.00001453,0.01637194,0.00641876,0.00303185
-5.80790395,0.30414233,0.01715619,0.28688714,0.00000203,0.01178513,0.00001854,0.01557614,0.00664086,0.00313167
-5.80190095,0.32505734,0.01675219,0.30742145,0.00000291,0.01316274,0.00002350,0.01533580,0.00710545,0.00334424
-5.79589795,0.34993102,0.01688760,0.33120243,0.00000414,0.01466638,0.00002958,0.01566475,0.00783201,0.00367735
-5.78989495,0.37858483,0.01756940,0.35800509,0.00000585,0.01629554,0.00003698,0.01658289,0.00884367,0.00414028
-5.78389195,0.41084241,0.01881014,0.38759738,0.00000821,0.01804948,0.00004593,0.01811659,0.01016746,0.00474376
-5.77788894,0.44653648,0.02062821,0.41974738,0.00001144,0.01992744,0.00005666,0.02029873,0.01183424,0.00549991
-5.77188594,0.48551524,0.02304783,0.45423031,0.00001582,0.02192873,0.00006942,0.02316832,0.01387855,0.00642206
-5.76588294,0.52764783,0.02609864,0.49083532,0.00002172,0.02405294,0.00008449,0.02676983,0.01633824,0.00752447
-5.75987994,0.57282872,0.02981508,0.52937150,0.00002960,0.02629999,0.00010215,0.03115205,0.01925392,0.00882200
-5.75387694,0.62098057,0.03423536,0.56967309,0.00004006,0.02867016,0.00012268,0.03636660,0.02266817,0.01032967
-5.74787394,0.67205543,0.03940025,0.61160341,0.00005383,0.03116406,0.00014637,0.04246616,0.02662466,0.01206211
-5.74187094,0.72603404,0.04535160,0.65505730,0.00007180,0.03378248,0.00017350,0.04950237,0.03116697,0.01403302
-5.73586793,0.78292307,0.05213061,0.69996186,0.00009510,0.03652613,0.00020433,0.05752352,0.03633731,0.01625448
-5.72986493,0.84275035,0.05977609,0.74627538,0.00012504,0.03939534,0.00023907,0.06657207,0.04217513,0.01873632
-5.72386193,0.90555806,0.06832252,0.79398442,0.00016324,0.04238960,0.00027793,0.07668217,0.04871558,0.02148544
-5.71785893,0.97139425,0.07779817,0.84309907,0.00021159,0.04550706,0.00032105,0.08787714,0.05598796,0.02450514
-5.71185593,1.04030303,0.08822332,0.89364671,0.00027228,0.04874398,0.00036851,0.10016714,0.06401419,0.02779457
-5.70585293,1.11231379,0.09960862,0.94566450,0.00034787,0.05209408,0.00042034,0.11354712,0.07280726,0.03134823
-5.69984992,1.18743022,0.11195359,0.99919107,0.00044126,0.05554805,0.00047646,0.12799510,0.08236993,0.03515557
-5.69384692,1.26561960,0.12524557,1.05425778,0.00055571,0.05909295,0.00053675,0.14347088,0.09269348,0.03920077
-5.68784392,1.34680306,0.13945889,1.11088024,0.00069483,0.06271181,0.00060096,0.15991537,0.10375678,0.04346270
-5.68184092,1.43084738,0.15455447,1.16905034,0.00086254,0.06638335,0.00066876,0.17725043,0.11552557,0.04791506
-5.67583792,1.51755888,0.17047974,1.22872952,0.00106306,0.07008182,0.00073973,0.19537937,0.12795213,0.05252666
-5.66983492,1.60667978,0.18716907,1.28984334,0.00130081,0.07377707,0.00081334,0.21418808,0.14097520,0.05726198
-5.66383192,1.69788707,0.20454438,1.35227787,0.00158031,0.07743487,0.00088900,0.23354677,0.15452031,0.06208182
-5.65782891,1.79079428,0.22251617,1.41587773,0.00190610,0.08101743,0.00096600,0.25331213,0.16850043,0.06694416
-5.65182591,1.88495556,0.24098470,1.48044607,0.00228258,0.08448407,0.00104358,0.27333009,0.18281694,0.07180511
-5.64582291,1.97987214,0.25984135,1.54574594,0.00271383,0.08779222,0.00112091,0.29343876,0.19736093,0.07661990
-5.63981991,2.07500041,0.27896999,1.61150317,0.00320342,0.09089850,0.00119711,0.31347161,0.21201470,0.08134398
-5.63381691,2.16976123,0.29824837,1.67741007,0.00375423,0.09375990,0.00127128,0.33326071,0.22665351,0.08593403
-5.62781391,2.26354988,0.31754939,1.74312984,0.00436822,0.09633514,0.00134250,0.35263989,0.24114751,0.09034895
-5.62181091,2.35574598,0.33674223,1.80830108,0.00504619,0.09858594,0.00140987,0.37144767,0.25536374,0.09455069
-5.61580790,2.44572294,0.35569329,1.87254228,0.00578762,0.10047827,0.00147249,0.38952992,0.26916818,0.09850499
-5.60980490,2.53285663,0.37426702,1.93545600,0.00659042,0.10198358,0.00152954,0.40674215,0.28242791,0.10218193
-5.60380190,2.61653303,0.39232657,1.99663262,0.00745081,0.10307972,0.00158022,0.42295135,0.29501318,0.10555630
-5.59779890,2.69615474,0.40973438,2.05565372,0.00836317,0.10375184,0.00162384,0.43803747,0.30679946,0.10860782
-5.59179590,2.77114670,0.42635279,2.11209528,0.00932003,0.10399289,0.00165981,0.45189447,0.31766942,0.11132109
-5.58579290,2.84096120,0.44204478,2.16553101,0.01031199,0.10380397,0.00168763,0.46443109,0.32751488,0.11368557
-5.57978989,2.90508277,0.45667491,2.21553603,0.01132785,0.10319439,0.00170691,0.47557125,0.33623866,0.11569524
-5.57378689,2.96303321,0.47011057,2.26169139,0.01235475,0.10218138,0.00171742,0.48525443,0.34375628,0.11734835
-5.56778389,3.01437732,0.48222364,2.30358976,0.01337835,0.10078972,0.00171903,0.49343582,0.34999763,0.11864699
-5.56178089,3.05872958,0.49289252,2.34084243,0.01438321,0.09905092,0.00171175,0.50008646,0.35490846,0.11959678
-5.55577789,3.09576193,0.50200467,2.37308786,0.01535307,0.09700239,0.00169572,0.50519352,0.35845173,0.12020643
-5.54977489,3.12521273,0.50945943,2.40000158,0.01627136,0.09468634,0.00167122,0.50876044,0.36060877,0.12048752
-5.54377189,3.14689652,0.51517125,2.42130727,0.01712162,0.09214864,0.00163863,0.51080726,0.36138018,0.12045417
-5.53776888,3.16071415,0.51907295,2.43678841,0.01788803,0.08943748,0.00159846,0.51137083,0.36078649,0.12012286
-5.53176588,3.16666265,0.52111900,2.44630007,0.01855588,0.08660217,0.00155128,0.51050503,0.35886838,0.11951234
-5.52576288,3.16484392,0.52128861,2.44977977,0.01911211,0.08369181,0.00149780,0.50828074,0.35568662,0.11864343
-5.51975988,3.15547134,0.51958830,2.44725679,0.01954572,0.08075408,0.00143875,0.50478555,0.35132142,0.11753902
-5.51375688,3.13887343,0.51605380,2.43885892,0.01984814,0.07783408,0.00137495,0.50012313,0.34587137,0.11622388
-5.50775388,3.11549365,0.51075111,2.42481584,0.02001360,0.07497330,0.00130722,0.49441198,0.33945185,0.11472456
-5.50175088,3.08588572,0.50377655,2.40545870,0.02003930,0.07220873,0.00123644,0.48778380,0.33219284,0.11306912
-5.49574787,3.05070407,0.49525565,2.38121508,0.01992554,0.06957206,0.00116346,0.48038108,0.32423629,0.11128685
-5.48974487,3.01068923,0.48534084,2.35259960,0.01967570,0.06708915,0.00108913,0.47235422,0.31573300,0.10940782
-5.48374187,2.96664858,0.47420807,2.32020004,0.01929614,0.06477959,0.00101427,0.46385800,0.30683907,0.10746236
-5.47773887,2.91943292,0.46205229,2.28465944,0.01879599,0.06265646,0.00093967,0.45504769,0.29771212,0.10548043
-5.47173587,2.86990983,0.44908216,2.24665507,0.01818680,0.06072633,0.00086603,0.44607472,0.28850725,0.10349093
-5.46573287,2.81893501,0.43551391,2.20687508,0.01748217,0.05898935,0.00079403,0.43708234,0.27937306,0.10152096
-5.45972986,2.76732309,0.42156503,2.16599407,0.01669726,0.05743958,0.00072424,0.42820124,0.27044768,0.09959505
-5.45372686,2.71581928,0.40744762,2.12464883,0.01584833,0.05606547,0.00065717,0.41954548,0.26185512,0.09773442
-5.44772386,2.66507339,0.39336215,2.08341555,0.01495216,0.05485046,0.00059324,0.41120891,0.25370200,0.09595632
-5.44172086,2.61561772,0.37949151,2.04278962,0.01402558,0.05377374,0.00053280,0.40326222,0.24607484,0.09427353
-5.43571786,2.56784991,0.36599600,2.00316925,0.01308494,0.05281110,0.00047610,0.39575089,0.23903794,0.09269388
-5.42971486,2.52202169,0.35300917,1.96484360,0.01214567,0.05193586,0.00042330,0.38869409,0.23263208,0.09122010
-5.42371186,2.47823420,0.34063485,1.92798603,0.01122191,0.05111984,0.00037452,0.38208456,0.22687396,0.08984973
-5.41770885,2.43643995,0.32894553,1.89265280,0.01032616,0.05033439,0.00032976,0.37588965,0.22175644,0.08857530
-5.41170585,2.39645142,0.31798189,1.85878708,0.00946905,0.04955132,0.00028901,0.37005331,0.21724962,0.08738471
-5.40570285,2.35795567,0.30775376,1.82622802,0.00865924,0.04874388,0.00025216,0.36449906,0.21330269,0.08626175
-5.39969985,2.32053413,0.29824215,1.79472422,0.00790325,0.04788761,0.00021907,0.35913377,0.20984639,0.08518679
-5.39369685,2.28368663,0.28940248,1.76395077,0.00720560,0.04696110,0.00018956,0.35385207,0.20679613,0.08413767
-5.38769385,2.24685818,0.28116855,1.73352892,0.00656879,0.04594660,0.00016344,0.34854119,0.20405553,0.08309055
-5.38169085,2.20946741,0.27345726,1.70304732,0.00599351,0.04483054,0.00014046,0.34308609,0.20152027,0.08202095
-5.37568784,2.17093507,0.26617379,1.67208374,0.00547883,0.04360386,0.00012039,0.33737458,0.19908214,0.08090475
-5.36968484,2.13071155,0.25921691,1.64022617,0.00502245,0.04226217,0.00010299,0.33130224,0.19663307,0.07971915
-5.36368184,2.08830206,0.25248441,1.60709247,0.00462093,0.04080580,0.00008801,0.32477704,0.19406911,0.07844361
-5.35767884,2.04328869,0.24587820,1.57234777,0.00427003,0.03923967,0.00007523,0.31772337,0.19129401,0.07706074
-5.35167584,1.99534851,0.23930915,1.53571896,0.00396496,0.03757307,0.00006443,0.31008548,0.18822261,0.07555703
-5.34567284,1.94426738,0.23270135,1.49700589,0.00370064,0.03581926,0.00005542,0.30183017,0.18478358,0.07392350
-5.33966983,1.88994920,0.22599580,1.45608915,0.00347201,0.03399509,0.00004803,0.29294870,0.18092172,0.07215625
-5.33366683,1.83242057,0.21915338,1.41293434,0.00327420,0.03212046,0.00004211,0.28345797,0.17659960,0.07025680
-5.32766383,1.77183134,0.21215721,1.36759307,0.00310278,0.03021784,0.00003756,0.27340092,0.17179861,0.06823245
-5.32166083,1.70845131,0.20501425,1.32020102,0.00295393,0.02831177,0.00003431,0.26284621,0.16651935,0.06609634
-5.31565783,1.64266366,0.19775629,1.27097336,0.00282454,0.02642833,0.00003233,0.25188733,0.16078147,0.06386759
-5.30965483,1.57495595,0.19044030,1.22019826,0.00271237,0.02459477,0.00003161,0.24064124,0.15462294,0.06157120
-5.30365183,1.50590918,0.18314834,1.16822889,0.00261608,0.02283907,0.00003221,0.22924654,0.14809882,0.05923794
