energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,2.02324143,0.85501334,0.91706847,0.00122561,0.01959888,0.01364613,1.04820750,0.21711011,0.12870660
-5.99399700,1.97850504,0.83237301,0.90093938,0.00108650,0.01928931,0.01307157,1.02358015,0.20967166,0.12579547
-5.98799400,1.92937326,0.80876056,0.88319047,0.00096325,0.01890342,0.01250440,0.99631973,0.20188646,0.12243695
-5.98199100,1.87590725,0.78413408,0.86385546,0.00085410,0.01844621,0.01193907,0.96645365,0.19373235,0.11865379
-5.97598799,1.81839030,0.75854805,0.84306167,0.00075748,0.01792482,0.01137165,0.93413091,0.18521246,0.11448275
-5.96998499,1.75731175,0.73214809,0.82102236,0.00067199,0.01734836,0.01079990,0.89961423,0.17635380,0.10997331
-5.96398199,1.69334356,0.70516219,0.79802576,0.00059645,0.01672756,0.01022313,0.86326824,0.16720494,0.10518591
-5.95797899,1.62731095,0.67788924,0.77442171,0.00052984,0.01607453,0.00964213,0.82554445,0.15783301,0.10018990
-5.95197599,1.56015903,0.65068559,0.75060655,0.00047133,0.01540233,0.00905896,0.78696388,0.14832012,0.09506126
-5.94597299,1.49291688,0.62395029,0.72700721,0.00042025,0.01472463,0.00847676,0.74809813,0.13875956,0.08988026
-5.93996998,1.42666105,0.59810989,0.70406519,0.00037608,0.01405533,0.00789948,0.70954995,0.12925179,0.08472911
-5.93396698,1.36247973,0.57360333,0.68222125,0.00033843,0.01340824,0.00733167,0.67193377,0.11990056,0.07968965
-5.92796398,1.30143929,0.55086759,0.66190134,0.00030701,0.01279670,0.00677819,0.63585726,0.11080915,0.07484119
-5.92196098,1.24455385,0.53032445,0.64350438,0.00028161,0.01223327,0.00624403,0.60190416,0.10207701,0.07025862
-5.91595798,1.19275911,0.51236881,0.62739212,0.00026212,0.01172950,0.00573403,0.57061905,0.09379675,0.06601069
-5.90995498,1.14689059,0.49735881,0.61388139,0.00024845,0.01129567,0.00525272,0.54249420,0.08605168,0.06215858
-5.90395198,1.10766675,0.48560764,0.60323865,0.00024058,0.01094057,0.00480417,0.51795883,0.07891380,0.05875479
-5.89794897,1.07567684,0.47737732,0.59567692,0.00023848,0.01067138,0.00439184,0.49737065,0.07244237,0.05584229
-5.89194597,1.05137321,0.47287419,0.59135471,0.00024216,0.01049354,0.00401848,0.48100981,0.06668288,0.05345390
-5.88594297,1.03506781,0.47224589,0.59037678,0.00025160,0.01041067,0.00368609,0.46907499,0.06166662,0.05161197
-5.87993997,1.02693214,0.47557990,0.59279634,0.00026676,0.01042452,0.00339586,0.46168154,0.05741058,0.05032828
-5.87393697,1.02700030,0.48290315,0.59861819,0.00028760,0.01053493,0.00314819,0.45886146,0.05391770,0.04960411
-5.86793397,1.03517433,0.49418262,0.60780264,0.00031399,0.01073991,0.00294267,0.46056494,0.05117753,0.04943054
-5.86193097,1.05123151,0.50932681,0.62026960,0.00034577,0.01103562,0.00277815,0.46666338,0.04916705,0.04978888
-5.85592796,1.07483299,0.52818778,0.63590270,0.00038269,0.01141652,0.00265279,0.47695361,0.04785173,0.05065125
-5.84992496,1.10553342,0.55056381,0.65455316,0.00042445,0.01187543,0.00256411,0.49116323,0.04718672,0.05198133
-5.84392196,1.14279135,0.57620247,0.67604316,0.00047062,0.01240369,0.00250910,0.50895699,0.04711824,0.05373520
-5.83791896,1.18598018,0.60480419,0.70016874,0.00052072,0.01299135,0.00248425,0.52994399,0.04758493,0.05586233
-5.83191596,1.23439956,0.63602633,0.72670219,0.00057413,0.01362738,0.00248572,0.55368582,0.04851939,0.05830664
-5.82591296,1.28728726,0.66948766,0.75539389,0.00063016,0.01429992,0.00250935,0.57970543,0.04984971,0.06100776
-5.81990995,1.34383148,0.70477345,0.78597389,0.00068801,0.01499652,0.00255082,0.60749671,0.05150097,0.06390232
-5.81390695,1.40318357,0.74144106,0.81815323,0.00074681,0.01570447,0.00260572,0.63653462,0.05339689,0.06692532
-5.80790395,1.46447128,0.77902604,0.85162521,0.00080561,0.01641110,0.00266963,0.66628584,0.05546132,0.07001160
-5.80190095,1.52681226,0.81704891,0.88606683,0.00086341,0.01710409,0.00273825,0.69621961,0.05761981,0.07309730
-5.79589795,1.58932795,0.85502221,0.92114053,0.00091917,0.01777178,0.00280743,0.72581868,0.05980108,0.07612137
-5.78989495,1.65115740,0.89245805,0.95649629,0.00097185,0.01840351,0.00287332,0.75458993,0.06193841,0.07902692
-5.78389195,1.71147106,0.92887585,0.99177434,0.00102044,0.01898987,0.00293238,0.78207458,0.06397094,0.08176262
-5.77788894,1.76948388,0.96381009,1.02660832,0.00106395,0.01952293,0.00298147,0.80785739,0.06584481,0.08428381
-5.77188594,1.82446768,0.99681804,1.06062915,0.00110150,0.01999646,0.00301793,0.83157480,0.06751413,0.08655350
-5.76588294,1.87576223,1.02748701,1.09346932,0.00113228,0.02040606,0.00303958,0.85292154,0.06894171,0.08854311
