energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,1.50704304,0.00076297,0.06701527,0.48516871,0.60384678,0.43840542,0.12152568,0.87334649,0.00000000
-5.99399700,1.52505997,0.00083731,0.06585244,0.49123454,0.61506163,0.44294149,0.12272467,0.88600271,0.00000000
-5.98799400,1.54657012,0.00092049,0.06477770,0.49811833,0.62790390,0.44880382,0.12417791,0.90075339,0.00000000
-5.98199100,1.57203990,0.00101235,0.06382728,0.50597039,0.64249558,0.45614185,0.12592976,0.91786125,0.00000000
-5.97598799,1.60179313,0.00111263,0.06303378,0.51489929,0.65888846,0.46505687,0.12801484,0.93750529,0.00000000
-5.96998499,1.63598103,0.00122086,0.06242460,0.52496214,0.67705391,0.47559297,0.13045545,0.95976333,0.00000000
-5.96398199,1.67455947,0.00133640,0.06202056,0.53615734,0.69687620,0.48773024,0.13325963,0.98459870,0.00000000
-5.95797899,1.71727492,0.00145841,0.06183483,0.54841998,0.71814973,0.50138038,0.13641968,1.01185212,0.00000000
-5.95197599,1.76366020,0.00158584,0.06187217,0.56162037,0.74058048,0.51638526,0.13991156,1.04123923,0.00000000
-5.94597299,1.81304023,0.00171743,0.06212858,0.57556584,0.76379170,0.53251852,0.14369505,1.07235406,0.00000000
-5.93996998,1.86454809,0.00185173,0.06259131,0.59000567,0.78733379,0.54949017,0.14771462,1.10467852,0.00000000
-5.93396698,1.91715060,0.00198712,0.06323930,0.60463920,0.81069786,0.56695418,0.15190120,1.13759747,0.00000000
-5.92796398,1.96968234,0.00212185,0.06404393,0.61912645,0.83333255,0.58451877,0.15617453,1.17041881,0.00000000
-5.92196098,2.02088671,0.00225405,0.06497019,0.63310103,0.85466314,0.60175894,0.16044611,1.20239769,0.00000000
-5.91595798,2.06946190,0.00238181,0.06597804,0.64618453,0.87411238,0.61823079,0.16462261,1.23276365,0.00000000
-5.90995498,2.11410980,0.00250323,0.06702402,0.65800185,0.89112167,0.63348692,0.16860947,1.26074946,0.00000000
-5.90395198,2.15358524,0.00261646,0.06806299,0.66819648,0.90517201,0.64709240,0.17231458,1.28562022,0.00000000
-5.89794897,2.18674341,0.00271978,0.06904984,0.67644525,0.91580334,0.65864041,0.17565188,1.30670139,0.00000000
-5.89194597,2.21258299,0.00281163,0.06994126,0.68247159,0.92263165,0.66776695,0.17854456,1.32340425,0.00000000
-5.88594297,2.23028306,0.00289069,0.07069726,0.68605681,0.92536290,0.67416403,0.18092789,1.33524772,0.00000000
-5.87993997,2.23923209,0.00295591,0.07128257,0.68704881,0.92380320,0.67759058,0.18275132,1.34187551,0.00000000
