energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Li_s_up,Li_s_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,5.42976223,-5.42958451,0.10707678,-0.10707574,1.06046199,-1.06063809,1.53163557,-1.53180449,1.06735122,-1.06720509,0.22171303,-0.22169731,0.04950980,-0.04950502,1.70436213,-1.70410055
-5.99399700,5.43206060,-5.43214648,0.10778410,-0.10778914,1.04422934,-1.04445916,1.51342041,-1.51366880,1.06777456,-1.06768488,0.22356634,-0.22356177,0.05068526,-0.05068239,1.72932608,-1.72914369
-5.98799400,5.41149053,-5.41184564,0.10800046,-0.10801194,1.02361402,-1.02389560,1.48859879,-1.48892502,1.06362064,-1.06358926,0.22449206,-0.22449940,0.05168315,-0.05168228,1.74695332,-1.74685577
-5.98199100,5.36788782,-5.36851355,0.10769746,-0.10771560,0.99886692,-0.99919744,1.45748832,-1.45788951,1.05480866,-1.05483638,0.22443431,-0.22445414,0.05248751,-0.05248872,1.75679897,-1.75679070
-5.97598799,5.30141499,-5.30230827,0.10685704,-0.10688193,0.97029668,-0.97067249,1.42050195,-1.42097395,1.04133357,-1.04142010,0.22335428,-0.22338694,0.05308438,-0.05308770,1.75852944,-1.75861344
-5.96998499,5.21257637,-5.21372951,0.10547248,-0.10550406,0.93826420,-0.93868088,1.37814309,-1.37868056,1.02326953,-1.02341346,0.22123247,-0.22127803,0.05346240,-0.05346784,1.75193911,-1.75211677
-5.96398199,5.10222621,-5.10362696,0.10354900,-0.10358704,0.90317613,-0.90362860,1.33099938,-1.33159587,1.00077102,-1.00096985,0.21807038,-0.21812866,0.05361344,-0.05362096,1.73696462,-1.73723560
-5.95797899,4.97156936,-4.97320106,0.10110383,-0.10114796,0.86547771,-0.86596034,1.27973528,-1.28038334,0.97407165,-0.97432181,0.21389164,-0.21396216,0.05353319,-0.05354273,1.71369585,-1.71405802
-5.95197599,4.82215437,-4.82399617,0.09816594,-0.09821567,0.82564512,-0.82615182,1.22508364,-1.22577497,0.94348067,-0.94377763,0.20874240,-0.20882442,0.05322172,-0.05323317,1.68238315,-1.68283256
-5.94597299,4.65585870,-4.65788596,0.09477536,-0.09483004,0.78417758,-0.78470197,1.16783669,-1.16856230,0.90937743,-0.90971579,0.20269107,-0.20278359,0.05268402,-0.05269723,1.64344040,-1.64397134
-5.93996998,4.47486672,-4.47705147,0.09098207,-0.09104095,0.74158962,-0.74212515,1.10883657,-1.10958695,0.87220396,-0.87257759,0.19582744,-0.19592920,0.05193039,-0.05194518,1.59744368,-1.59804872
