energy_ev,total_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up,Zn_p_up,Zn_d_up
-6.00000000,0.34162857,0.00572730,0.05135461,0.04766839,0.00021152,0.07256527,0.07389054
-5.99399700,0.32633702,0.00520102,0.05134411,0.04326946,0.00020937,0.07011110,0.07280318
-5.98799400,0.31158306,0.00469015,0.05132790,0.03900961,0.00020720,0.06768430,0.07181701
-5.98199100,0.29738512,0.00420010,0.05127319,0.03493590,0.00020483,0.06527509,0.07087922
-5.97598799,0.28375304,0.00373528,0.05115243,0.03108737,0.00020214,0.06287299,0.06994274
-5.96998499,0.27069279,0.00329910,0.05094461,0.02749490,0.00019901,0.06046789,0.06896828
-5.96398199,0.25821104,0.00289403,0.05063639,0.02418136,0.00019532,0.05805100,0.06792593
-5.95797899,0.24631944,0.00252159,0.05022289,0.02116204,0.00019101,0.05561581,0.06679628
-5.95197599,0.23503841,0.00218249,0.04970813,0.01844528,0.00018602,0.05315876,0.06557117
-5.94597299,0.22440005,0.00187668,0.04910517,0.01603319,0.00018035,0.05067987,0.06425393
-5.93996998,0.21445017,0.00160350,0.04843587,0.01392258,0.00017400,0.04818300,0.06285908
-5.93396698,0.20524931,0.00136179,0.04773032,0.01210578,0.00016700,0.04567602,0.06141170
-5.92796398,0.19687258,0.00114998,0.04702598,0.01057161,0.00015942,0.04317067,0.05994630
-5.92196098,0.18940859,0.00096630,0.04636658,0.00930620,0.00015133,0.04068228,0.05850541
-5.91595798,0.18295729,0.00080882,0.04580069,0.00829376,0.00014285,0.03822929,0.05713786
-5.90995498,0.17762698,0.00067561,0.04538031,0.00751729,0.00013407,0.03583262,0.05589685
-5.90395198,0.17353066,0.00056487,0.04515915,0.00695914,0.00012511,0.03351499,0.05483794
-5.89794897,0.17078184,0.00047503,0.04519098,0.00660145,0.00011612,0.03130011,0.05401697
-5.89194597,0.16949013,0.00040487,0.04552796,0.00642652,0.00010719,0.02921196,0.05348800
-5.88594297,0.16975671,0.00035366,0.04621901,0.00641706,0.00009847,0.02727402,0.05330141
-5.87993997,0.17167005,0.00032127,0.04730831,0.00655629,0.00009005,0.02550860,0.05350215
-5.87393697,0.17530193,0.00030836,0.04883392,0.00682811,0.00008205,0.02393633,0.05412821
-5.86793397,0.18070416,0.00031654,0.05082668,0.00721704,0.00007455,0.02257570,0.05520940
-5.86193097,0.18790591,0.00034855,0.05330922,0.00770833,0.00006764,0.02144281,0.05676642
-5.85592796,0.19691213,0.00040855,0.05629532,0.00828788,0.00006138,0.02055124,0.05881030
-5.84992496,0.20770288,0.00050241,0.05978955,0.00894232,0.00005582,0.01991217,0.06134215
-5.84392196,0.22023386,0.00063798,0.06378712,0.00965906,0.00005101,0.01953455,0.06435332
-5.83791896,0.23443815,0.00082555,0.06827413,0.01042640,0.00004697,0.01942555,0.06782586
-5.83191596,0.25022911,0.00107827,0.07322806,0.01123368,0.00004373,0.01959109,0.07173338
-5.82591296,0.26750466,0.00141262,0.07861861,0.01207162,0.00004130,0.02003654,0.07604218
-5.81990995,0.28615259,0.00184897,0.08440881,0.01293258,0.00003970,0.02076750,0.08071268
-5.81390695,0.30605715,0.00241214,0.09055637,0.01381105,0.00003894,0.02179078,0.08570111
-5.80790395,0.32710653,0.00313201,0.09701534,0.01470415,0.00003904,0.02311535,0.09096139
-5.80190095,0.34920126,0.00404408,0.10373794,0.01561224,0.00004005,0.02475339,0.09644718
-5.79589795,0.37226318,0.00519004,0.11067652,0.01653966,0.00004199,0.02672140,0.10211399
-5.78989495,0.39624487,0.00661825,0.11778568,0.01749542,0.00004496,0.02904120,0.10792132
-5.78389195,0.42113900,0.00838409,0.12502435,0.01849406,0.00004902,0.03174098,0.11383480
-5.77788894,0.44698752,0.01055021,0.13235784,0.01955650,0.00005433,0.03485619,0.11982807
-5.77188594,0.47389001,0.01318653,0.13975979,0.02071086,0.00006105,0.03843034,0.12588459
-5.76588294,0.50201093,0.01636995,0.14721376,0.02199330,0.00006938,0.04251553,0.13199901
-5.75987994,0.53158526,0.02018383,0.15471464,0.02344880,0.00007959,0.04717282,0.13817826
-5.75387694,0.56292195,0.02471707,0.16226952,0.02513175,0.00009201,0.05247220,0.14444208
-5.74787394,0.59640494,0.03006279,0.16989809,0.02710644,0.00010701,0.05849230,0.15082311
-5.74187094,0.63249115,0.03631663,0.17763255,0.02944733,0.00012503,0.06531963,0.15736631
-5.73586793,0.67170508,0.04357464,0.18551676,0.03223895,0.00014657,0.07304737,0.16412786
-5.72986493,0.71462997,0.05193079,0.19360494,0.03557552,0.00017221,0.08177372,0.17117334
-5.72386193,0.76189512,0.06147411,0.20195957,0.03956012,0.00020256,0.09159972,0.17857542
-5.71785893,0.81415956,0.07228562,0.21064889,0.04430331,0.00023830,0.10262656,0.18641090
-5.71185593,0.87209210,0.08443504,0.21974376,0.04992132,0.00028014,0.11495247,0.19475737
-5.70585293,0.93634819,0.09797759,0.22931421,0.05653354,0.00032881,0.12866912,0.20368945
-5.69984992,1.00754413,0.11295075,0.23942571,0.06425950,0.00038506,0.14385764,0.21327483
-5.69384692,1.08622921,0.12937153,0.25013531,0.07321522,0.00044960,0.16058440,0.22357024
-5.68784392,1.17285674,0.14723403,0.26148783,0.08350901,0.00052309,0.17889661,0.23461748
-5.68184092,1.26775498,0.16650778,0.27351229,0.09523680,0.00060613,0.19881785,0.24643976
-5.67583792,1.37109911,0.18713685,0.28621876,0.10847715,0.00069920,0.22034377,0.25903847
-5.66983492,1.48288531,0.20903990,0.29959561,0.12328599,0.00080262,0.24343801,0.27239053
-5.66383192,1.60290841,0.23211131,0.31360763,0.13969145,0.00091653,0.26802865,0.28644646
-5.65782891,1.73074400,0.25622324,0.32819472,0.15768882,0.00104086,0.29400529,0.30112938
-5.65182591,1.86573640,0.28122889,0.34327151,0.17723615,0.00117527,0.32121696,0.31633483
-5.64582291,2.00699319,0.30696654,0.35872783,0.19825041,0.00131915,0.34947100,0.33193161
-5.63981991,2.15338727,0.33326445,0.37442999,0.22060488,0.00147160,0.37853314,0.34776363
-5.63381691,2.30356669,0.35994617,0.39022287,0.24412768,0.00163140,0.40812886,0.36365259
-5.62781391,2.45597271,0.38683613,0.40593277,0.26860192,0.00179700,0.43794602,0.37940157
-5.62181091,2.60886578,0.41376512,0.42137085,0.29376743,0.00196657,0.46763905,0.39479933
-5.61580790,2.76035901,0.44057524,0.43633710,0.31932437,0.00213800,0.49683437,0.40962523
-5.60980490,2.90845837,0.46712408,0.45062470,0.34493859,0.00230892,0.52513724,0.42365453
-5.60380190,3.05110838,0.49328768,0.46402458,0.37024872,0.00247678,0.55213981,0.43666397
-5.59779890,3.18624194,0.51896217,0.47633018,0.39487482,0.00263887,0.57743014,0.44843739
-5.59179590,3.31183256,0.54406373,0.48734215,0.41842839,0.00279244,0.60060204,0.45877129
-5.58579290,3.42594726,0.56852693,0.49687289,0.44052322,0.00293471,0.62126537,0.46748003
-5.57978989,3.52679802,0.59230148,0.50475095,0.46078681,0.00306301,0.63905650,0.47440062
-5.57378689,3.61279005,0.61534742,0.51082504,0.47887183,0.00317485,0.65364855,0.47939688
