energy_ev,total_up,Ir_p_up,Ir_d_up,P_s_up,P_p_up,Se_s_up,Se_p_up
-6.00000000,4.77948023,0.88317906,2.62685660,0.01309209,0.73995244,0.06450034,1.56716571
-5.99399700,4.64041590,0.84439038,2.56150215,0.01232684,0.71813870,0.06284417,1.51684106
-5.98799400,4.50397681,0.80786649,2.49656598,0.01160003,0.69532043,0.06127432,1.46805574
-5.98199100,4.37095842,0.77380048,2.43244630,0.01092089,0.67155774,0.05980793,1.42110666
-5.97598799,4.24229639,0.74239014,2.36963103,0.01029763,0.64694833,0.05846502,1.37632685
-5.96998499,4.11904415,0.71383739,2.30868299,0.00973723,0.62162666,0.05726814,1.33407886
-5.96398199,4.00234009,0.68834607,2.25021918,0.00924530,0.59576152,0.05624163,1.29474484
-5.95797899,3.89336584,0.66611813,2.19488504,0.00882592,0.56955171,0.05541088,1.25871355
-5.95197599,3.79329750,0.64734824,2.14332527,0.00848155,0.54322036,0.05480126,1.22636509
-5.94597299,3.70325251,0.63221717,2.09615253,0.00821298,0.51700788,0.05443710,1.19805405
-5.93996998,3.62423528,0.62088428,2.05391604,0.00801936,0.49116401,0.05434042,1.17409205
-5.93396698,3.55708461,0.61347955,2.01707189,0.00789820,0.46593940,0.05452978,1.15473076
-5.92796398,3.50242650,0.61009566,1.98595711,0.00784549,0.44157712,0.05501913,1.14014635
-5.92196098,3.46063511,0.61078072,1.96076890,0.00785579,0.41830460,0.05581678,1.13042659
-5.91595798,3.43180475,0.61553209,1.94155080,0.00792245,0.39632636,0.05692453,1.12556128
-5.90995498,3.41573483,0.62429178,1.92818656,0.00803778,0.37581793,0.05833706,1.12543690
-5.90395198,3.41192910,0.63694389,1.92040243,0.00819327,0.35692124,0.06004162,1.12983591
-5.89794897,3.41960965,0.65331412,1.91777782,0.00837990,0.33974161,0.06201793,1.13844090
-5.89194597,3.43774516,0.67317188,1.91976395,0.00858834,0.32434652,0.06423855,1.15084371
-5.88594297,3.46509215,0.69623453,1.92570955,0.00880927,0.31076605,0.06666947,1.16655889
-5.87993997,3.50024714,0.72217403,1.93489210,0.00903365,0.29899483,0.06927103,1.18504129
-5.87393697,3.54170698,0.75062540,1.94655299,0.00925299,0.28899543,0.07199917,1.20570664
-5.86793397,3.58793400,0.78119685,1.95993458,0.00945958,0.28070278,0.07480683,1.22795428
-5.86193097,3.63742271,0.81348092,1.97431709,0.00964676,0.27402938,0.07764554,1.25119101
-5.85592796,3.68876430,0.84706625,1.98905321,0.00980906,0.26887087,0.08046714,1.27485462
-5.84992496,3.74070558,0.88154937,2.00359856,0.00994239,0.26511177,0.08322542,1.29843632
-5.84392196,3.79219936,0.91654590,2.01753630,0.01004410,0.26263092,0.08587782,1.32150065
-5.83791896,3.84244370,0.95170091,2.03059467,0.01011309,0.26130638,0.08838686,1.34370219
-5.83191596,3.89090825,0.98669769,2.04265642,0.01014975,0.26101967,0.09072148,1.36479820
-5.82591296,3.93734654,1.02126487,2.05376000,0.01015594,0.26165905,0.09285802,1.38465663
-5.81990995,3.98179400,1.05518160,2.06409228,0.01013489,0.26312189,0.09478097,1.40325934
-5.81390695,4.02455220,1.08828059,2.07397366,0.01009104,0.26531595,0.09648334,1.42070031
-5.80790395,4.06616051,1.12044912,2.08383636,0.01002983,0.26815982,0.09796673,1.43717919
-5.80190095,4.10735711,1.15162813,2.09419724,0.00995749,0.27158239,0.09924100,1.45299049
-5.79589795,4.14903165,1.18180942,2.10562680,0.00988080,0.27552173,0.10032372,1.46850898
-5.78989495,4.19217226,1.21103149,2.11871599,0.00980682,0.27992328,0.10123922,1.48417215
-5.78389195,4.23780962,1.23937402,2.13404269,0.00974259,0.28473787,0.10201755,1.50046042
-5.77788894,4.28696116,1.26695147,2.15213951,0.00969492,0.28991941,0.10269313,1.51787603
-5.77188594,4.34057766,1.29390609,2.17346457,0.00967009,0.29542268,0.10330340,1.53692149
-5.76588294,4.39949495,1.32040048,2.19837654,0.00967368,0.30120131,0.10388733,1.55807842
-5.75987994,4.46439235,1.34661008,2.22711495,0.00971033,0.30720602,0.10448400,1.58178755
-5.75387694,4.53575943,1.37271572,2.25978660,0.00978364,0.31338329,0.10513118,1.60843053
-5.74787394,4.61387195,1.39889621,2.29635842,0.00989600,0.31967452,0.10586411,1.63831414
-5.74187094,4.69877745,1.42532138,2.33665671,0.01004862,0.32601562,0.10671437,1.67165726
-5.73586793,4.79029028,1.45214518,2.38037262,0.01024144,0.33233717,0.10770893,1.70858090
-5.72986493,4.88799566,1.47949927,2.42707325,0.01047319,0.33856494,0.10886946,1.74910154
-5.72386193,4.99126183,1.50748686,2.47621749,0.01074148,0.34462087,0.11021178,1.79312759
-5.71785893,5.09925912,1.53617688,2.52717579,0.01104288,0.35042430,0.11174558,1.84045919
-5.71185593,5.21098470,1.56559863,2.57925263,0.01137311,0.35589347,0.11347430,1.89079091
-5.70585293,5.32529142,1.59573689,2.63171066,0.01172717,0.36094710,0.11539524,1.94371733
-5.69984992,5.44091941,1.62652765,2.68379527,0.01209957,0.36550605,0.11749973,1.99874098
-5.69384692,5.55652899,1.65785468,2.73475858,0.01248451,0.36949496,0.11977356,2.05528257
-5.68784392,5.67073367,1.68954711,2.78388183,0.01287607,0.37284370,0.12219740,2.11269288
-5.68184092,5.78213191,1.72137822,2.83049532,0.01326845,0.37548879,0.12474732,2.17026605
-5.67583792,5.88933704,1.75306575,2.87399514,0.01365611,0.37737445,0.12739536,2.22725397
-5.66983492,5.99100412,1.78427390,2.91385630,0.01403400,0.37845359,0.13011011,2.28288118
-5.66383192,6.08585367,1.81461711,2.94964173,0.01439764,0.37868847,0.13285726,2.33636008
-5.65782891,6.17269152,1.84366585,2.98100721,0.01474328,0.37805110,0.13560017,2.38690610
-5.65182591,6.25042486,1.87095444,3.00770218,0.01506798,0.37652349,0.13830034,2.43375248
-5.64582291,6.31807449,1.89599068,3.02956666,0.01536965,0.37409766,0.14091794,2.47616433
