energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,S_s_up,S_p_up
-6.00000000,1.31020222,0.19032296,0.59758113,0.00020595,0.05466787,0.45925493,0.23593357,0.00229985,0.49617907
-5.99399700,1.24868824,0.18134164,0.56285506,0.00017803,0.05253797,0.43817740,0.23093176,0.00210316,0.47575838
-5.98799400,1.19055313,0.17269043,0.53051696,0.00015335,0.05053696,0.41758857,0.22619992,0.00191115,0.45600397
-5.98199100,1.13613183,0.16436028,0.50078528,0.00013171,0.04865060,0.39756567,0.22178044,0.00172616,0.43703496
-5.97598799,1.08576820,0.15634696,0.47388044,0.00011292,0.04686737,0.37819442,0.21771705,0.00155020,0.41897342
-5.96998499,1.03981363,0.14865144,0.45002533,0.00009679,0.04517850,0.35956790,0.21405435,0.00138497,0.40194207
-5.96398199,0.99862451,0.14128007,0.42944523,0.00008316,0.04357804,0.34178480,0.21083709,0.00123183,0.38606167
-5.95797899,0.96255817,0.13424447,0.41236692,0.00007184,0.04206285,0.32494713,0.20810926,0.00109183,0.37144805
-5.95197599,0.93196731,0.12756115,0.39901668,0.00006269,0.04063241,0.30915736,0.20591287,0.00096569,0.35820892
-5.94597299,0.90719259,0.12125081,0.38961715,0.00005554,0.03928865,0.29451517,0.20428650,0.00085384,0.34644055
-5.93996998,0.88855350,0.11533733,0.38438281,0.00005026,0.03803553,0.28111396,0.20326367,0.00075642,0.33622429
-5.93396698,0.87633776,0.10984662,0.38351422,0.00004671,0.03687865,0.26903718,0.20287102,0.00067339,0.32762326
-5.92796398,0.87078926,0.10480507,0.38719088,0.00004478,0.03582471,0.25835476,0.20312644,0.00060445,0.32067917
-5.92196098,0.87209526,0.10023805,0.39556311,0.00004435,0.03488090,0.24911970,0.20403729,0.00054916,0.31540950
-5.91595798,0.88037298,0.09616829,0.40874297,0.00004533,0.03405431,0.24136511,0.20559863,0.00050692,0.31180521
-5.90995498,0.89565646,0.09261421,0.42679460,0.00004762,0.03335127,0.23510171,0.20779182,0.00047705,0.30982907
-5.90395198,0.91788409,0.08958852,0.44972447,0.00005114,0.03277677,0.23031605,0.21058341,0.00045875,0.30941470
-5.89794897,0.94688757,0.08709684,0.47747178,0.00005580,0.03233386,0.22696941,0.21392453,0.00045115,0.31046653
-5.89194597,0.98238297,0.08513674,0.50989978,0.00006152,0.03202326,0.22499760,0.21775075,0.00045334,0.31286061
-5.88594297,1.02396439,0.08369690,0.54678826,0.00006821,0.03184295,0.22431157,0.22198264,0.00046434,0.31644638
-5.87993997,1.07110099,0.08275681,0.58782790,0.00007578,0.03178794,0.22479878,0.22652683,0.00048316,0.32104933
-5.87393697,1.12313759,0.08228669,0.63261704,0.00008413,0.03185019,0.22632548,0.23127779,0.00050877,0.32647449
-5.86793397,1.17929950,0.08224782,0.68066107,0.00009315,0.03201866,0.22873961,0.23612005,0.00054010,0.33251074
-5.86193097,1.23870148,0.08259326,0.73137515,0.00010271,0.03227948,0.23187435,0.24093110,0.00057607,0.33893567
-5.85592796,1.30036114,0.08326890,0.78409019,0.00011268,0.03261626,0.23555214,0.24558448,0.00061558,0.34552094
-5.84992496,1.36321651,0.08421472,0.83806252,0.00012292,0.03301058,0.23958910,0.24995340,0.00065754,0.35203795
-5.84392196,1.42614749,0.08536640,0.89248691,0.00013326,0.03344248,0.24379959,0.25391427,0.00070082,0.35826352
-5.83791896,1.48800071,0.08665706,0.94651305,0.00014354,0.03389109,0.24800092,0.25735045,0.00074434,0.36398566
-5.83191596,1.54761708,0.08801914,0.99926478,0.00015359,0.03433534,0.25201799,0.26015579,0.00078704,0.36900889
-5.82591296,1.60386130,0.08938633,1.04986176,0.00016323,0.03475461,0.25568770,0.26223788,0.00082787,0.37315932
-5.81990995,1.65565218,0.09069554,1.09744271,0.00017228,0.03512951,0.25886308,0.26352103,0.00086589,0.37628903
-5.81390695,1.70199287,0.09188874,1.14118943,0.00018057,0.03544251,0.26141703,0.26394872,0.00090020,0.37827985
-5.80790395,1.74199973,0.09291470,1.18035054,0.00018794,0.03567862,0.26324554,0.26348552,0.00093004,0.37904634
-5.80190095,1.77492881,0.09373058,1.21426406,0.00019424,0.03582592,0.26427031,0.26211840,0.00095475,0.37853792
-5.79589795,1.80019865,0.09430319,1.24237773,0.00019934,0.03587610,0.26444081,0.25985739,0.00097381,0.37674010
-5.78989495,1.81740862,0.09461003,1.26426613,0.00020315,0.03582478,0.26373555,0.25673562,0.00098687,0.37367483
-5.78389195,1.82635164,0.09463996,1.27964378,0.00020558,0.03567178,0.26216267,0.25280867,0.00099376,0.36939984
-5.77788894,1.82702090,0.09439353,1.28837352,0.00020659,0.03542123,0.25975986,0.24815332,0.00099449,0.36400718
-5.77188594,1.81960991,0.09388292,1.29046975,0.00020615,0.03508155,0.25659338,0.24286563,0.00098925,0.35762076
-5.76588294,1.80450586,0.09313145,1.28609629,0.00020430,0.03466527,0.25275644,0.23705859,0.00097846,0.35039310
-5.75987994,1.78227637,0.09217275,1.27555889,0.00020108,0.03418872,0.24836683,0.23085914,0.00096271,0.34250128
-5.75387694,1.75365008,0.09104952,1.25929280,0.00019656,0.03367160,0.24356381,0.22440486,0.00094277,0.33414214
-5.74787394,1.71949176,0.08981198,1.23784579,0.00019088,0.03313637,0.23850448,0.21784024,0.00091961,0.32552690
-5.74187094,1.68077299,0.08851600,1.21185765,0.00018416,0.03260761,0.23335950,0.21131276,0.00089437,0.31687524
-5.73586793,1.63853947,0.08722098,1.18203691,0.00017657,0.03211125,0.22830837,0.20496875,0.00086831,0.30840898
-5.72986493,1.59387637,0.08598760,1.14913608,0.00016831,0.03167372,0.22353444,0.19894919,0.00084284,0.30034556
-5.72386193,1.54787318,0.08487547,1.11392629,0.00015956,0.03132108,0.21921965,0.19338561,0.00081946,0.29289151
-5.71785893,1.50158934,0.08394076,1.07717280,0.00015055,0.03107817,0.21553926,0.18839615,0.00079976,0.28623596
-5.71185593,1.45602213,0.08323397,1.03961213,0.00014151,0.03096774,0.21265660,0.18408193,0.00078539,0.28054468
-5.70585293,1.41207807,0.08279782,1.00193185,0.00013266,0.03100960,0.21071820,0.18052383,0.00077799,0.27595449
-5.69984992,1.37054874,0.08266549,0.96475380,0.00012425,0.03121999,0.20984920,0.17777988,0.00077922,0.27256865
-5.69384692,1.33209202,0.08285913,0.92862121,0.00011650,0.03161084,0.21014942,0.17588330,0.00079070,0.27045308
-5.68784392,1.29721902,0.08338884,0.89398990,0.00010967,0.03218936,0.21169009,0.17484126,0.00081397,0.26963384
-5.68184092,1.26628715,0.08425208,0.86122374,0.00010397,0.03295766,0.21451133,0.17463456,0.00085045,0.27009584
-5.67583792,1.23949920,0.08543359,0.83059408,0.00009965,0.03391255,0.21862058,0.17521809,0.00090141,0.27178298
-5.66983492,1.21690800,0.08690578,0.80228272,0.00009693,0.03504552,0.22399195,0.17652232,0.00096796,0.27459968
-5.66383192,1.19842626,0.08862965,0.77638793,0.00009605,0.03634288,0.23056648,0.17845550,0.00105096,0.27841388
-5.65782891,1.18384064,0.09055611,0.75293287,0.00009723,0.03778608,0.23825344,0.18090681,0.00115098,0.28306133
-5.65182591,1.17282932,0.09262776,0.73187556,0.00010069,0.03935214,0.24693244,0.18375012,0.00126832,0.28835109
-5.64582291,1.16498200,0.09478092,0.71311985,0.00010664,0.04101423,0.25645648,0.18684846,0.00140291,0.29407210
-5.63981991,1.15982133,0.09694795,0.69652660,0.00011531,0.04274243,0.26665564,0.19005878,0.00155431,0.30000044
-5.63381691,1.15682491,0.09905970,0.68192452,0.00012689,0.04450450,0.27734154,0.19323707,0.00172168,0.30590716
-5.62781391,1.15544690,0.10104803,0.66912020,0.00014156,0.04626673,0.28831220,0.19624354,0.00190374,0.31156634
-5.62181091,1.15513856,0.10284821,0.65790707,0.00015951,0.04799491,0.29935737,0.19894762,0.00209880,0.31676300
-5.61580790,1.15536715,0.10440125,0.64807301,0.00018088,0.04965523,0.31026406,0.20123277,0.00230473,0.32130073
-5.60980490,1.15563277,0.10565593,0.63940662,0.00020580,0.05121523,0.32082222,0.20300069,0.00251900,0.32500857
-5.60380190,1.15548291,0.10657063,0.63170234,0.00023434,0.05264469,0.33083038,0.20417502,0.00273872,0.32774710
-5.59779890,1.15452452,0.10711468,0.62476436,0.00026654,0.05391650,0.34010115,0.20470427,0.00296065,0.32941341
-5.59179590,1.15243383,0.10726944,0.61840989,0.00030238,0.05500743,0.34846644,0.20456391,0.00318133,0.32994487
-5.58579290,1.14896393,0.10702889,0.61247178,0.00034178,0.05589883,0.35578236,0.20375767,0.00339710,0.32932161
-5.57978989,1.14395022,0.10639989,0.60680101,0.00038460,0.05657725,0.36193347,0.20231790,0.00360424,0.32756758
-5.57378689,1.13731429,0.10540206,0.60126917,0.00043059,0.05703493,0.36683660,0.20030514,0.00379902,0.32475047
-5.56778389,1.12906605,0.10406722,0.59577109,0.00047947,0.05727015,0.37044386,0.19780684,0.00397789,0.32098018
-5.56178089,1.11930464,0.10243863,0.59022793,0.00053084,0.05728749,0.37274484,0.19493542,0.00413749,0.31640626
-5.55577789,1.10821810,0.10056992,0.58459052,0.00058423,0.05709794,0.37376800,0.19182566,0.00427485,0.31121431
-5.54977489,1.09608190,0.09852383,0.57884300,0.00063909,0.05671887,0.37358099,0.18863159,0.00438744,0.30562146
-5.54377189,1.08325639,0.09637076,0.57300667,0.00069481,0.05617383,0.37229005,0.18552293,0.00447330,0.29987117
-5.53776888,1.07018304,0.09418722,0.56714361,0.00075071,0.05549224,0.37003822,0.18268130,0.00453107,0.29422745
-5.53176588,1.05737937,0.09205417,0.56136003,0.00080607,0.05470890,0.36700259,0.18029610,0.00456009,0.28896864
-5.52576288,1.04543247,0.09005539,0.55580885,0.00086013,0.05386338,0.36339033,0.17856038,0.00456045,0.28438095
-5.51975988,1.03499082,0.08827571,0.55069128,0.00091214,0.05299925,0.35943383,0.17766664,0.00453293,0.28075181
-5.51375688,1.02675445,0.08679928,0.54625702,0.00096135,0.05216314,0.35538477,0.17780259,0.00447908,0.27836315
-5.50775388,1.02146308,0.08570787,0.54280289,0.00100704,0.05140380,0.35150745,0.17914710,0.00440113,0.27748484
-5.50175088,1.01988242,0.08507913,0.54066958,0.00104854,0.05077091,0.34807141,0.18186623,0.00430198,0.27836815
-5.49574787,1.02278859,0.08498488,0.54023654,0.00108529,0.05031393,0.34534361,0.18610945,0.00418506,0.28123961
-5.48974487,1.03095079,0.08548947,0.54191475,0.00111679,0.05008083,0.34358043,0.19200609,0.00405431,0.28629509
-5.48374187,1.04511255,0.08664817,0.54613770,0.00114267,0.05011684,0.34301969,0.19966209,0.00391404,0.29369443
-5.47773887,1.06597189,0.08850564,0.55335053,0.00116269,0.05046320,0.34387299,0.20915708,0.00376883,0.30355665
-5.47173587,1.09416106,0.09109456,0.56399766,0.00117673,0.05115599,0.34631874,0.22054178,0.00362341,0.31595574
-5.46573287,1.13022620,0.09443441,0.57850938,0.00118483,0.05222505,0.35049607,0.23383599,0.00348254,0.33091748
-5.45972986,1.17460788,0.09853050,0.59728757,0.00118714,0.05369303,0.35649995,0.24902697,0.00335091,0.34841703
-5.45372686,1.22762305,0.10337327,0.62069131,0.00118396,0.05557461,0.36437765,0.26606846,0.00323306,0.36837777
-5.44772386,1.28944927,0.10893797,0.64902269,0.00117569,0.05787598,0.37412692,0.28488038,0.00313322,0.39067126
-5.44172086,1.36011180,0.11518470,0.68251353,0.00116283,0.06059449,0.38569579,0.30534923,0.00305530,0.41511857
-5.43571786,1.43947434,0.12205892,0.72131331,0.00114597,0.06371861,0.39898418,0.32732918,0.00300279,0.44149296
-5.42971486,1.52723376,0.12949243,0.76547901,0.00112574,0.06722814,0.41384724,0.35064406,0.00297873,0.46952388
-5.42371186,1.62291934,0.13740482,0.81496720,0.00110281,0.07109468,0.43010033,0.37509003,0.00298563,0.49890246
-5.41770885,1.72589657,0.14570541,0.86962860,0.00107784,0.07528235,0.44752540,0.40043902,0.00302552,0.52928807
-5.41170585,1.83537566,0.15429553,0.92920554,0.00105149,0.07974878,0.46587861,0.42644281,0.00309985,0.56031606
-5.40570285,1.95042427,0.16307121,0.99333230,0.00102436,0.08444623,0.48489869,0.45283775,0.00320956,0.59160629
-5.39969985,2.06998433,0.17192610,1.06153837,0.00099700,0.08932286,0.50431581,0.47934981,0.00335506,0.62277222
-5.39369685,2.19289204,0.18075440,1.13325452,0.00096987,0.09432419,0.52386043,0.50569995,0.00353623,0.65343023
-5.38769385,2.31790034,0.18945389,1.20782141,0.00094335,0.09939443,0.54327180,0.53160954,0.00375246,0.68320872
-5.38169085,2.44370308,0.19792874,1.28450050,0.00091773,0.10447791,0.56230551,0.55680566,0.00400266,0.71175675
-5.37568784,2.56895968,0.20609191,1.36248666,0.00089318,0.10952031,0.58073997,0.58102605,0.00428525,0.73875172
-5.36968484,2.69231944,0.21386718,1.44092232,0.00086981,0.11446981,0.59838124,0.60402363,0.00459821,0.76390582
-5.36368184,2.81244469,0.22119059,1.51891238,0.00084762,0.11927797,0.61506617,0.62557020,0.00493910,0.78697097
-5.35767884,2.92803178,0.22801116,1.59553968,0.00082654,0.12390044,0.63066362,0.64545952,0.00530502,0.80774200
-5.35167584,3.03782949,0.23429092,1.66988035,0.00080643,0.12829731,0.64507381,0.66350935,0.00569268,0.82605803
-5.34567284,3.14065451,0.24000428,1.74101899,0.00078711,0.13243327,0.65822577,0.67956272,0.00609836,0.84180200
-5.33966983,3.23540368,0.24513670,1.80806301,0.00076835,0.13627749,0.67007336,0.69348829,0.00651795,0.85489851
-5.33366683,3.32106337,0.24968273,1.87015630,0.00074992,0.13980324,0.68058995,0.70517989,0.00694696,0.86531005
-5.32766383,3.39671606,0.25364377,1.92649188,0.00073159,0.14298736,0.68976228,0.71455551,0.00738053,0.87303219
-5.32166083,3.46154494,0.25702537,1.97632355,0.00071311,0.14580964,0.69758399,0.72155578,0.00781347,0.87808776
