energy_ev,total_up,Cu_p_up,Cu_d_up,Ga_p_up,Ga_d_up,Se_s_up,Se_p_up
-6.00000000,1.63432451,0.39402408,0.21467488,0.02634504,0.00000000,0.04268265,1.32683594
-5.99399700,1.70506024,0.41160122,0.22461478,0.02848413,0.00000000,0.04306194,1.37604131
-5.98799400,1.78503284,0.43272437,0.23597452,0.03103485,0.00000000,0.04378437,1.42973120
-5.98199100,1.87392587,0.45740336,0.24873452,0.03401535,0.00000000,0.04483248,1.48738026
-5.97598799,1.97136703,0.48560468,0.26286474,0.03744301,0.00000000,0.04618339,1.54842949
-5.96998499,2.07693495,0.51725292,0.27832600,0.04133430,0.00000000,0.04780937,1.61229268
-5.96398199,2.19016611,0.55223325,0.29507159,0.04570475,0.00000000,0.04967880,1.67836226
-5.95797899,2.31056165,0.59039514,0.31304891,0.05056880,0.00000000,0.05175707,1.74601456
-5.95197599,2.43759364,0.63155675,0.33220111,0.05593968,0.00000000,0.05400767,1.81461452
-5.94597299,2.57071078,0.67551017,0.35246871,0.06182935,0.00000000,0.05639336,1.88351990
-5.93996998,2.70934316,0.72202700,0.37379109,0.06824823,0.00000000,0.05887724,1.95208517
-5.93396698,2.85290630,0.77086412,0.39610769,0.07520501,0.00000000,0.06142389,2.01966536
-5.92796398,3.00080413,0.82176941,0.41935898,0.08270628,0.00000000,0.06400037,2.08562009
-5.92196098,3.15243120,0.87448717,0.44348703,0.09075615,0.00000000,0.06657705,2.14931819
-5.91595798,3.30717409,0.92876288,0.46843577,0.09935569,0.00000000,0.06912837,2.21014299
-5.90995498,3.46441218,0.98434733,0.49415070,0.10850233,0.00000000,0.07163331,2.26749862
-5.90395198,3.62351788,1.04099967,0.52057834,0.11818914,0.00000000,0.07407567,2.32081730
-5.89794897,3.78385653,1.09848954,0.54766516,0.12840409,0.00000000,0.07644414,2.36956774
-5.89194597,3.94478611,1.15659800,0.57535621,0.13912917,0.00000000,0.07873213,2.41326436
-5.88594297,4.10565689,1.21511738,0.60359346,0.15033960,0.00000000,0.08093739,2.45147717
-5.87993997,4.26581118,1.27385011,0.63231390,0.16200304,0.00000000,0.08306140,2.48384194
-5.87393697,4.42458342,1.33260666,0.66144762,0.17407878,0.00000000,0.08510872,2.51007018
-5.86793397,4.58130060,1.39120269,0.69091584,0.18651723,0.00000000,0.08708609,2.52995837
-5.86193097,4.73528332,1.44945587,0.72062918,0.19925943,0.00000000,0.08900155,2.54339599
-5.85592796,4.88584755,1.50718236,0.75048619,0.21223686,0.00000000,0.09086359,2.55037174
-5.84992496,5.03230718,1.56419356,0.78037232,0.22537152,0.00000000,0.09268022,2.55097747
-5.84392196,5.17397765,1.62029312,0.81015947,0.23857629,0.00000000,0.09445823,2.54540952
-5.83791896,5.31018055,1.67527478,0.83970617,0.25175563,0.00000000,0.09620255,2.53396711
-5.83191596,5.44024929,1.72892103,0.86885845,0.26480664,0.00000000,0.09791578,2.51704760
-5.82591296,5.56353594,1.78100298,0.89745153,0.27762042,0.00000000,0.09959785,2.49513877
-5.81990995,5.67941894,1.83128137,0.92531210,0.29008383,0.00000000,0.10124597,2.46880814
