energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Hg_p_up,Hg_d_up,Se_s_up,Se_p_up
-6.00000000,3.21253047,0.19989152,0.08960879,0.06192417,0.00000000,0.90090911,0.67870013,0.27659058,1.10267028
-5.99399700,3.22609142,0.20813110,0.08884013,0.06199870,0.00000000,0.92087331,0.69024776,0.27133876,1.10441611
-5.98799400,3.22881887,0.21576517,0.08767043,0.06175220,0.00000000,0.93691498,0.70041740,0.26494953,1.10229511
-5.98199100,3.22121627,0.22272876,0.08612506,0.06119989,0.00000000,0.94890255,0.70930054,0.25751209,1.09646250
-5.97598799,3.20396509,0.22897037,0.08423641,0.06036301,0.00000000,0.95678945,0.71701951,0.24912726,1.08713244
-5.96998499,3.17791657,0.23445300,0.08204353,0.05926833,0.00000000,0.96061856,0.72372516,0.23990585,1.07457741
-5.96398199,3.14407881,0.23915443,0.07959156,0.05794732,0.00000000,0.96052375,0.72959325,0.22996686,1.05912634
-5.95797899,3.10359893,0.24306685,0.07693107,0.05643536,0.00000000,0.95672828,0.73481951,0.21943564,1.04116127
-5.95197599,3.05774051,0.24619571,0.07411719,0.05477076,0.00000000,0.94954009,0.73961340,0.20844189,1.02111241
-5.94597299,3.00785648,0.24855808,0.07120863,0.05299374,0.00000000,0.93934390,0.74419090,0.19711768,0.99945149
-5.93996998,2.95535799,0.25018043,0.06826655,0.05114539,0.00000000,0.92659041,0.74876646,0.18559533,0.97668341
-5.93396698,2.90168012,0.25109603,0.06535338,0.04926666,0.00000000,0.91178298,0.75354446,0.17400533,0.95333621
-5.92796398,2.84824526,0.25134217,0.06253147,0.04739728,0.00000000,0.89546210,0.75871059,0.16247430,0.92994959
-5.92196098,2.79642538,0.25095744,0.05986172,0.04557486,0.00000000,0.87818847,0.76442356,0.15112294,0.90706224
-5.91595798,2.74750452,0.24997906,0.05740214,0.04383403,0.00000000,0.86052512,0.77080758,0.14006416,0.88519827
-5.90995498,2.70264263,0.24844070,0.05520648,0.04220560,0.00000000,0.84301933,0.77794584,0.12940129,0.86485317
-5.90395198,2.66284238,0.24637068,0.05332282,0.04071599,0.00000000,0.82618511,0.78587562,0.11922659,0.84647988
-5.89794897,2.62892004,0.24379087,0.05179225,0.03938666,0.00000000,0.81048679,0.79458510,0.10961990,0.83047536
