energy_ev,total_up,Cu_p_up,Cu_d_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,1.23967330,0.45172967,0.11045670,0.28538835,0.22158233,0.00096385,0.06425960,0.04822189,0.60330017
-5.99399700,1.23333336,0.44446410,0.10969416,0.28262177,0.22466395,0.00110002,0.06270140,0.04810280,0.60113212
-5.98799400,1.22648967,0.43609397,0.10920736,0.28042208,0.22746252,0.00124846,0.06094566,0.04789180,0.59902234
-5.98199100,1.22004335,0.42694725,0.10910878,0.27906250,0.23009342,0.00140849,0.05903539,0.04761395,0.59742973
-5.97598799,1.21489614,0.41737291,0.10950752,0.27880748,0.23267705,0.00157912,0.05701583,0.04729411,0.59681051
-5.96998499,1.21192149,0.40773145,0.11050640,0.27990530,0.23533388,0.00175898,0.05493318,0.04695589,0.59760364
-5.96398199,1.21193620,0.39838473,0.11219908,0.28258084,0.23817953,0.00194639,0.05283329,0.04662063,0.60021678
-5.95797899,1.21567404,0.38968589,0.11466746,0.28702890,0.24132026,0.00213928,0.05076038,0.04630654,0.60501301
-5.95197599,1.22376222,0.38196939,0.11797927,0.29340818,0.24484903,0.00233527,0.04875580,0.04602797,0.61229921
-5.94597299,1.23670170,0.37554176,0.12218607,0.30183623,0.24884236,0.00253170,0.04685693,0.04579489,0.62231622
-5.93996998,1.25485228,0.37067335,0.12732163,0.31238543,0.25335811,0.00272567,0.04509620,0.04561256,0.63523145
-5.93396698,1.27842286,0.36759137,0.13340081,0.32508035,0.25843433,0.00291409,0.04350031,0.04548154,0.65113410
-5.92796398,1.30746742,0.36647448,0.14041899,0.33989644,0.26408913,0.00309381,0.04208969,0.04539775,0.67003320
-5.92196098,1.34188664,0.36744923,0.14835200,0.35676023,0.27032163,0.00326165,0.04087809,0.04535296,0.69185858
-5.91595798,1.38143522,0.37058820,0.15715671,0.37555109,0.27711378,0.00341454,0.03987258,0.04533532,0.71646457
-5.90995498,1.42573421,0.37591022,0.16677206,0.39610440,0.28443301,0.00354957,0.03907365,0.04533011,0.74363640
-5.90395198,1.47428786,0.38338222,0.17712065,0.41821617,0.29223533,0.00366413,0.03847560,0.04532064,0.77309881
-5.89794897,1.52650408,0.39292287,0.18811086,0.44164888,0.30046888,0.00375596,0.03806716,0.04528918,0.80452655
-5.89194597,1.58171745,0.40440766,0.19963918,0.46613827,0.30907744,0.00382325,0.03783225,0.04521787,0.83755613
-5.88594297,1.63921357,0.41767511,0.21159299,0.49140097,0.31800380,0.00386469,0.03775093,0.04508972,0.87179842
-5.87993997,1.69825375,0.43253381,0.22385339,0.51714245,0.32719267,0.00387954,0.03780044,0.04488938,0.90685130
-5.87393697,1.75809864,0.44876997,0.23629811,0.54306511,0.33659305,0.00386761,0.03795630,0.04460392,0.94231192
-5.86793397,1.81802994,0.46615504,0.24880438,0.56887611,0.34615970,0.00382932,0.03819340,0.04422339,0.97778787
-5.86193097,1.87736910,0.48445306,0.26125155,0.59429453,0.35585381,0.00376565,0.03848711,0.04374118,1.01290692
-5.85592796,1.93549230,0.50342742,0.27352348,0.61905766,0.36564282,0.00367813,0.03881429,0.04315430,1.04732482
-5.84992496,1.99184126,0.52284678,0.28551052,0.64292615,0.37549924,0.00356876,0.03915418,0.04246337,1.08073092
-5.84392196,2.04592953,0.54248987,0.29711103,0.66568768,0.38539887,0.00343997,0.03948911,0.04167248,1.11285149
-5.83791896,2.09734438,0.56214901,0.30823244,0.68715922,0.39531821,0.00329450,0.03980510,0.04078889,1.14345070
-5.83191596,2.14574438,0.58163242,0.31879186,0.70718775,0.40523168,0.00313537,0.04009224,0.03982259,1.17232942
-5.82591296,2.19085337,0.60076519,0.32871612,0.72564950,0.41510842,0.00296570,0.04034482,0.03878579,1.19932210
-5.81990995,2.23245143,0.61938904,0.33794154,0.74244785,0.42490936,0.00278870,0.04056132,0.03769230,1.22429205
-5.81390695,2.27036355,0.63736111,0.34641317,0.75751019,0.43458440,0.00260753,0.04074415,0.03655690,1.24712562
-5.80790395,2.30444725,0.65455187,0.35408393,0.77078386,0.44407025,0.00242520,0.04089929,0.03539470,1.26772577
-5.80190095,2.33457975,0.67084255,0.36091348,0.78223167,0.45328894,0.00224453,0.04103564,0.03422059,1.28600556
