energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.21676774,0.00727069,0.00000000,0.00962095,0.04602345,0.01391215,0.34995939,0.19392052,0.41590442
-5.99399700,1.31112051,0.00782236,0.00000000,0.01039361,0.04882322,0.01504327,0.37724258,0.20849330,0.44874101
-5.98799400,1.41169270,0.00840385,0.00000000,0.01118653,0.05177300,0.01626369,0.40620672,0.22397096,0.48393936
-5.98199100,1.51837985,0.00901447,0.00000000,0.01199706,0.05486398,0.01757548,0.43683816,0.24034381,0.52145214
-5.97598799,1.63091915,0.00965283,0.00000000,0.01282243,0.05808191,0.01897906,0.46908639,0.25758139,0.56116624
-5.96998499,1.74887363,0.01031679,0.00000000,0.01365978,0.06140693,0.02047304,0.50285890,0.27563019,0.60289729
-5.96398199,1.87162095,0.01100336,0.00000000,0.01450611,0.06481380,0.02205392,0.53801675,0.29441197,0.64638644
-5.95797899,1.99834783,0.01170867,0.00000000,0.01535836,0.06827226,0.02371600,0.57437135,0.31382280,0.69129948
-5.95197599,2.12805092,0.01242792,0.00000000,0.01621339,0.07174770,0.02545128,0.61168259,0.33373299,0.73722886
-5.94597299,2.25954512,0.01315539,0.00000000,0.01706802,0.07520210,0.02724940,0.64965881,0.35398806,0.78369851
-5.93996998,2.39147958,0.01388449,0.00000000,0.01791917,0.07859514,0.02909777,0.68795875,0.37441077,0.83017193
-5.93396698,2.52236188,0.01460781,0.00000000,0.01876387,0.08188553,0.03098172,0.72619580,0.39480438,0.87606301
-5.92796398,2.65058991,0.01531730,0.00000000,0.01959949,0.08503250,0.03288477,0.76394455,0.41495695,0.92074988
-5.92196098,2.77449116,0.01600439,0.00000000,0.02042384,0.08799729,0.03478902,0.80074977,0.43464685,0.96359102
-5.91595798,2.89236819,0.01666020,0.00000000,0.02123541,0.09074478,0.03667564,0.83613759,0.45364910,1.00394339
-5.90995498,3.00254916,0.01727584,0.00000000,0.02203360,0.09324498,0.03852543,0.86962867,0.47174258,1.04118188
-5.90395198,3.10344134,0.01784262,0.00000000,0.02281893,0.09547438,0.04031949,0.90075292,0.48871767,1.07471932
-5.89794897,3.19358572,0.01835238,0.00000000,0.02359327,0.09741716,0.04203991,0.92906540,0.50438406,1.10402622
-5.89194597,3.27171036,0.01879777,0.00000000,0.02436011,0.09906613,0.04367048,0.95416250,0.51857846,1.12864947
-5.88594297,3.33677992,0.01917257,0.00000000,0.02512464,0.10042328,0.04519741,0.97569790,0.53117168,1.14822902
-5.87993997,3.38803908,0.01947193,0.00000000,0.02589393,0.10150003,0.04661003,0.99339748,0.54207480,1.16251186
-5.87393697,3.42504741,0.01969262,0.00000000,0.02667695,0.10231705,0.04790132,1.00707232,0.55124403,1.17136236
-5.86793397,3.44770372,0.01983324,0.00000000,0.02748450,0.10290368,0.04906846,1.01662921,0.55868391,1.17476872
-5.86193097,3.45625833,0.01989428,0.00000000,0.02832902,0.10329693,0.05011306,1.02207783,0.56444861,1.17284471
-5.85592796,3.45131206,0.01987826,0.00000000,0.02922436,0.10354009,0.05104139,1.02353428,0.56864113,1.16582689
-5.84992496,3.43380156,0.01978963,0.00000000,0.03018530,0.10368106,0.05186429,1.02122043,0.57141039,1.15406702
-5.84392196,3.40497108,0.01963471,0.00000000,0.03122711,0.10377034,0.05259692,1.01545905,0.57294609,1.13802008
-5.83791896,3.36633169,0.01942152,0.00000000,0.03236486,0.10385892,0.05325828,1.00666469,0.57347167,1.11822830
-5.83191596,3.31960929,0.01915948,0.00000000,0.03361273,0.10399599,0.05387062,0.99533062,0.57323553,1.09530191
-5.82591296,3.26668371,0.01885916,0.00000000,0.03498330,0.10422671,0.05445851,0.98201236,0.57250082,1.06989741
-5.81990995,3.20952136,0.01853188,0.00000000,0.03648670,0.10459015,0.05504795,0.96730832,0.57153446,1.04269431
-5.81390695,3.15010453,0.01818930,0.00000000,0.03812984,0.10511731,0.05566528,0.95183859,0.57059562,1.01437143
-5.80790395,3.09036029,0.01784307,0.00000000,0.03991575,0.10582961,0.05633603,0.93622257,0.56992444,0.98558381
-5.80190095,3.03209240,0.01750437,0.00000000,0.04184286,0.10673767,0.05708383,0.92105663,0.56973144,0.95694115
-5.79589795,2.97691906,0.01718356,0.00000000,0.04390454,0.10784060,0.05792935,0.90689276,0.57018811,0.92898883
-5.78989495,2.92621938,0.01688982,0.00000000,0.04608872,0.10912581,0.05888932,0.89421908,0.57141924,0.90219220
-5.78389195,2.88109071,0.01663085,0.00000000,0.04837774,0.11056929,0.05997573,0.88344316,0.57349729,0.87692474
-5.77788894,2.84231867,0.01641269,0.00000000,0.05074837,0.11213641,0.06119526,0.87487889,0.57643913,0.85346054
-5.77188594,2.81036087,0.01623951,0.00000000,0.05317207,0.11378329,0.06254887,0.86873736,0.58020527,0.83197119
-5.76588294,2.78534476,0.01611360,0.00000000,0.05561550,0.11545848,0.06403168,0.86512214,0.58470161,0.81252714
-5.75987994,2.76707929,0.01603536,0.00000000,0.05804116,0.11710501,0.06563309,0.86402914,0.58978372,0.79510308
-5.75387694,2.75507945,0.01600337,0.00000000,0.06040831,0.11866278,0.06733715,0.86535083,0.59526318,0.77958716
-5.74787394,2.74860215,0.01601459,0.00000000,0.06267401,0.12007093,0.06912320,0.86888470,0.60091602,0.76579307
-5.74187094,2.74669144,0.01606455,0.00000000,0.06479432,0.12127043,0.07096661,0.87434528,0.60649243,0.75347472
-5.73586793,2.74823076,0.01614763,0.00000000,0.06672556,0.12220641,0.07283977,0.88137923,0.61172764,0.74234225
-5.72986493,2.75199944,0.01625737,0.00000000,0.06842567,0.12283040,0.07471319,0.88958270,0.61635322,0.73207893
-5.72386193,2.75673102,0.01638678,0.00000000,0.06985549,0.12310230,0.07655659,0.89852009,0.62010838,0.72235791
-5.71785893,2.76117053,0.01652865,0.00000000,0.07098006,0.12299188,0.07834007,0.90774333,0.62275074,0.71285821
-5.71185593,2.76412833,0.01667590,0.00000000,0.07176976,0.12247996,0.08003517,0.91681086,0.62406610,0.70327918
-5.70585293,2.76452842,0.01682181,0.00000000,0.07220134,0.12155911,0.08161591,0.92530552,0.62387686,0.69335303
-5.69984992,2.76144927,0.01696031,0.00000000,0.07225878,0.12023381,0.08305963,0.93285047,0.62204876,0.68285491
-5.69384692,2.75415586,0.01708617,0.00000000,0.07193385,0.11852021,0.08434765,0.93912271,0.61849573,0.67161033
-5.68784392,2.74212215,0.01719511,0.00000000,0.07122653,0.11644545,0.08546576,0.94386370,0.61318265,0.65949987
-5.68184092,2.72504347,0.01728395,0.00000000,0.07014514,0.11404652,0.08640454,0.94688666,0.60612619,0.64646106
-5.67583792,2.70283898,0.01735060,0.00000000,0.06870619,0.11136894,0.08715934,0.94808054,0.59739367,0.63248779
-5.66983492,2.67564484,0.01739406,0.00000000,0.06693403,0.10846502,0.08773019,0.94741073,0.58710009,0.61762728
-5.66383192,2.64379891,0.01741437,0.00000000,0.06486021,0.10539211,0.08812147,0.94491649,0.57540366,0.60197518
-5.65782891,2.60781840,0.01741246,0.00000000,0.06252274,0.10221064,0.08834138,0.94070565,0.56250018,0.58566906
-5.65182591,2.56837189,0.01739006,0.00000000,0.05996505,0.09898231,0.08840137,0.93494695,0.54861634,0.56888069
-5.64582291,2.52624734,0.01734951,0.00000000,0.05723490,0.09576819,0.08831544,0.92786039,0.53400262,0.55180776
-5.63981991,2.48231797,0.01729362,0.00000000,0.05438319,0.09262712,0.08809939,0.91970649,0.51892593,0.53466517
