energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,4.58804761,0.91280918,2.86225931,0.01462740,0.20451895,0.01308298,0.80512517,1.18163387,0.14560029
-5.99399700,4.57688025,0.90243091,2.84622222,0.01500183,0.19923541,0.01318550,0.81194767,1.18871343,0.14669985
-5.98799400,4.55946240,0.89027849,2.82851422,0.01532755,0.19359355,0.01324519,0.81650237,1.19212693,0.14742005
-5.98199100,4.53484842,0.87636299,2.80851750,0.01559784,0.18767263,0.01325734,0.81857291,1.19159170,0.14771330
-5.97598799,4.50228376,0.86074684,2.78568531,0.01580680,0.18155906,0.01321916,0.81800062,1.18689967,0.14754376
-5.96998499,4.46122574,0.84353827,2.75956028,0.01594946,0.17534244,0.01312984,0.81468863,1.17792306,0.14688815
-5.96398199,4.41135891,0.82488483,2.72979034,0.01602189,0.16911180,0.01299062,0.80860426,1.16461801,0.14573619
-5.95797899,4.35260401,0.80496613,2.69614161,0.01602132,0.16295205,0.01280471,0.79977955,1.14702598,0.14409070
-5.95197599,4.28512050,0.78398625,2.65850748,0.01594624,0.15694087,0.01257717,0.78830991,1.12527290,0.14196723
-5.94597299,4.20930202,0.76216599,2.61691374,0.01579642,0.15114620,0.01231479,0.77435096,1.09956599,0.13939340
-5.93996998,4.12576489,0.73973529,2.57151899,0.01557297,0.14562426,0.01202581,0.75811351,1.07018837,0.13640780
-5.93396698,4.03532978,0.71692593,2.52261046,0.01527835,0.14041826,0.01171973,0.73985699,1.03749158,0.13305864
-5.92796398,3.93899693,0.69396482,2.47059506,0.01491631,0.13555780,0.01140695,0.71988143,1.00188624,0.12940212
-5.92196098,3.83791549,0.67106798,2.41598585,0.01449183,0.13105880,0.01109852,0.69851824,0.96383117,0.12550060
-5.91595798,3.73334802,0.64843536,2.35938440,0.01401103,0.12692409,0.01080573,0.67612023,0.92382124,0.12142062
-5.90995498,3.62663112,0.62624646,2.30145950,0.01348098,0.12314444,0.01053986,0.65305104,0.88237445,0.11723083
-5.90395198,3.51913351,0.60465699,2.24292301,0.01290959,0.11970000,0.01031179,0.62967445,0.84001868,0.11299997
-5.89794897,3.41221306,0.58379647,2.18450383,0.01230536,0.11656204,0.01013173,0.60634391,0.79727846,0.10879487
-5.89194597,3.30717425,0.56376680,2.12692085,0.01167717,0.11369481,0.01000892,0.58339270,0.75466233,0.10467860
-5.88594297,3.20522767,0.54464172,2.07085617,0.01103408,0.11105758,0.00995142,0.56112497,0.71265120,0.10070880
-5.87993997,3.10745301,0.52646718,2.01692957,0.01038507,0.10860662,0.00996584,0.53980811,0.67168804,0.09693624
-5.87393697,3.01476717,0.50926254,1.96567540,0.00973883,0.10629702,0.01005725,0.51966654,0.63216924,0.09340371
-5.86793397,2.92789854,0.49302244,1.91752301,0.00910355,0.10408449,0.01022902,0.50087728,0.59443791,0.09014514
-5.86193097,2.84736865,0.47771930,1.87278145,0.00848673,0.10192680,0.01048278,0.48356731,0.55877919,0.08718514
-5.85592796,2.77348181,0.46330638,1.83162934,0.00789500,0.09978508,0.01081841,0.46781277,0.52541778,0.08453882
-5.84992496,2.70632328,0.44972114,1.79411034,0.00733406,0.09762477,0.01123408,0.45364009,0.49451739,0.08221191
-5.84392196,2.64576595,0.43688896,1.76013454,0.00680850,0.09541642,0.01172630,0.44102871,0.46618224,0.08020128
-5.83791896,2.59148516,0.42472696,1.72948566,0.00632184,0.09313610,0.01229009,0.42991551,0.44046020,0.07849566
-5.83191596,2.54298115,0.41314794,1.70183390,0.00587647,0.09076569,0.01291909,0.42020040,0.41734745,0.07707658
-5.82591296,2.49960795,0.40206416,1.67675387,0.00547368,0.08829292,0.01360576,0.41175298,0.39679419,0.07591958
