energy_ev,total_up,B_p_up,B_d_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,1.86531794,0.32660561,0.00000000,0.66749115,0.95262755,0.03092303,0.51892490
-5.99399700,1.83731645,0.31503134,0.00000000,0.64867728,0.94369406,0.03025400,0.51238125
-5.98799400,1.81349513,0.30387907,0.00000000,0.63250131,0.93684447,0.02965242,0.50691609
-5.98199100,1.79429677,0.29333666,0.00000000,0.61917013,0.93235737,0.02912689,0.50259017
-5.97598799,1.78004836,0.28357389,0.00000000,0.60883458,0.93044986,0.02868365,0.49943595
-5.96998499,1.77094657,0.27473840,0.00000000,0.60158455,0.93126823,0.02832639,0.49745449
-5.96398199,1.76704655,0.26695239,0.00000000,0.59744539,0.93488046,0.02805617,0.49661313
-5.95797899,1.76825452,0.26030989,0.00000000,0.59637585,0.94127089,0.02787134,0.49684424
-5.95197599,1.77432483,0.25487484,0.00000000,0.59826770,0.95033721,0.02776760,0.49804506
-5.94597299,1.78486154,0.25067996,0.00000000,0.60294706,0.96189026,0.02773812,0.50007873
-5.93996998,1.79932491,0.24772656,0.00000000,0.61017758,0.97565644,0.02777371,0.50277655
-5.93396698,1.81704276,0.24598510,0.00000000,0.61966524,0.99128312,0.02786305,0.50594149
-5.92796398,1.83722633,0.24539661,0.00000000,0.63106496,1.00834672,0.02799308,0.50935282
-5.92196098,1.85899055,0.24587496,0.00000000,0.64398857,1.02636333,0.02814930,0.51277183
-5.91595798,1.88137791,0.24730970,0.00000000,0.65801422,1.04480169,0.02831623,0.51594833
-5.90995498,1.90338523,0.24956961,0.00000000,0.67269667,1.06309794,0.02847789,0.51862789
-5.90395198,1.92399254,0.25250667,0.00000000,0.68757843,1.08067178,0.02861826,0.52055946
-5.89794897,1.94219292,0.25596038,0.00000000,0.70220123,1.09694339,0.02872174,0.52150307
-5.89194597,1.95702226,0.25976227,0.00000000,0.71611749,1.11135055,0.02877368,0.52123742
-5.88594297,1.96758788,0.26374051,0.00000000,0.72890149,1.12336522,0.02876077,0.51956689
-5.87993997,1.97309483,0.26772438,0.00000000,0.74015980,1.13250911,0.02867147,0.51632789
-5.87393697,1.97286894,0.27154862,0.00000000,0.74954073,1.13836744,0.02849633,0.51139406
-5.86793397,1.96637578,0.27505731,0.00000000,0.75674239,1.14060070,0.02822824,0.50468025
-5.86193097,1.95323474,0.27810748,0.00000000,0.76151931,1.13895359,0.02786264,0.49614511
-5.85592796,1.93322795,0.28057208,0.00000000,0.76368720,1.13326123,0.02739757,0.48579207
-5.84992496,1.90630361,0.28234244,0.00000000,0.76312606,1.12345225,0.02683370,0.47366878
-5.84392196,1.87257392,0.28333016,0.00000000,0.75978134,1.10954884,0.02617422,0.45986511
-5.83791896,1.83230778,0.28346830,0.00000000,0.75366332,1.09166378,0.02542466,0.44450961
-5.83191596,1.78591880,0.28271201,0.00000000,0.74484482,1.06999486,0.02459264,0.42776487
-5.82591296,1.73394922,0.28103854,0.00000000,0.73345734,1.04481678,0.02368759,0.40982182
-5.81990995,1.67705065,0.27844674,0.00000000,0.71968591,1.01647118,0.02272038,0.39089335
-5.81390695,1.61596243,0.27495598,0.00000000,0.70376277,0.98535517,0.02170291,0.37120746
-5.80790395,1.55148863,0.27060471,0.00000000,0.68596025,0.95190880,0.02064779,0.35100037
-5.80190095,1.48447461,0.26544859,0.00000000,0.66658300,0.91660219,0.01956789,0.33050974
-5.79589795,1.41578401,0.25955834,0.00000000,0.64595989,0.87992251,0.01847599,0.30996833
-5.78989495,1.34627696,0.25301735,0.00000000,0.62443574,0.84236146,0.01738449,0.28959839
-5.78389195,1.27679009,0.24591913,0.00000000,0.60236314,0.80440357,0.01630505,0.26960683
-5.77788894,1.20811901,0.23836469,0.00000000,0.58009452,0.76651550,0.01524844,0.25018139
-5.77188594,1.14100338,0.23045988,0.00000000,0.55797458,0.72913673,0.01422428,0.23148783
-5.76588294,1.07611494,0.22231281,0.00000000,0.53633327,0.69267166,0.01324096,0.21366815
-5.75987994,1.01404843,0.21403135,0.00000000,0.51547932,0.65748316,0.01230557,0.19683987
-5.75387694,0.95531531,0.20572079,0.00000000,0.49569454,0.62388773,0.01142383,0.18109613
-5.74787394,0.90034018,0.19748169,0.00000000,0.47722869,0.59215201,0.01060020,0.16650663
-5.74187094,0.84945947,0.18940797,0.00000000,0.46029531,0.56249073,0.00983786,0.15311922
-5.73586793,0.80292230,0.18158531,0.00000000,0.44506815,0.53506584,0.00913885,0.14096190
