energy_ev,total_up,Co_p_up,Co_d_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,3.40098858,0.46222370,0.42038558,0.67582959,1.18967554,0.00744072,0.74476598,0.01898773,1.04033168
-5.99399700,3.40400924,0.46329959,0.41360785,0.68332101,1.19381726,0.00709488,0.75887887,0.01816279,1.02754925
-5.98799400,3.40566586,0.46576020,0.40654042,0.69285409,1.19633936,0.00675436,0.77196396,0.01728479,1.01569511
-5.98199100,3.40683139,0.46975557,0.39941841,0.70442959,1.19751830,0.00642674,0.78405929,0.01636760,1.00521402
-5.97598799,3.40844721,0.47544838,0.39248911,0.71804181,1.19766235,0.00611923,0.79520593,0.01542580,0.99657672
-5.96998499,3.41148707,0.48301054,0.38600569,0.73367641,1.19709839,0.00583847,0.80544162,0.01447417,0.99026701
-5.96398199,3.41692097,0.49261894,0.38022072,0.75130810,1.19615871,0.00559041,0.81479522,0.01352725,0.98676784
-5.95797899,3.42568027,0.50445015,0.37537983,0.77089857,1.19516836,0.00538020,0.82328258,0.01259897,0.98654688
-5.95197599,3.43862563,0.51867449,0.37171562,0.79239449,1.19443364,0.00521208,0.83090374,0.01170228,0.99004196
-5.94597299,3.45651863,0.53544926,0.36944206,0.81572589,1.19423221,0.00508934,0.83764199,0.01084888,0.99764692
-5.93996998,3.47999770,0.55491144,0.36874941,0.84080481,1.19480481,0.00501422,0.84346441,0.01004901,1.00969807
-5.93396698,3.50955878,0.57716993,0.36979976,0.86752410,1.19634910,0.00498791,0.84832407,0.00931132,1.02646167
-5.92796398,3.54554060,0.60229756,0.37272324,0.89575636,1.19901526,0.00501051,0.85216342,0.00864279,1.04812268
-5.92196098,3.58811418,0.63032300,0.37761493,0.92535294,1.20290345,0.00508106,0.85491858,0.00804875,1.07477502
-5.91595798,3.63727635,0.66122296,0.38453237,0.95614285,1.20806285,0.00519753,0.85652420,0.00753290,1.10641340
-5.90995498,3.69284639,0.69491482,0.39349377,0.98793144,1.21449187,0.00535690,0.85691835,0.00709739,1.14292715
-5.90395198,3.75446557,0.73125017,0.40447684,1.02049912,1.22213956,0.00555518,0.85604705,0.00674294,1.18409601
-5.89794897,3.82159899,0.77000961,0.41741816,1.05359979,1.23090757,0.00578747,0.85386807,0.00646900,1.22958813
-5.89194597,3.89353941,0.81089910,0.43221324,1.08695952,1.24065273,0.00604811,0.85035370,0.00627381,1.27896055
-5.88594297,3.96941323,0.85354834,0.44871715,1.12027532,1.25118997,0.00633074,0.84549234,0.00615460,1.33166216
-5.87993997,4.04818861,0.89751154,0.46674579,1.15321461,1.26229549,0.00662844,0.83928873,0.00610768,1.38703955
-5.87393697,4.12868619,0.94227083,0.48607793,1.18541543,1.27371030,0.00693390,0.83176302,0.00612856,1.44434563
-5.86793397,4.20959289,0.98724260,0.50645788,1.21648790,1.28514410,0.00723952,0.82294865,0.00621201,1.50275132
-5.86193097,4.28947947,1.03178676,0.52759910,1.24601712,1.29627973,0.00753763,0.81288950,0.00635218,1.56136016
