energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Li_s_up,Li_s_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,3.09599478,-3.54144394,3.19246002,-1.55729435,0.35169504,-0.31299237,0.39426159,-0.63242580,0.00811854,-0.03037321,0.48778209,-0.50752068,0.02841546,-0.03651924,1.28325442,-1.59563447
-5.99399700,3.21003169,-3.61021967,3.29885339,-1.63597426,0.36829689,-0.31789351,0.40513996,-0.64025896,0.00872266,-0.03048509,0.51101879,-0.52832170,0.02996994,-0.03694791,1.32341735,-1.61556080
-5.98799400,3.31792209,-3.67008947,3.39447392,-1.71465856,0.38448762,-0.32177619,0.41510632,-0.64592298,0.00933585,-0.03044258,0.53314597,-0.54806204,0.03154323,-0.03730041,1.36105632,-1.63140176
-5.98199100,3.41802443,-3.72035267,3.47804502,-1.79291189,0.40000464,-0.32455149,0.42404172,-0.64939572,0.00994840,-0.03024464,0.55383181,-0.56644915,0.03311299,-0.03756878,1.39559963,-1.64306675
-5.97598799,3.50878881,-3.76045465,3.54844394,-1.87032472,0.41458842,-0.32614923,0.43185283,-0.65069164,0.01055042,-0.02989297,0.57275433,-0.58321622,0.03465654,-0.03774585,1.42652149,-1.65052158
-5.96998499,3.58878270,-3.79001070,3.60471972,-1.94652571,0.42798808,-0.32652064,0.43847143,-0.64986163,0.01113205,-0.02939190,0.58960779,-0.59813054,0.03615111,-0.03782554,1.45334942,-1.65379369
-5.96398199,3.65671622,-3.80882599,3.64610815,-2.02119270,0.43996741,-0.32564064,0.44385331,-0.64699191,0.01168369,-0.02874833,0.60410921,-0.61100072,0.03757427,-0.03780323,1.47567111,-1.65297633
-5.95797899,3.71146657,-3.81691041,3.67204391,-2.09406145,0.45031086,-0.32350921,0.44797655,-0.64220205,0.01219622,-0.02797152,0.61600479,-0.62168268,0.03890428,-0.03767611,1.49314073,-1.64823127
-5.95197599,3.75210100,-3.81448714,3.68216946,-2.16493168,0.45882949,-0.32015222,0.45083941,-0.63564216,0.01266123,-0.02707288,0.62507612,-0.63008383,0.04012053,-0.03744337,1.50548464,-1.63978958
-5.94597299,3.77789745,-3.80199397,3.67634079,-2.23366977,0.46536649,-0.31562120,0.45245794,-0.62748922,0.01307126,-0.02606565,0.63114575,-0.63616556,0.04120390,-0.03710644,1.51250624,-1.62795016
-5.93996998,3.78836203,-3.78007694,3.65462968,-2.30020798,0.46980197,-0.30999235,0.45286352,-0.61794267,0.01341990,-0.02496464,0.63408213,-0.63994361,0.04213723,-0.03666908,1.51408992,-1.61307581
-5.93396698,3.78324261,-3.74957603,3.61732244,-2.36454023,0.47205698,-0.30336468,0.45210027,-0.60721939,0.01370198,-0.02378587,0.63380352,-0.64148663,0.04290561,-0.03613741,1.51020376,-1.59558669
-5.92796398,3.76253750,-3.71150332,3.56491500,-2.42671441,0.47209627,-0.29585730,0.45022274,-0.59554818,0.01391368,-0.02254620,0.63028076,-0.64091270,0.04349681,-0.03551982,1.50090079,-1.57595125
-5.92196098,3.72649845,-3.66701430,3.49810410,-2.48682193,0.46992974,-0.28760600,0.44729359,-0.58316393,0.01405254,-0.02126297,0.62353870,-0.63838425,0.04390153,-0.03482684,1.48631859,-1.55467497
-5.91595798,3.67562759,-3.61737353,3.41777474,-2.54498498,0.46561247,-0.27875930,0.44338159,-0.57030171,0.01411752,-0.01995362,0.61365623,-0.63410143,0.04411366,-0.03407087,1.46667702,-1.53228705
-5.90995498,3.61066758,-3.56391598,3.32498374,-2.60134236,0.45924319,-0.26947403,0.43855983,-0.55719094,0.01410893,-0.01863535,0.60076481,-0.62829450,0.04413043,-0.03326591,1.44227389,-1.50932592
-5.90395198,3.53258514,-3.50800602,3.22093961,-2.65603462,0.45096126,-0.25991075,0.43290417,-0.54404988,0.01402837,-0.01732475,0.58504545,-0.62121531,0.04395247,-0.03242717,1.41347858,-1.48632388
-5.89794897,3.44254803,-3.45099565,3.10697910,-2.70918962,0.44094218,-0.25022908,0.42649185,-0.53108062,0.01387865,-0.01603754,0.56672440,-0.61312855,0.04358384,-0.03157073,1.38072354,-1.46379175
-5.89194597,3.34189590,-3.39418400,2.98454064,-2.76090905,0.42939185,-0.24058321,0.41940031,-0.51846478,0.01366360,-0.01478821,0.54606741,-0.60430296,0.04303188,-0.03071311,1.34449391,-1.44220414
-5.88594297,3.23210611,-3.33877965,2.85513544,-2.81125685,0.41653983,-0.23111780,0.41170615,-0.50636003,0.01338794,-0.01358987,0.52337298,-0.59500301,0.04230701,-0.02987085,1.30531542,-1.42198598
-5.87993997,3.11475537,-3.28586756,2.72031688,-2.86024992,0.40263176,-0.22196432,0.40348419,-0.49489746,0.01305714,-0.01245402,0.49896479,-0.58548126,0.04142245,-0.02906021,1.26374105,-1.40350096
-5.87393697,2.99147872,-3.23638145,2.58164896,-2.90785155,0.38792141,-0.21323808,0.39480659,-0.48417997,0.01267719,-0.01139038,0.47318343,-0.57597167,0.04039384,-0.02829674,1.22033675,-1.38704223
-5.86793397,2.86392742,-3.19108280,2.44067486,-2.95396761,0.37266264,-0.20503593,0.38574205,-0.47428161,0.01225448,-0.01040684,0.44637800,-0.56668417,0.03923883,-0.02759504,1.17566689,-1.37282574
