energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,8.09361370,0.35600639,0.26131741,0.00141228,3.16331330,0.07866067,1.25535803,3.41172036,2.20927514
-5.99399700,8.35103730,0.38066911,0.27689794,0.00143768,3.23392073,0.08261874,1.32951972,3.48291418,2.25415133
-5.98799400,8.59156596,0.40649303,0.29245793,0.00147076,3.29271593,0.08656531,1.40629963,3.54110684,2.28909673
-5.98199100,8.81192724,0.43319579,0.30783085,0.00151054,3.33857852,0.09046963,1.48502239,3.58526622,2.31337081
-5.97598799,9.00929140,0.46047247,0.32285076,0.00155603,3.37065704,0.09430301,1.56498533,3.61465712,2.32645069
-5.96998499,9.18133845,0.48800142,0.33735565,0.00160624,3.38839486,0.09803937,1.64546893,3.62886508,2.32804745
-5.96398199,9.32630541,0.51545074,0.35119071,0.00166014,3.39154524,0.10165576,1.72574716,3.62780847,2.31811403
-5.95797899,9.44301195,0.54248517,0.36421138,0.00171675,3.38017513,0.10513272,1.80509758,3.61173854,2.29684444
-5.95197599,9.53086411,0.56877327,0.37628623,0.00177512,3.35465752,0.10845451,1.88281067,3.58122727,2.26466442
-5.94597299,9.58983663,0.59399452,0.38729935,0.00183434,3.31565310,0.11160918,1.95819864,3.53714401,2.22221413
-5.93996998,9.62043595,0.61784641,0.39715238,0.00189356,3.26408211,0.11458853,2.03060329,3.48062206,2.17032372
-5.93396698,9.62364666,0.64005107,0.40576607,0.00195195,3.20108811,0.11738783,2.09940335,3.41301700,2.10998317
-5.92796398,9.60086507,0.66036142,0.41308129,0.00200877,3.12799540,0.12000557,2.16402108,3.33585881,2.04230778
-5.92196098,9.55382417,0.67856666,0.41905956,0.00206332,3.04626245,0.12244297,2.22392850,3.25080025,1.96850103
-5.91595798,9.48451436,0.69449691,0.42368318,0.00211495,2.95743330,0.12470353,2.27865335,3.15956390,1.88981651
-5.90995498,9.39510435,0.70802700,0.42695482,0.00216305,2.86308951,0.12679250,2.32778485,3.06389011,1.80752055
-5.90395198,9.28786630,0.71907922,0.42889680,0.00220708,2.76480441,0.12871634,2.37097942,2.96548832,1.72285716
-5.89794897,9.16510858,0.72762508,0.42954999,0.00224653,2.66410173,0.13048228,2.40796635,2.86599344,1.63701646
-5.89194597,9.02911880,0.73368593,0.42897248,0.00228093,2.56241996,0.13209787,2.43855326,2.76692883,1.55110786
-5.88594297,8.88211887,0.73733261,0.42723794,0.00230985,2.46108352,0.13357059,2.46263117,2.66967695,1.46613844
-5.87993997,8.72623258,0.73868398,0.42443393,0.00233295,2.36128137,0.13490761,2.48017894,2.57545813,1.38299727
-5.87393697,8.56346559,0.73790437,0.42065992,0.00234991,2.26405313,0.13611560,2.49126657,2.48531755,1.30244547
-5.86793397,8.39569638,0.73520009,0.41602534,0.00236048,2.17028254,0.13720054,2.49605700,2.40011994,1.22511194
-5.86193097,8.22467626,0.73081492,0.41064743,0.00236451,2.08069742,0.13816774,2.49480590,2.32055111,1.15149422
-5.85592796,8.05203589,0.72502468,0.40464910,0.00236191,1.99587527,0.13902175,2.48785905,2.24712529,1.08196379
-5.84992496,7.87929533,0.71813098,0.39815669,0.00235271,1.91625319,0.13976635,2.47564694,2.18019677,1.01677492
-5.84392196,7.70787480,0.71045414,0.39129774,0.00233703,1.84214082,0.14040456,2.45867631,2.11997443,0.95607623
-5.83791896,7.53910348,0.70232550,0.38419867,0.00231509,1.77373499,0.14093859,2.43751864,2.06653774,0.89992382
-5.83191596,7.37422388,0.69407917,0.37698250,0.00228725,1.71113461,0.14136972,2.41279569,2.01985280,0.84829526
-5.82591296,7.21439052,0.68604347,0.36976664,0.00225395,1.65435492,0.14169821,2.38516238,1.97978745,0.80110342
-5.81990995,7.06066172,0.67853222,0.36266070,0.00221575,1.60333987,0.14192311,2.35528761,1.94612440,0.75820957
-5.81390695,6.91398471,0.67183610,0.35576445,0.00217329,1.55797241,0.14204207,2.32383381,1.91857202,0.71943520
-5.80790395,6.77517477,0.66621445,0.34916599,0.00212730,1.51808190,0.14205111,2.29143593,1.89677247,0.68457204
-5.80190095,6.64489009,0.66188775,0.34294018,0.00207853,1.48344907,0.14194444,2.25868114,1.88030741,0.65339042
-5.79589795,6.52360437,0.65903108,0.33714735,0.00202780,1.45380837,0.14171428,2.22609006,1.86870152,0.62564560
-5.78989495,6.41157995,0.65776892,0.33183247,0.00197591,1.42884858,0.14135081,2.19410066,1.86142471,0.60108248
-5.78389195,6.30884412,0.65817150,0.32702468,0.00192365,1.40821212,0.14084221,2.16305577,1.85789359,0.57943875
-5.77788894,6.21517156,0.66025304,0.32273743,0.00187174,1.39149389,0.14017478,2.13319485,1.85747319,0.56044698
-5.77188594,6.13007528,0.66397197,0.31896897,0.00182086,1.37824066,0.13933332,2.10465074,1.85947981,0.54383589
-5.76588294,6.05280811,0.66923328,0.31570353,0.00177157,1.36795152,0.13830157,2.07745154,1.86318571,0.52933130
-5.75987994,5.98237628,0.67589297,0.31291284,0.00172437,1.36008040,0.13706283,2.05152761,1.86782629,0.51665706
-5.75387694,5.91756539,0.68376454,0.31055816,0.00167960,1.35404097,0.13560078,2.02672357,1.87261020,0.50553633
-5.74787394,5.85697879,0.69262732,0.30859268,0.00163754,1.34921437,0.13390033,2.00281443,1.87673242,0.49569342
-5.74187094,5.79908713,0.70223632,0.30696420,0.00159835,1.34495987,0.13194858,1.97952534,1.87939036,0.48685640
-5.73586793,5.74228736,0.71233321,0.30561791,0.00156209,1.34062826,0.12973579,1.95655373,1.87980239,0.47876044
-5.72986493,5.68496850,0.72265809,0.30449932,0.00152879,1.33557768,0.12725638,1.93359274,1.87722839,0.47115194
-5.72386193,5.62558128,0.73296139,0.30355697,0.00149843,1.32919126,0.12450979,1.91035483,1.87099127,0.46379334
-5.71785893,5.56270841,0.74301555,0.30274509,0.00147099,1.32089577,0.12150120,1.88659427,1.86049872,0.45646824
-5.71185593,5.49513185,0.75262585,0.30202582,0.00144650,1.31018054,0.11824219,1.86212744,1.84526396,0.44898680
-5.70585293,5.42189407,0.76164008,0.30137107,0.00142506,1.29661556,0.11475107,1.83685004,1.82492449,0.44119100
-5.69984992,5.34235006,0.76995650,0.30076388,0.00140688,1.27986796,0.11105303,1.81075034,1.79925795,0.43295941
-5.69384692,5.25620779,0.77752985,0.30019925,0.00139233,1.25971592,0.10718005,1.78391798,1.76819396,0.42421132
-5.68784392,5.16355500,0.78437520,0.29968443,0.00138194,1.23605920,0.10317053,1.75654807,1.73182152,0.41490980
-5.68184092,5.06487125,0.79056948,0.29923854,0.00137645,1.20892584,0.09906871,1.72894042,1.69039119,0.40506357
