energy_ev,total_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,3.12807348,0.01916448,0.21815820,1.81345679,0.97262328,0.00621490,1.51617548,0.84794907,0.35882326
-5.99399700,3.11116075,0.01916538,0.21873319,1.81735898,0.96400882,0.00638927,1.50799307,0.84702177,0.35602120
-5.98799400,3.09017111,0.01910338,0.21910361,1.81961212,0.95446458,0.00655637,1.49750447,0.84484320,0.35253934
-5.98199100,3.06559943,0.01897538,0.21931537,1.82035084,0.94426199,0.00671627,1.48485865,0.84144427,0.34840301
-5.97598799,3.03792820,0.01877920,0.21942289,1.81970118,0.93366937,0.00686954,1.47018346,0.83683736,0.34364059
-5.96998499,3.00763122,0.01851369,0.21948973,1.81779081,0.92295056,0.00701726,1.45358836,0.83101967,0.33828455
-5.96398199,2.97517987,0.01817891,0.21958899,1.81476081,0.91236428,0.00716092,1.43516886,0.82397795,0.33237251
-5.95797899,2.94105092,0.01777616,0.21980344,1.81077829,0.90216411,0.00730240,1.41501252,0.81569438,0.32594815
-5.95197599,2.90573508,0.01730808,0.22022531,1.80604891,0.89259867,0.00744388,1.39320569,0.80615305,0.31906201
-5.94597299,2.86974503,0.01677858,0.22095557,1.80082820,0.88391198,0.00758771,1.36984068,0.79534681,0.31177201
-5.93996998,2.83362199,0.01619285,0.22210278,1.79543097,0.87634345,0.00773633,1.34502261,0.78328376,0.30414358
-5.93396698,2.79793988,0.01555720,0.22378150,1.79023773,0.87012746,0.00789211,1.31887550,0.76999320,0.29624950
-5.92796398,2.76330626,0.01487898,0.22611009,1.78569747,0.86549214,0.00805726,1.29154712,0.75553039,0.28816931
-5.92196098,2.73035940,0.01416640,0.22920807,1.78232622,0.86265731,0.00823367,1.26321220,0.73998000,0.27998827
-5.91595798,2.69976131,0.01342832,0.23319301,1.78070089,0.86183136,0.00842282,1.23407378,0.72345784,0.27179605
-5.90995498,2.67218658,0.01267404,0.23817707,1.78144853,0.86320719,0.00862561,1.20436255,0.70611090,0.26368502
