energy_ev,total_up,Ga_p_up,Ga_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,3.33895097,0.02432862,0.00000000,1.39656639,0.92230514,0.17207026,1.89913642
-5.99399700,3.26269870,0.02357437,0.00000000,1.36902569,0.90195062,0.16968861,1.85009329
-5.98799400,3.17937456,0.02280421,0.00000000,1.33914642,0.87936433,0.16665239,1.79800011
-5.98199100,3.08826010,0.02200690,0.00000000,1.30662412,0.85433789,0.16294666,1.74239674
-5.97598799,2.98904183,0.02117497,0.00000000,1.27132427,0.82676941,0.15857625,1.68304257
-5.96998499,2.88181327,0.02030467,0.00000000,1.23328975,0.79666419,0.15356569,1.61991995
-5.96398199,2.76706087,0.01939583,0.00000000,1.19274091,0.76413109,0.14795844,1.55322865
-5.95797899,2.64563547,0.01845162,0.00000000,1.15006867,0.72937498,0.14181530,1.48337186
-5.95197599,2.51871104,0.01747819,0.00000000,1.10582102,0.69268579,0.13521228,1.41093498
-5.94597299,2.38773330,0.01648427,0.00000000,1.06068392,0.65442489,0.12823791,1.33665841
-5.93996998,2.25436094,0.01548071,0.00000000,1.01545755,0.61500940,0.12099023,1.26140586
-5.93396698,2.12040239,0.01448005,0.00000000,0.97102911,0.57489548,0.11357351,1.18612993
-5.92796398,1.98775110,0.01349606,0.00000000,0.92834345,0.53456115,0.10609492,1.11183642
-5.92196098,1.85832208,0.01254327,0.00000000,0.88837286,0.49448964,0.09866129,1.03954902
-5.91595798,1.73399227,0.01163664,0.00000000,0.85208716,0.45515369,0.09137609,0.97027585
-5.90995498,1.61654681,0.01079121,0.00000000,0.82042530,0.41700172,0.08433665,0.90497888
-5.90395198,1.50763299,0.01002182,0.00000000,0.79426940,0.38044590,0.07763185,0.84454745
-5.89794897,1.40872296,0.00934296,0.00000000,0.77442209,0.34585281,0.07134029,0.78977628
-5.89194597,1.32108599,0.00876862,0.00000000,0.76158768,0.31353657,0.06552887,0.74134869
-5.88594297,1.24577044,0.00831227,0.00000000,0.75635765,0.28375463,0.06025196,0.69982497
-5.87993997,1.18359511,0.00798686,0.00000000,0.75920063,0.25670599,0.05555102,0.66563588
-5.87393697,1.13514957,0.00780488,0.00000000,0.77045689,0.23253175,0.05145466,0.63908110
-5.86793397,1.10080226,0.00777852,0.00000000,0.79033716,0.21131764,0.04797913,0.62033195
-5.86193097,1.08071537,0.00791975,0.00000000,0.81892557,0.19309817,0.04512915,0.60943795
-5.85592796,1.07486508,0.00824051,0.00000000,0.85618619,0.17786203,0.04289895,0.60633654
-5.84992496,1.08306563,0.00875284,0.00000000,0.90197264,0.16555841,0.04127361,0.61086514
-5.84392196,1.10499595,0.00946902,0.00000000,0.95604016,0.15610377,0.04023041,0.62277495
-5.83791896,1.14022713,0.01040164,0.00000000,1.01805947,0.14938867,0.03974029,0.64174556
-5.83191596,1.18824946,0.01156364,0.00000000,1.08763166,0.14528456,0.03976935,0.66739997
-5.82591296,1.24849783,0.01296828,0.00000000,1.16430325,0.14364992,0.04028016,0.69931910
-5.81990995,1.32037409,0.01462900,0.00000000,1.24758086,0.14433589,0.04123314,0.73705544
-5.81390695,1.40326562,0.01655924,0.00000000,1.33694455,0.14719095,0.04258761,0.78014517
-5.80790395,1.49655916,0.01877211,0.00000000,1.43185931,0.15206470,0.04430283,0.82811850
-5.80190095,1.59964940,0.02127996,0.00000000,1.53178402,0.15881061,0.04633877,0.88050784
-5.79589795,1.71194195,0.02409389,0.00000000,1.63617748,0.16728774,0.04865670,0.93685352
-5.78989495,1.83285073,0.02722311,0.00000000,1.74450121,0.17736157,0.05121957,0.99670719
-5.78389195,1.96178991,0.03067423,0.00000000,1.85621890,0.18890385,0.05399227,1.05963264
-5.77788894,2.09816108,0.03445052,0.00000000,1.97079271,0.20179165,0.05694160,1.12520437
-5.77188594,2.24133649,0.03855111,0.00000000,2.08767672,0.21590591,0.06003619,1.19300420
