energy_ev,total_up,Ga_p_up,Ga_d_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,0.45800091,0.01520471,0.00000000,0.19796077,0.00000000,0.43643896,0.13061710
-5.99399700,0.45773037,0.01695882,0.00000000,0.19246851,0.00000000,0.44852768,0.12975933
-5.98799400,0.46458645,0.01896942,0.00000000,0.19013437,0.00000000,0.46794369,0.13090674
-5.98199100,0.47823302,0.02122280,0.00000000,0.19082339,0.00000000,0.49423891,0.13398369
-5.97598799,0.49825791,0.02370147,0.00000000,0.19437666,0.00000000,0.52689372,0.13889338
-5.96998499,0.52417476,0.02638398,0.00000000,0.20061339,0.00000000,0.56531563,0.14551882
-5.96398199,0.55542673,0.02924471,0.00000000,0.20933348,0.00000000,0.60883985,0.15372433
-5.95797899,0.59139220,0.03225400,0.00000000,0.22032058,0.00000000,0.65673236,0.16335746
-5.95197599,0.63139297,0.03537835,0.00000000,0.23334572,0.00000000,0.70819601,0.17425168
-5.94597299,0.67470474,0.03858084,0.00000000,0.24817147,0.00000000,0.76237992,0.18622941
-5.93996998,0.72057003,0.04182175,0.00000000,0.26455656,0.00000000,0.81839209,0.19910575
-5.93396698,0.76821316,0.04505941,0.00000000,0.28226081,0.00000000,0.87531519,0.21269250
-5.92796398,0.81685680,0.04825110,0.00000000,0.30105023,0.00000000,0.93222501,0.22680247
-5.92196098,0.86573951,0.05135419,0.00000000,0.32070194,0.00000000,0.98821085,0.24125393
-5.91595798,0.91413362,0.05432725,0.00000000,0.34100878,0.00000000,1.04239704,0.25587488
-5.90995498,0.96136228,0.05713127,0.00000000,0.36178318,0.00000000,1.09396449,0.27050692
-5.90395198,1.00681518,0.05973078,0.00000000,0.38286007,0.00000000,1.14217131,0.28500862
-5.89794897,1.04996171,0.06209485,0.00000000,0.40409855,0.00000000,1.18637119,0.29925795
-5.89194597,1.09036094,0.06419798,0.00000000,0.42538216,0.00000000,1.22602859,0.31315383
-5.88594297,1.12766774,0.06602074,0.00000000,0.44661750,0.00000000,1.26072979,0.32661640
-5.87993997,1.16163459,0.06755015,0.00000000,0.46773133,0.00000000,1.29018917,0.33958618
-5.87393697,1.19210878,0.06877984,0.00000000,0.48866604,0.00000000,1.31425020,0.35202196
-5.86793397,1.21902532,0.06970984,0.00000000,0.50937393,0.00000000,1.33288096,0.36389756
-5.86193097,1.24239563,0.07034613,0.00000000,0.52981029,0.00000000,1.34616464,0.37519770
-5.85592796,1.26229297,0.07069999,0.00000000,0.54992599,0.00000000,1.35428529,0.38591312
-5.84992496,1.27883527,0.07078703,0.00000000,0.56965990,0.00000000,1.35750982,0.39603530
-5.84392196,1.29216653,0.07062619,0.00000000,0.58893169,0.00000000,1.35616719,0.40555125
-5.83791896,1.30243806,0.07023854,0.00000000,0.60763568,0.00000000,1.35062619,0.41443851
-5.83191596,1.30979067,0.06964614,0.00000000,0.62563601,0.00000000,1.34127305,0.42266102
-5.82591296,1.31433907,0.06887091,0.00000000,0.64276398,0.00000000,1.32849014,0.43016595
-5.81990995,1.31615951,0.06793363,0.00000000,0.65881751,0.00000000,1.31263715,0.43688195
-5.81390695,1.31528147,0.06685311,0.00000000,0.67356323,0.00000000,1.29403572,0.44271890
-5.80790395,1.31168396,0.06564559,0.00000000,0.68674110,0.00000000,1.27295822,0.44756931
-5.80190095,1.30529663,0.06432431,0.00000000,0.69807155,0.00000000,1.24962138,0.45131138
-5.79589795,1.29600563,0.06289947,0.00000000,0.70726477,0.00000000,1.22418471,0.45381345
-5.78989495,1.28366372,0.06137830,0.00000000,0.71403178,0.00000000,1.19675367,0.45493989
