energy_ev,total_up,Au_p_up,Au_d_up,N_s_up,N_p_up,Na_s_up,S_s_up,S_p_up
-6.00000000,8.50813081,2.34117652,5.34572382,0.01804591,0.31095124,0.39169544,0.11057049,1.97680264
-5.99399700,8.61699002,2.34486716,5.43688444,0.01810053,0.31067173,0.39129623,0.11114334,1.99617666
-5.98799400,8.72669553,2.35153001,5.52686092,0.01821920,0.31066722,0.39128003,0.11162031,2.01657498
-5.98199100,8.83785026,2.36163428,5.61578350,0.01840526,0.31100220,0.39173669,0.11202144,2.03823813
-5.97598799,8.95088426,2.37551865,5.70373140,0.01865978,0.31172352,0.39272392,0.11236680,2.06135297
-5.96998499,9.06607409,2.39338465,5.79075508,0.01898157,0.31285948,0.39426633,0.11267642,2.08605347
-5.96398199,9.18357201,2.41529471,5.87690359,0.01936731,0.31441969,0.39635571,0.11297028,2.11242366
-5.95797899,9.30344284,2.44117467,5.96225526,0.01981175,0.31639558,0.39895263,0.11326836,2.14050250
-5.95197599,9.42570619,2.47082059,6.04694969,0.02030797,0.31876164,0.40198909,0.11359073,2.17029034
-5.94597299,9.55038142,2.50390959,6.13121921,0.02084770,0.32147723,0.40537222,0.11395761,2.20175674
-5.93996998,9.67753269,2.54001404,6.21541755,0.02142168,0.32448886,0.40898868,0.11438951,2.23484915
-5.93396698,9.80731149,2.57861884,6.30004390,0.02202006,0.32773286,0.41270974,0.11490733,2.26950228
-5.92796398,9.93999398,2.61914097,6.38576055,0.02263275,0.33113821,0.41639658,0.11553241,2.30564766
-5.92196098,10.07601116,2.66095067,6.47340250,0.02324980,0.33462959,0.41990592,0.11628658,2.34322315
-5.91595798,10.21596946,2.70339344,6.56397789,0.02386174,0.33813027,0.42309540,0.11719220,2.38218179
-5.90995498,10.36066026,2.74581218,6.65865826,0.02445986,0.34156496,0.42582882,0.11827210,2.42249973
-5.90395198,10.51105699,2.78756844,6.75875824,0.02503644,0.34486238,0.42798086,0.11954947,2.46418269
-5.89794897,10.66829882,2.82806208,6.86570451,0.02558494,0.34795739,0.42944121,0.12104774,2.50727050
-5.89194597,10.83366061,2.86674855,6.98099442,0.02610007,0.35079284,0.43011796,0.12279034,2.55183923
-5.88594297,11.00850930,2.90315292,7.10614516,0.02657786,0.35332081,0.42994013,0.12480037,2.59800066
-5.87993997,11.19424738,2.93688026,7.24263467,0.02701561,0.35550336,0.42885935,0.12710021,2.64589848
-5.87393697,11.39224503,2.96762180,7.39183618,0.02741177,0.35731279,0.42685054,0.12971104,2.69570135
-5.86793397,11.60376282,2.99515662,7.55494853,0.02776588,0.35873136,0.42391175,0.13265223,2.74759255
-5.86193097,11.82986790,3.01934899,7.73292476,0.02807834,0.35975056,0.42006306,0.13594068,2.80175645
-5.85592796,12.07134682,3.04014147,7.92640210,0.02835022,0.36036991,0.41534477,0.13959008,2.85836225
-5.84992496,12.32861910,3.05754428,8.13563627,0.02858311,0.36059557,0.40981489,0.14361008,2.91754543
-5.84392196,12.60165557,3.07162173,8.36044342,0.02877887,0.36043856,0.40354608,0.14800543,2.97938795
-5.83791896,12.88990618,3.08247645,8.60015292,0.02893949,0.35991305,0.39662228,0.15277518,3.04389793
