energy_ev,total_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,4.00431231,0.04717915,0.34350760,1.41094745,0.64852424,2.10322142,0.00000000,0.44164242,0.31861188
-5.99399700,3.93304074,0.04690296,0.34262602,1.39385592,0.64124481,2.06797643,0.00000000,0.43473696,0.30453881
-5.98799400,3.86893122,0.04679017,0.34246419,1.37844326,0.63552255,2.03562218,0.00000000,0.42777697,0.29144512
-5.98199100,3.81261384,0.04684172,0.34307139,1.36480495,0.63146144,2.00649981,0.00000000,0.42080562,0.27941621
-5.97598799,3.76443417,0.04705339,0.34447354,1.35295114,0.62911194,1.98081022,0.00000000,0.41385573,0.26850734
-5.96998499,3.72444950,0.04741569,0.34667127,1.34280795,0.62846938,1.95861150,0.00000000,0.40694904,0.25874405
-5.96398199,3.69243484,0.04791400,0.34963870,1.33422207,0.62947426,1.93982177,0.00000000,0.40009621,0.25012345
-5.95797899,3.66789803,0.04852886,0.35332293,1.32696851,0.63201411,1.92422698,0.00000000,0.39329726,0.24261632
-5.95197599,3.65010312,0.04923645,0.35764433,1.32076085,0.63592706,1.91149317,0.00000000,0.38654262,0.23616977
-5.94597299,3.63810056,0.05000927,0.36249769,1.31526372,0.64100689,1.90118254,0.00000000,0.37981468,0.23071041
-5.93996998,3.63076315,0.05081689,0.36775414,1.31010673,0.64700932,1.89277250,0.00000000,0.37308972,0.22614770
-5.93396698,3.62682628,0.05162689,0.37326393,1.30489937,0.65365949,1.88567710,0.00000000,0.36634015,0.22237755
-5.92796398,3.62493107,0.05240590,0.37886003,1.29924636,0.66066026,1.87926972,0.00000000,0.35953702,0.21928587
-5.92196098,3.62366929,0.05312057,0.38436234,1.29276272,0.66770126,1.87290654,0.00000000,0.35265256,0.21675216
-5.91595798,3.62162861,0.05373869,0.38958272,1.28508830,0.67446834,1.86594979,0.00000000,0.34566282,0.21465279
-5.90995498,3.61743724,0.05423019,0.39433045,1.27590111,0.68065324,1.85779032,0.00000000,0.33855011,0.21286424
-5.90395198,3.60980683,0.05456808,0.39841814,1.26492929,0.68596319,1.84786866,0.00000000,0.33130528,0.21126603
-5.89794897,3.59757256,0.05472938,0.40166787,1.25196128,0.69013020,1.83569417,0.00000000,0.32392975,0.20974339
