energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Co_p_up,Co_d_up,S_s_up,S_p_up
-6.00000000,11.53065549,2.32086713,7.03441745,0.01317379,1.49288983,0.69992195,0.38247907,0.07165486,1.59431808
-5.99399700,12.03774588,2.39890148,7.38989648,0.01328231,1.56290858,0.71330085,0.39508474,0.07491025,1.64198850
-5.98799400,12.54312490,2.47289384,7.75125369,0.01337716,1.63321904,0.72507016,0.40652728,0.07815773,1.68593484
-5.98199100,13.04462518,2.54268645,8.11742894,0.01344932,1.70357048,0.73506181,0.41670529,0.08135389,1.72563507
-5.97598799,13.54057466,2.60831041,8.48751454,0.01349159,1.77375759,0.74318279,0.42555201,0.08445860,1.76070578
-5.96998499,14.02974442,2.66997032,8.86071111,0.01349864,1.84361159,0.74941443,0.43303504,0.08743542,1.79090399
-5.96398199,14.51126544,2.72801943,9.23626822,0.01346693,1.91298771,0.75380828,0.43915486,0.09025194,1.81612320
-5.95797899,14.98451966,2.78292659,9.61341384,0.01339469,1.98174984,0.75647906,0.44394186,0.09287992,1.83638408
-5.95197599,15.44901236,2.83523675,9.99127708,0.01328170,2.04975342,0.75759488,0.44745241,0.09529540,1.85182032
-5.94597299,15.90423442,2.88552684,10.36880975,0.01312917,2.11682773,0.75736548,0.44976397,0.09747861,1.86266084
-5.93996998,16.34952365,2.93435973,10.74471228,0.01293942,2.18275881,0.75602893,0.45096964,0.09941384,1.86920914
-5.93396698,16.78393500,2.98223854,11.11736992,0.01271576,2.24727431,0.75383763,0.45117242,0.10108928,1.87182128
-5.92796398,17.20612863,3.02956415,11.48480449,0.01246212,2.31003147,0.75104434,0.45047954,0.10249671,1.87088359
-5.92196098,17.61428465,3.07659805,11.84464635,0.01218290,2.37060933,0.74788889,0.44899713,0.10363131,1.86679142
-5.91595798,18.00605102,3.12343301,12.19413022,0.01188268,2.42850593,0.74458639,0.44682545,0.10449133,1.85992994
-5.90995498,18.37852994,3.16997318,12.53011710,0.01156608,2.48314102,0.74131740,0.44405510,0.10507788,1.85065817
-5.90395198,18.72830527,3.21592478,12.84914298,0.01123752,2.53386459,0.73822061,0.44076417,0.10539469,1.83929667
-5.89794897,19.05151117,3.26079831,13.14749367,0.01090115,2.57997097,0.73538827,0.43701656,0.10544793,1.82611959
-5.89194597,19.34393977,3.30392207,13.42130309,0.01056074,2.62071801,0.73286457,0.43286154,0.10524604,1.81135112
-5.88594297,19.60118298,3.34446642,13.66667128,0.01021961,2.65535063,0.73064687,0.42833434,0.10479968,1.79516630
-5.87993997,19.81880173,3.38147781,13.87979687,0.00988064,2.68312751,0.72868971,0.42345787,0.10412166,1.77769578
-5.87393697,19.99251396,3.41392048,14.05711781,0.00954628,2.70334966,0.72691108,0.41824526,0.10322696,1.75903389
-5.86793397,20.11839163,3.44072411,14.19545374,0.00921857,2.71538954,0.72520065,0.41270309,0.10213271,1.73924932
-5.86193097,20.19305645,3.46083467,14.29214276,0.00889925,2.71871904,0.72342931,0.40683498,0.10085829,1.71839748
-5.85592796,20.21386377,3.47326603,14.34516599,0.00858979,2.71293511,0.72145942,0.40064545,0.09942534,1.69653347
-5.84992496,20.17906505,3.47714982,14.35325343,0.00829150,2.69778151,0.71915528,0.39414353,0.09785779,1.67372487
-5.84392196,20.08794011,3.47178082,14.31596587,0.00800559,2.67316581,0.71639304,0.38734619,0.09618191,1.65006330
-5.83791896,19.94089225,3.45665603,14.23374851,0.00773325,2.63917053,0.71306969,0.38028108,0.09442620,1.62567415
-5.83191596,19.73950104,3.43150523,14.10795346,0.00747572,2.59605807,0.70911060,0.37298867,0.09262129,1.60072370
-5.82591296,19.48652990,3.39631188,13.94082968,0.00723434,2.54426907,0.70447530,0.36552348,0.09079973,1.57542338
-5.81990995,19.18588776,3.35132342,13.73548065,0.00701053,2.48441434,0.69916135,0.35795444,0.08899566,1.55003079
-5.81390695,18.84254632,3.29705053,13.49579110,0.00680588,2.41726073,0.69320614,0.35036441,0.08724443,1.52484766
-5.80790395,18.46241658,3.23425561,13.22632607,0.00662207,2.34371162,0.68668662,0.34284874,0.08558201,1.50021479
