energy_ev,total_up,Cu_p_up,Cu_d_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,0.93449049,0.18018952,0.07611701,0.17959236,0.00000000,0.00454723,0.03004069,0.00834941,0.45399290
-5.99399700,1.03508014,0.19783357,0.08530114,0.19997933,0.00000000,0.00494569,0.03390073,0.00981037,0.50224506
-5.98799400,1.15154039,0.21781361,0.09603583,0.22171551,0.00000000,0.00541038,0.03851071,0.01154225,0.55764484
-5.98199100,1.28390951,0.24005978,0.10836411,0.24468676,0.00000000,0.00594004,0.04389808,0.01356583,0.62016235
-5.97598799,1.43213026,0.26448190,0.12232117,0.26876140,0.00000000,0.00653337,0.05008882,0.01590071,0.68971736
-5.96998499,1.59602911,0.29096866,0.13793152,0.29379247,0.00000000,0.00718901,0.05710579,0.01856444,0.76617135
-5.96398199,1.77529371,0.31938667,0.15520579,0.31962042,0.00000000,0.00790565,0.06496677,0.02157160,0.84931906
-5.95797899,1.96944952,0.34957973,0.17413748,0.34607621,0.00000000,0.00868201,0.07368244,0.02493286,0.93887996
-5.95197599,2.17783680,0.38136812,0.19469958,0.37298446,0.00000000,0.00951688,0.08325421,0.02865393,1.03448996
-5.94597299,2.39958928,0.41454829,0.21684149,0.40016679,0.00000000,0.01040917,0.09367206,0.03273464,1.13569421
-5.93996998,2.63361598,0.44889274,0.24048609,0.42744475,0.00000000,0.01135790,0.10491255,0.03716806,1.24194116
-5.93396698,2.87858746,0.48415057,0.26552748,0.45464261,0.00000000,0.01236229,0.11693691,0.04193977,1.35257890
-5.92796398,3.13292813,0.52004845,0.29182930,0.48158951,0.00000000,0.01342169,0.12968951,0.04702729,1.46685389
-5.92196098,3.39481579,0.55629245,0.31922398,0.50812107,0.00000000,0.01453572,0.14309673,0.05239978,1.58391307
-5.91595798,3.66218960,0.59257052,0.34751300,0.53408028,0.00000000,0.01570416,0.15706623,0.05801796,1.70280935
-5.90995498,3.93276734,0.62855592,0.37646825,0.55931774,0.00000000,0.01692705,0.17148694,0.06383441,1.82251115
