energy_ev,total_up,Ag_p_up,Ag_d_up,S_s_up,S_p_up,Si_p_up,Si_d_up
-6.00000000,12.58822712,1.59618457,10.02499467,0.08703272,0.52882784,1.15474358,0.00000000
-5.99399700,12.74571774,1.60162647,10.17968374,0.08806219,0.52793191,1.14961013,0.00000000
-5.98799400,12.90732502,1.60769174,10.33663207,0.08910095,0.52758955,1.14530379,0.00000000
-5.98199100,13.06876990,1.61388671,10.49233450,0.09013097,0.52770912,1.14143111,0.00000000
-5.97598799,13.22565135,1.61971355,10.64318498,0.09113357,0.52818606,1.13759878,0.00000000
-5.96998499,13.37356969,1.62468379,10.78557677,0.09208987,0.52890704,1.13342476,0.00000000
-5.96398199,13.50825082,1.62833131,10.91600383,0.09298142,0.52975454,1.12854868,0.00000000
-5.95797899,13.62566730,1.63022460,11.03116020,0.09379068,0.53061165,1.12264142,0.00000000
-5.95197599,13.72215263,1.62997782,11.12803411,0.09450162,0.53136677,1.11541337,0.00000000
-5.94597299,13.79450491,1.62726043,11.20399400,0.09510019,0.53191826,1.10662137,0.00000000
-5.93996998,13.84007703,1.62180500,11.25686366,0.09557488,0.53217853,1.09607411,0.00000000
-5.93396698,13.85685029,1.61341321,11.28498424,0.09591708,0.53207774,1.08363578,0.00000000
-5.92796398,13.84348962,1.60195961,11.28726120,0.09612149,0.53156669,1.06922808,0.00000000
-5.92196098,13.79937855,1.58739332,11.26319481,0.09618638,0.53061892,1.05283045,0.00000000
-5.91595798,13.72463305,1.56973744,11.21289336,0.09611381,0.52923194,1.03447867,0.00000000
-5.90995498,13.62009392,1.54908638,11.13706849,0.09590969,0.52742747,1.01426185,0.00000000
-5.90395198,13.48729807,1.52560114,11.03701315,0.09558377,0.52525074,0.99231799,0.00000000
-5.89794897,13.32842957,1.49950277,10.91456247,0.09514949,0.52276889,0.96882829,0.00000000
-5.89194597,13.14625220,1.47106425,10.77203927,0.09462372,0.52006847,0.94401035,0.00000000
-5.88594297,12.94402567,1.44060108,10.61218554,0.09402642,0.51725215,0.91811067,0.00000000
-5.87993997,12.72540827,1.40846091,10.43808244,0.09338009,0.51443484,0.89139645,0.00000000
-5.87393697,12.49434916,1.37501268,10.25306124,0.09270926,0.51173927,0.86414727,0.00000000
-5.86793397,12.25497398,1.34063555,10.06060838,0.09203980,0.50929127,0.83664658,0.00000000
-5.86193097,12.01146765,1.30570805,9.86426769,0.09139824,0.50721493,0.80917365,0.00000000
-5.85592796,11.76795833,1.27059786,9.66754329,0.09081102,0.50562779,0.78199589,0.00000000
