energy_ev,total_up,C_s_up,C_p_up,Pt_p_up,Pt_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,6.20951590,0.03724205,0.69703613,2.50476719,3.10817364,1.08449322,0.28197845,0.08887484,1.81374245
-5.99399700,6.16684751,0.03861826,0.69842531,2.48710400,3.09112993,1.05343607,0.27824567,0.08532939,1.79267042
-5.98799400,6.14770979,0.04015173,0.70202214,2.47771052,3.08570926,1.02603608,0.27578376,0.08196362,1.77952099
-5.98199100,6.15392798,0.04183681,0.70802353,2.47752719,3.09280021,1.00272984,0.27467849,0.07882671,1.77483313
-5.97598799,6.18676876,0.04366489,0.71655496,2.48727403,3.11300568,0.98387854,0.27498991,0.07596179,1.77898810
-5.96998499,6.24688658,0.04562435,0.72766291,2.50742249,3.14661480,0.96976211,0.27675119,0.07340501,1.79219674
-5.96398199,6.33429510,0.04770079,0.74131057,2.53817747,3.19358784,0.96057676,0.27996836,0.07118496,1.81449338
-5.95797899,6.44836530,0.04987734,0.75737723,2.57947040,3.25355519,0.95643592,0.28462120,0.06932234,1.84573661
-5.95197599,6.58785015,0.05213508,0.77566123,2.63096343,3.32583016,0.95737427,0.29066513,0.06782994,1.88561678
-5.94597299,6.75093408,0.05445358,0.79588635,2.69206431,3.40943505,0.96335463,0.29803381,0.06671285,1.93366986
-5.93996998,6.93530471,0.05681150,0.81771130,2.76195083,3.50313891,0.97427700,0.30664248,0.06596898,1.98929690
-5.93396698,7.13824230,0.05918721,0.84074169,2.83960342,3.60550498,0.98998911,0.31639176,0.06558969,2.05178780
-5.92796398,7.35672216,0.06155938,0.86454393,2.92384373,3.71494512,1.01029769,0.32717157,0.06556063,2.12034826
-5.92196098,7.58752409,0.06390751,0.88866033,3.01337714,3.82977831,1.03497952,0.33886504,0.06586262,2.19412820
-5.91595798,7.82734297,0.06621240,0.91262449,3.10683680,3.94829009,1.06379162,0.35135221,0.06647259,2.27225017
-5.90995498,8.07289455,0.06845643,0.93597637,3.20282677,4.06878971,1.09647955,0.36451310,0.06736451,2.35383606
-5.90395198,8.32101089,0.07062384,0.95827621,3.29996220,4.18966227,1.13278354,0.37823034,0.06851020,2.43803082
-5.89794897,8.56872111,0.07270067,0.97911674,3.39690456,4.30941320,1.17244174,0.39239085,0.06988007,2.52402184
-5.89194597,8.81331358,0.07467474,0.99813312,3.49239053,4.42670319,1.21519058,0.40688689,0.07144376,2.61105316
-5.88594297,9.05237766,0.07653538,1.01501038,3.58525350,4.54037220,1.26076216,0.42161630,0.07317051,2.69843402
-5.87993997,9.28382401,0.07827310,1.02948807,3.67443728,4.64945207,1.30887907,0.43648200,0.07502950,2.78554161
-5.87393697,9.50588428,0.07987919,1.04136219,3.75900213,4.75316786,1.35924714,0.45139109,0.07698999,2.87181835
-5.86793397,9.71709221,0.08134530,1.05048464,3.83812373,4.85092876,1.41154686,0.46625354,0.07902132,2.95676438
-5.86193097,9.91624945,0.08266297,1.05676031,3.91108614,4.94231021,1.46542435,0.48098083,0.08109287,3.03992641
-5.85592796,10.10238024,0.08382325,1.06014249,3.97727032,5.02702915,1.52048298,0.49548468,0.08317392,3.12088419
-5.84992496,10.27467988,0.08481646,1.06062686,4.03613976,5.10491486,1.57627657,0.50967628,0.08523350,3.19923612
-5.84392196,10.43246205,0.08563198,1.05824484,4.08722516,5.17587805,1.63230514,0.52346593,0.08724035,3.27458557
