energy_ev,total_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up
-6.00000000,2.08970774,0.95927445,0.74728256,0.00547545,1.21794056,0.08171699,0.00018498
-5.99399700,2.12264681,0.98040463,0.75333417,0.00567616,1.24040341,0.08377645,0.00018890
-5.98799400,2.15322780,1.00119715,0.75994006,0.00589029,1.26231799,0.08557899,0.00019212
-5.98199100,2.18061726,1.02129525,0.76671468,0.00611529,1.28308314,0.08709577,0.00019461
-5.97598799,2.20404285,1.04035342,0.77327781,0.00634810,1.30212207,0.08830304,0.00019635
-5.96998499,2.22281919,1.05804871,0.77926611,0.00658512,1.31890131,0.08918314,0.00019733
-5.96398199,2.23636971,1.07409119,0.78434322,0.00682238,1.33294730,0.08972522,0.00019755
-5.95797899,2.24424338,1.08823290,0.78820805,0.00705557,1.34385993,0.08992574,0.00019706
-5.95197599,2.24612600,1.10027504,0.79060115,0.00728018,1.35132265,0.08978870,0.00019588
-5.94597299,2.24184561,1.11007300,0.79130909,0.00749160,1.35510882,0.08932550,0.00019407
-5.93996998,2.23137208,1.11753896,0.79016690,0.00768525,1.35508430,0.08855460,0.00019168
-5.93396698,2.21481118,1.12264218,0.78705877,0.00785670,1.35120626,0.08750076,0.00018879
-5.92796398,2.19239378,1.12540670,0.78191703,0.00800179,1.34351869,0.08619418,0.00018547
-5.92196098,2.16446077,1.12590684,0.77471999,0.00811675,1.33214488,0.08466928,0.00018180
-5.91595798,2.13144483,1.12426062,0.76548853,0.00819830,1.31727748,0.08296344,0.00017784
-5.90995498,2.09384996,1.12062149,0.75428212,0.00824376,1.29916685,0.08111555,0.00017369
-5.90395198,2.05222994,1.11516884,0.74119419,0.00825114,1.27810823,0.07916464,0.00016939
-5.89794897,2.00716684,1.10809783,0.72634743,0.00821916,1.25442858,0.07714837,0.00016501
-5.89194597,1.95925052,1.09960910,0.70988907,0.00814733,1.22847368,0.07510185,0.00016060
-5.88594297,1.90906012,1.08989893,0.69198633,0.00803599,1.20059613,0.07305639,0.00015620
-5.87993997,1.85714831,1.07915039,0.67282235,0.00788624,1.17114475,0.07103862,0.00015184
-5.87393697,1.80402881,1.06752608,0.65259248,0.00769997,1.14045582,0.06906976,0.00014754
-5.86793397,1.75016767,1.05516282,0.63150121,0.00747982,1.10884645,0.06716519,0.00014332
-5.86193097,1.69597840,1.04216861,0.60975960,0.00722905,1.07661025,0.06533436,0.00013917
-5.85592796,1.64182090,1.02862210,0.58758332,0.00695153,1.04401528,0.06358082,0.00013508
-5.84992496,1.58800403,1.01457453,0.56519110,0.00665159,1.01130423,0.06190270,0.00013105
-5.84392196,1.53479122,1.00005421,0.54280372,0.00633392,0.97869661,0.06029330,0.00012706
-5.83791896,1.48240876,0.98507301,0.52064327,0.00600347,0.94639249,0.05874190,0.00012310
-5.83191596,1.43105586,0.96963475,0.49893265,0.00566529,0.91457763,0.05723474,0.00011913
-5.82591296,1.38091585,0.95374479,0.47789518,0.00532446,0.88342924,0.05575608,0.00011516
-5.81990995,1.33216761,0.93742033,0.45775423,0.00498591,0.85312218,0.05428929,0.00011116
-5.81390695,1.28499657,0.92070068,0.43873266,0.00465437,0.82383486,0.05281793,0.00010712
-5.80790395,1.23960429,0.90365689,0.42105207,0.00433425,0.79575443,0.05132676,0.00010304
-5.80190095,1.19621626,0.88640009,0.40493171,0.00402952,0.76908102,0.04980264,0.00009893
-5.79589795,1.15508718,0.86908785,0.39058689,0.00374370,0.74403034,0.04823526,0.00009479
-5.78989495,1.11650336,0.85192822,0.37822705,0.00347975,0.72083474,0.04661771,0.00009064
-5.78389195,1.08078214,0.83518099,0.36805322,0.00324007,0.69974235,0.04494683,0.00008649
-5.77788894,1.04826813,0.81915591,0.36025502,0.00302644,0.68101426,0.04322334,0.00008237
-5.77188594,1.01932664,0.80420796,0.35500729,0.00284003,0.66492000,0.04145186,0.00007831
-5.76588294,0.99433429,0.79072962,0.35246624,0.00268140,0.65173127,0.03964058,0.00007434
-5.75987994,0.97366766,0.77914061,0.35276547,0.00255051,0.64171438,0.03780095,0.00007049
-5.75387694,0.95769019,0.76987539,0.35601183,0.00244675,0.63512162,0.03594711,0.00006680
-5.74787394,0.94673832,0.76336902,0.36228137,0.00236900,0.63218217,0.03409526,0.00006330
-5.74187094,0.94110749,0.76004218,0.37161564,0.00231564,0.63309287,0.03226304,0.00006001
-5.73586793,0.94103870,0.76028585,0.38401835,0.00228464,0.63800935,0.03046881,0.00005697
-5.72986493,0.94670657,0.76444667,0.39945283,0.00227360,0.64703822,0.02873099,0.00005420
-5.72386193,0.95820937,0.77281351,0.41784037,0.00227985,0.66023043,0.02706748,0.00005171
-5.71785893,0.97556182,0.78560610,0.43905951,0.00230049,0.67757657,0.02549513,0.00004952
-5.71185593,0.99869092,0.80296622,0.46294670,0.00233249,0.69900410,0.02402937,0.00004764
-5.70585293,1.02743536,0.82495202,0.48929807,0.00237278,0.72437700,0.02268387,0.00004606
-5.69984992,1.06154838,0.85153576,0.51787274,0.00241828,0.75349782,0.02147043,0.00004479
