energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Cd_p_up,Cd_d_up,S_s_up,S_p_up
-6.00000000,0.48590526,0.00986294,0.02842019,0.00147449,0.00000000,0.31128785,0.03972128,0.00724247,0.21607194
-5.99399700,0.53727964,0.01088603,0.03135453,0.00162464,0.00000000,0.34304264,0.04401747,0.00801633,0.23890297
-5.98799400,0.59006175,0.01193165,0.03434956,0.00177729,0.00000000,0.37534403,0.04845835,0.00881366,0.26235566
-5.98199100,0.64366616,0.01298701,0.03736784,0.00193041,0.00000000,0.40776425,0.05300045,0.00962610,0.28616906
-5.97598799,0.69744422,0.01403806,0.04036823,0.00208177,0.00000000,0.43983528,0.05759514,0.01044437,0.31005406
-5.96998499,0.75069754,0.01506976,0.04330681,0.00222900,0.00000000,0.47105937,0.06218951,0.01125839,0.33369951
-5.96398199,0.80269422,0.01606646,0.04613796,0.00236965,0.00000000,0.50092146,0.06672758,0.01205759,0.35677938
-5.95797899,0.85268713,0.01701234,0.04881557,0.00250125,0.00000000,0.52890319,0.07115159,0.01283111,0.37896095
-5.95197599,0.89993360,0.01789177,0.05129431,0.00262141,0.00000000,0.55449784,0.07540340,0.01356809,0.39991360
-5.94597299,0.94371573,0.01868987,0.05353099,0.00272783,0.00000000,0.57722577,0.07942598,0.01425797,0.41931786
-5.93996998,0.98336049,0.01939285,0.05548587,0.00281845,0.00000000,0.59664957,0.08316483,0.01489077,0.43687436
-5.93396698,1.01825871,0.01998852,0.05712388,0.00289146,0.00000000,0.61238830,0.08656936,0.01545734,0.45231233
-5.92796398,1.04788208,0.02046659,0.05841574,0.00294540,0.00000000,0.62413016,0.08959418,0.01594962,0.46539718
-5.92196098,1.07179759,0.02081907,0.05933889,0.00297918,0.00000000,0.63164300,0.09220011,0.01636084,0.47593689
-5.91595798,1.08967860,0.02104040,0.05987816,0.00299212,0.00000000,0.63478214,0.09435507,0.01668567,0.48378700
-5.90995498,1.10131221,0.02112771,0.06002621,0.00298400,0.00000000,0.63349516,0.09603465,0.01692036,0.48885388
-5.90395198,1.10660273,0.02108079,0.05978369,0.00295503,0.00000000,0.62782342,0.09722248,0.01706276,0.49109620
-5.89794897,1.10557105,0.02090211,0.05915913,0.00290588,0.00000000,0.61790019,0.09791026,0.01711234,0.49052473
-5.89194597,1.09835028,0.02059668,0.05816855,0.00283762,0.00000000,0.60394562,0.09809764,0.01707015,0.48720029
-5.88594297,1.08517791,0.02017179,0.05683476,0.00275171,0.00000000,0.58625871,0.09779178,0.01693870,0.48123028
-5.87993997,1.06638495,0.01963683,0.05518659,0.00264991,0.00000000,0.56520665,0.09700681,0.01672183,0.47276378
-5.87393697,1.04238287,0.01900284,0.05325781,0.00253427,0.00000000,0.54121228,0.09576310,0.01642458,0.46198572
-5.86793397,1.01364887,0.01828220,0.05108600,0.00240703,0.00000000,0.51473993,0.09408644,0.01605296,0.44911020
-5.86193097,0.98071032,0.01748823,0.04871135,0.00227055,0.00000000,0.48628061,0.09200716,0.01561377,0.43437363
-5.85592796,0.94412903,0.01663474,0.04617542,0.00212726,0.00000000,0.45633707,0.08955929,0.01511441,0.41802757
-5.84992496,0.90448616,0.01573568,0.04352000,0.00197955,0.00000000,0.42540933,0.08677969,0.01456268,0.40033200
-5.84392196,0.86236811,0.01480479,0.04078601,0.00182975,0.00000000,0.39398129,0.08370728,0.01396661,0.38154904
-5.83791896,0.81835407,0.01385521,0.03801254,0.00168007,0.00000000,0.36250900,0.08038233,0.01333430,0.36193728
-5.83191596,0.77300540,0.01289931,0.03523604,0.00153250,0.00000000,0.33141075,0.07684584,0.01267382,0.34174710
-5.82591296,0.72685713,0.01194838,0.03248969,0.00138884,0.00000000,0.30105938,0.07313907,0.01199303,0.32121682
-5.81990995,0.68041163,0.01101254,0.02980298,0.00125066,0.00000000,0.27177692,0.06930307,0.01129961,0.30056990
-5.81390695,0.63413434,0.01010060,0.02720138,0.00111926,0.00000000,0.24383150,0.06537845,0.01060094,0.28001304
-5.80790395,0.58845156,0.00922002,0.02470635,0.00099568,0.00000000,0.21743645,0.06140507,0.00990408,0.25973517
