energy_ev,total_up,Cd_p_up,Cd_d_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up
-6.00000000,3.19428875,0.94730215,0.23676234,0.57587594,0.00037817,1.98411682,0.00000000
-5.99399700,3.19475215,0.92334138,0.24084736,0.54101525,0.00039404,2.03293888,0.00000000
-5.98799400,3.18924757,0.89975684,0.24512785,0.50651054,0.00040964,2.07489130,0.00000000
-5.98199100,3.17853633,0.87701625,0.24970812,0.47290857,0.00042504,2.10950821,0.00000000
-5.97598799,3.16345643,0.85555314,0.25468822,0.44070115,0.00044031,2.13646733,0.00000000
-5.96998499,3.14489128,0.83575916,0.26015906,0.41031544,0.00045556,2.15559027,0.00000000
-5.96398199,3.12373701,0.81797735,0.26619759,0.38210667,0.00047087,2.16683877,0.00000000
-5.95797899,3.10086946,0.80249659,0.27286231,0.35635342,0.00048634,2.17030716,0.00000000
-5.95197599,3.07711209,0.78954714,0.28018915,0.33325552,0.00050202,2.16621117,0.00000000
-5.94597299,3.05320610,0.77929760,0.28818803,0.31293430,0.00051797,2.15487378,0.00000000
-5.93996998,3.02978386,0.77185321,0.29684030,0.29543510,0.00053419,2.13670867,0.00000000
-5.93396698,3.00734700,0.76725576,0.30609717,0.28073177,0.00055067,2.11220194,0.00000000
-5.92796398,2.98625006,0.76548500,0.31587932,0.26873289,0.00056734,2.08189304,0.00000000
-5.92196098,2.96669063,0.76646173,0.32607770,0.25928943,0.00058408,2.04635566,0.00000000
-5.91595798,2.94870647,0.77005246,0.33655564,0.25220337,0.00060074,2.00617947,0.00000000
-5.90995498,2.93217988,0.77607557,0.34715228,0.24723724,0.00061712,1.96195352,0.00000000
-5.90395198,2.91684919,0.78430874,0.35768703,0.24412395,0.00063299,1.91425184,0.00000000
-5.89794897,2.90232684,0.79449746,0.36796519,0.24257675,0.00064808,1.86362195,0.00000000
-5.89194597,2.88812326,0.80636435,0.37778424,0.24229907,0.00066210,1.81057648,0.00000000
-5.88594297,2.87367531,0.81961868,0.38694082,0.24299380,0.00067477,1.75558812,0.00000000
-5.87993997,2.85837775,0.83396597,0.39523777,0.24437190,0.00068578,1.69908776,0.00000000
-5.87393697,2.84161628,0.84911704,0.40249123,0.24616007,0.00069486,1.64146575,0.00000000
-5.86793397,2.82280023,0.86479623,0.40853723,0.24810730,0.00070176,1.58307558,0.00000000
-5.86193097,2.80139329,0.88074831,0.41323758,0.24999020,0.00070626,1.52423966,0.00000000
-5.85592796,2.77694071,0.89674393,0.41648469,0.25161696,0.00070819,1.46525640,0.00000000
-5.84992496,2.74909154,0.91258339,0.41820524,0.25282995,0.00070744,1.40640792,0.00000000
-5.84392196,2.71761502,0.92809852,0.41836236,0.25350696,0.00070395,1.34796760,0.00000000
-5.83791896,2.68241034,0.94315302,0.41695637,0.25356113,0.00069773,1.29020698,0.00000000
-5.83191596,2.64350956,0.95764102,0.41402398,0.25293968,0.00068885,1.23340122,0.00000000
-5.82591296,2.60107396,0.97148444,0.40963620,0.25162154,0.00067743,1.17783285,0.00000000
-5.81990995,2.55538426,0.98462927,0.40389483,0.24961420,0.00066365,1.12379345,0.00000000
-5.81390695,2.50682557,0.99704120,0.39692802,0.24694980,0.00064775,1.07158312,0.00000000
-5.80790395,2.45586837,1.00870091,0.38888503,0.24368077,0.00062998,1.02150777,0.00000000
-5.80190095,2.40304661,1.01959949,0.37993045,0.23987528,0.00061064,0.97387438,0.00000000
-5.79589795,2.34893441,1.02973404,0.37023825,0.23561264,0.00059005,0.92898462,0.00000000
-5.78989495,2.29412249,1.03910396,0.35998591,0.23097878,0.00056853,0.88712706,0.00000000
-5.78389195,2.23919578,1.04770780,0.34934885,0.22606213,0.00054640,0.84856852,0.00000000
-5.77788894,2.18471289,1.05554085,0.33849544,0.22094992,0.00052397,0.81354502,0.00000000
-5.77188594,2.13118843,1.06259336,0.32758275,0.21572501,0.00050154,0.78225289,0.00000000
-5.76588294,2.07907855,1.06884934,0.31675308,0.21046322,0.00047938,0.75484041,0.00000000
-5.75987994,2.02877012,1.07428572,0.30613136,0.20523140,0.00045773,0.73140052,0.00000000
-5.75387694,1.98057344,1.07887174,0.29582354,0.20008595,0.00043681,0.71196495,0.00000000
-5.74787394,1.93471846,1.08256842,0.28591568,0.19507198,0.00041679,0.69650019,0.00000000
-5.74187094,1.89135427,1.08532804,0.27647395,0.19022294,0.00039784,0.68490550,0.00000000
-5.73586793,1.85055154,1.08709350,0.26754527,0.18556066,0.00038009,0.67701325,0.00000000
-5.72986493,1.81230761,1.08779773,0.25915844,0.18109580,0.00036362,0.67259173,0.00000000
-5.72386193,1.77655378,1.08736319,0.25132592,0.17682862,0.00034851,0.67135055,0.00000000
-5.71785893,1.74316477,1.08570168,0.24404576,0.17274997,0.00033483,0.67294862,0.00000000
-5.71185593,1.71196991,1.08271465,0.23730393,0.16884259,0.00032263,0.67700470,0.00000000
-5.70585293,1.68276588,1.07829436,0.23107673,0.16508249,0.00031192,0.68311034,0.00000000
-5.69984992,1.65533103,1.07232608,0.22533339,0.16144061,0.00030276,0.69084509,0.00000000
-5.69384692,1.62944077,1.06469150,0.22003854,0.15788453,0.00029515,0.69979348,0.00000000
-5.68784392,1.60488410,1.05527354,0.21515483,0.15438038,0.00028914,0.70956358,0.00000000
-5.68184092,1.58148076,1.04396255,0.21064525,0.15089481,0.00028475,0.71980644,0.00000000
-5.67583792,1.55909872,1.03066376,0.20647548,0.14739708,0.00028202,0.73023587,0.00000000
-5.66983492,1.53767142,1.01530581,0.20261594,0.14386118,0.00028100,0.74064788,0.00000000
-5.66383192,1.51721428,0.99784991,0.19904356,0.14026792,0.00028174,0.75093904,0.00000000
