energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Mn_p_up,Mn_d_up,Te_p_up,Te_d_up
-6.00000000,0.84404752,0.02076087,0.06305008,0.45437437,0.09371320,0.29595393,0.15692749,0.38533140,0.00000000
-5.99399700,0.84176628,0.02091910,0.06523870,0.47054048,0.09441430,0.30214855,0.14874706,0.38592093,0.00000000
-5.98799400,0.83785039,0.02094413,0.06719647,0.48519947,0.09471633,0.30727610,0.14106537,0.38580885,0.00000000
-5.98199100,0.83204894,0.02083199,0.06888851,0.49806902,0.09459750,0.31119743,0.13386003,0.38485059,0.00000000
-5.97598799,0.82413976,0.02058218,0.07028294,0.50888866,0.09404356,0.31379441,0.12709972,0.38291566,0.00000000
-5.96998499,0.81393874,0.02019762,0.07135180,0.51742693,0.09304843,0.31497314,0.12074643,0.37989231,0.00000000
-5.96398199,0.80130801,0.01968444,0.07207199,0.52348822,0.09161446,0.31466656,0.11475795,0.37569164,0.00000000
-5.95797899,0.78616254,0.01905176,0.07242604,0.52691871,0.08975255,0.31283627,0.10909025,0.37025108,0.00000000
-5.95197599,0.76847501,0.01831131,0.07240277,0.52761147,0.08748187,0.30947361,0.10369982,0.36353712,0.00000000
-5.94597299,0.74827885,0.01747698,0.07199782,0.52551039,0.08482936,0.30459993,0.09854589,0.35554709,0.00000000
-5.93996998,0.72566934,0.01656433,0.07121396,0.52061287,0.08182899,0.29826608,0.09359229,0.34631014,0.00000000
-5.93396698,0.70080284,0.01559007,0.07006124,0.51297110,0.07852086,0.29055116,0.08880915,0.33588733,0.00000000
-5.92796398,0.67389429,0.01457155,0.06855698,0.50269199,0.07495011,0.28156059,0.08417410,0.32437083,0.00000000
-5.92196098,0.64521315,0.01352623,0.06672553,0.48993566,0.07116575,0.27142357,0.07967328,0.31188237,0.00000000
-5.91595798,0.61507811,0.01247123,0.06459787,0.47491262,0.06721943,0.26029009,0.07530193,0.29857103,0.00000000
-5.90995498,0.58385066,0.01142290,0.06221107,0.45787964,0.06316426,0.24832753,0.07106460,0.28461043,0.00000000
-5.90395198,0.55192813,0.01039651,0.05960760,0.43913456,0.05905364,0.23571706,0.06697519,0.27019555,0.00000000
-5.89794897,0.51973615,0.00940595,0.05683449,0.41901027,0.05494019,0.22264984,0.06305661,0.25553913,0.00000000
-5.89194597,0.48772104,0.00846361,0.05394247,0.39786781,0.05087482,0.20932329,0.05934026,0.24086804,0.00000000
-5.88594297,0.45634227,0.00758022,0.05098501,0.37608915,0.04690590,0.19593739,0.05586536,0.22641941,0.00000000
-5.87993997,0.42606521,0.00676490,0.04801731,0.35406964,0.04307865,0.18269122,0.05267805,0.21243690,0.00000000
-5.87393697,0.39735421,0.00602521,0.04509534,0.33221039,0.03943463,0.16977969,0.04983042,0.19916698,0.00000000
-5.86793397,0.37066620,0.00536725,0.04227483,0.31091086,0.03601145,0.15739068,0.04737946,0.18685531,0.00000000
-5.86193097,0.34644469,0.00479588,0.03961035,0.29056168,0.03284256,0.14570241,0.04538585,0.17574331,0.00000000
-5.85592796,0.32511427,0.00431492,0.03715442,0.27153789,0.02995720,0.13488127,0.04391274,0.16606473,0.00000000
-5.84992496,0.30707532,0.00392737,0.03495662,0.25419276,0.02738045,0.12507991,0.04302436,0.15804243,0.00000000
-5.84392196,0.29269900,0.00363573,0.03306284,0.23885202,0.02513335,0.11643568,0.04278461,0.15188499,0.00000000
-5.83791896,0.28232222,0.00344215,0.03151448,0.22580876,0.02323312,0.10906933,0.04325550,0.14778348,0.00000000
-5.83191596,0.27624259,0.00334875,0.03034783,0.21531875,0.02169328,0.10308392,0.04449549,0.14590801,0.00000000
-5.82591296,0.27471315,0.00335778,0.02959334,0.20759636,0.02052394,0.09856394,0.04655769,0.14640415,0.00000000
-5.81990995,0.27793685,0.00347182,0.02927507,0.20281077,0.01973196,0.09557451,0.04948802,0.14938928,0.00000000
-5.81390695,0.28606076,0.00369391,0.02941007,0.20108282,0.01932109,0.09416065,0.05332319,0.15494880,0.00000000
-5.80790395,0.29917019,0.00402763,0.03000787,0.20248205,0.01929209,0.09434668,0.05808873,0.16313219,0.00000000
-5.80190095,0.31728262,0.00447716,0.03106998,0.20702431,0.01964283,0.09613560,0.06379695,0.17394925,0.00000000
