energy_ev,total_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up,Ta_p_up,Ta_d_up
-6.00000000,4.49780881,0.09465223,0.00264074,0.02873902,3.51650854,1.38277471,2.41346029
-5.99399700,4.43493692,0.09208821,0.00257603,0.02760152,3.47550208,1.37989648,2.38465525
-5.98799400,4.37003786,0.09032848,0.00252164,0.02652726,3.43045363,1.37583828,2.35003121
-5.98199100,4.30312158,0.08942228,0.00247763,0.02553607,3.38115309,1.37054746,2.30952407
-5.97598799,4.23445156,0.08941834,0.00244409,0.02464723,3.32762526,1.36408521,2.26324817
-5.96998499,4.16452740,0.09036284,0.00242100,0.02387866,3.27012331,1.35662104,2.21149446
-5.96398199,4.09405233,0.09229693,0.00240832,0.02324627,3.20910961,1.34842113,2.15472037
-5.95797899,4.02388793,0.09525411,0.00240584,0.02276335,3.14522512,1.33983129,2.09353208
-5.95197599,3.95499896,0.09925748,0.00241325,0.02243998,3.07924971,1.33125556,2.02866038
-5.94597299,3.88839177,0.10431702,0.00243007,0.02228267,3.01205583,1.32313134,1.96093143
-5.93996998,3.82505010,0.11042706,0.00245561,0.02229398,2.94455851,1.31590283,1.89123420
-5.93396698,3.76587213,0.11756402,0.00248898,0.02247248,2.87766467,1.30999378,1.82048638
-5.92796398,3.71161252,0.12568460,0.00252908,0.02281264,2.81222471,1.30578149,1.74960057
-5.92196098,3.66283292,0.13472454,0.00257460,0.02330512,2.74898913,1.30357299,1.67945245
-5.91595798,3.61986364,0.14459798,0.00262404,0.02393696,2.68857269,1.30358519,1.61085259
-5.90995498,3.58277891,0.15519752,0.00267570,0.02469210,2.63142769,1.30592955,1.54452304
-5.90395198,3.55138681,0.16639516,0.00272780,0.02555189,2.57782797,1.31060250,1.48107976
-5.89794897,3.52523453,0.17804388,0.00277844,0.02649574,2.52786397,1.31748187,1.42102144
-5.89194597,3.50362849,0.18998008,0.00282568,0.02750185,2.48144882,1.32632951,1.36472482
-5.88594297,3.48566795,0.20202674,0.00286765,0.02854788,2.43833489,1.33680005,1.31244640
-5.87993997,3.47029027,0.21399715,0.00290253,0.02961172,2.39813913,1.34845513,1.26432989
-5.87393697,3.45632496,0.22569928,0.00292867,0.03067218,2.36037581,1.36078248,1.22041867
-5.86793397,3.44255365,0.23694041,0.00294462,0.03170958,2.32449419,1.37321878,1.18067206
-5.86193097,3.42777248,0.24753204,0.00294920,0.03270633,2.28991894,1.38517502,1.14498433
-5.85592796,3.41085367,0.25729480,0.00294152,0.03364734,2.25609089,1.39606327,1.11320504
-5.84992496,3.39080304,0.26606321,0.00292105,0.03452030,2.22250584,1.40532327,1.08515966
-5.84392196,3.36681065,0.27369003,0.00288759,0.03531588,2.18874937,1.41244782,1.06066909
-5.83791896,3.33829218,0.28005018,0.00284131,0.03602769,2.15452594,1.41700564,1.03956739
-5.83191596,3.30491939,0.28504382,0.00278274,0.03665225,2.11968106,1.41866068,1.02171670
-5.82591296,3.26663862,0.28859872,0.00271273,0.03718868,2.08421579,1.41718730,1.00701902
-5.81990995,3.22367684,0.29067169,0.00263244,0.03763846,2.04829308,1.41248053,0.99542437
-5.81390695,3.17653581,0.29124903,0.00254328,0.03800494,2.01223629,1.40456131,0.98693546
-5.80790395,3.12597501,0.29034601,0.00244687,0.03829296,1.97652040,1.39357659,0.98160881
-5.80190095,3.07298489,0.28800549,0.00234499,0.03850837,1.94175670,1.37979464,0.97955272
-5.79589795,3.01875217,0.28429570,0.00223950,0.03865758,1.90867218,1.36359580,0.98092247
-5.78989495,2.96461902,0.27930727,0.00213231,0.03874714,1.87808475,1.34545944,0.98591315
-5.78389195,2.91203829,0.27314975,0.00202530,0.03878342,1.85087567,1.32594777,0.99475067
-5.77788894,2.86252670,0.26594781,0.00192030,0.03877237,1.82796035,1.30568718,1.00768131
-5.77188594,2.81761766,0.25783712,0.00181902,0.03871929,1.81025857,1.28534813,1.02496032
-5.76588294,2.77881544,0.24896039,0.00172303,0.03862885,1.79866515,1.26562414,1.04683975
-5.75987994,2.74755167,0.23946343,0.00163373,0.03850502,1.79402176,1.24721071,1.07355596
-5.75387694,2.72514538,0.22949163,0.00155231,0.03835128,1.79709034,1.23078478,1.10531676
-5.74787394,2.71276687,0.21918679,0.00147977,0.03817067,1.80852870,1.21698530,1.14228869
-5.74187094,2.71140613,0.20868452,0.00141691,0.03796611,1.82886843,1.20639538,1.18458418
-5.73586793,2.72184573,0.19811226,0.00136429,0.03774055,1.85849527,1.19952628,1.23224922
-5.72986493,2.74463859,0.18758776,0.00132231,0.03749722,1.89763235,1.19680375,1.28525145
-5.72386193,2.78009044,0.17721829,0.00129115,0.03723980,1.94632625,1.19855668,1.34346912
-5.71785893,2.82824737,0.16710031,0.00127082,0.03697255,2.00443634,1.20500851,1.40668136
-5.71185593,2.88888848,0.15731959,0.00126115,0.03670043,2.07162771,1.21627145,1.47456025
-5.70585293,2.96152415,0.14795176,0.00126183,0.03642900,2.14736807,1.23234362,1.54666515
-5.69984992,3.04540014,0.13906315,0.00127241,0.03616445,2.23092933,1.25310931,1.62244006
-5.69384692,3.13950807,0.13071180,0.00129231,0.03591337,2.32139417,1.27834244,1.70121454
-5.68784392,3.24260270,0.12294860,0.00132083,0.03568259,2.41766819,1.30771323,1.78220873
-5.68184092,3.35322622,0.11581839,0.00135718,0.03547891,2.51849803,1.34079807,1.86454284
-5.67583792,3.46973975,0.10936108,0.00140049,0.03530889,2.62249549,1.37709255,1.94725148
-5.66983492,3.59036177,0.10361256,0.00144981,0.03517854,2.72816769,1.41602729,2.02930272
-5.66383192,3.71321300,0.09860549,0.00150413,0.03509309,2.83395276,1.45698640,2.10962160
-5.65782891,3.83636670,0.09436984,0.00156242,0.03505685,2.93826028,1.49932795,2.18711763
-5.65182591,3.95790309,0.09093321,0.00162361,0.03507302,3.03951536,1.54240588,2.26071531
-5.64582291,4.07596603,0.08832088,0.00168665,0.03514366,3.13620490,1.58559260,2.32938669
-5.63981991,4.18882002,0.08655565,0.00175049,0.03526972,3.22692430,1.62830149,2.39218450
-5.63381691,4.29490505,0.08565744,0.00181412,0.03545108,3.31042263,1.67000826,2.44827448
-5.62781391,4.39288699,0.08564272,0.00187662,0.03568673,3.38564438,1.71027049,2.49696537
-5.62181091,4.48170131,0.08652369,0.00193712,0.03597496,3.45176577,1.74874425,2.53773507
