energy_ev,total_up,C_s_up,C_p_up,Re_p_up,Re_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,2.77895840,0.02933299,0.20291023,1.45140417,0.66368678,0.00636158,1.61435604,0.80792955,0.19139247
-5.99399700,2.77877956,0.03075647,0.20034223,1.45399154,0.65985011,0.00632614,1.61722298,0.80602900,0.19361974
-5.98799400,2.76476963,0.03215240,0.19656471,1.44823025,0.65266290,0.00626966,1.61210684,0.79953403,0.19517310
-5.98199100,2.73769520,0.03351579,0.19165386,1.43436778,0.64237522,0.00619416,1.59941469,0.78862976,0.19609726
-5.97598799,2.69859862,0.03484181,0.18570622,1.41281141,0.62930709,0.00610206,1.57971635,0.77358669,0.19645021
-5.96998499,2.64876574,0.03612552,0.17883561,1.38411444,0.61383944,0.00599608,1.55372726,0.75475236,0.19630095
-5.96398199,2.58968672,0.03736172,0.17116960,1.34895777,0.59640351,0.00587909,1.52228710,0.73254071,0.19572695
-5.95797899,2.52301130,0.03854464,0.16284563,1.30812780,0.57746895,0.00575402,1.48633499,0.70741975,0.19481133
-5.95197599,2.45050046,0.03966787,0.15400700,1.26249161,0.55753101,0.00562376,1.44688219,0.67989785,0.19364005
-5.94597299,2.37397609,0.04072417,0.14479888,1.21297030,0.53709740,0.00549104,1.40498332,0.65050931,0.19229910
-5.93996998,2.29527069,0.04170548,0.13536445,1.16051188,0.51667505,0.00535838,1.36170720,0.61979984,0.19087183
-5.93396698,2.21617857,0.04260296,0.12584138,1.10606452,0.49675738,0.00522800,1.31810823,0.58831225,0.18943662
-5.92796398,2.13841039,0.04340711,0.11635865,1.05055138,0.47781216,0.00510178,1.27519930,0.55657315,0.18806480
-5.92196098,2.06355222,0.04410807,0.10703392,0.99484780,0.46027062,0.00498126,1.23392698,0.52508081,0.18681899
-5.91595798,1.99303022,0.04469590,0.09797149,0.93976158,0.44451765,0.00486759,1.19514979,0.49429474,0.18575192
-5.90995498,1.92808178,0.04516104,0.08926078,0.88601707,0.43088370,0.00476154,1.15961994,0.46462714,0.18490561
-5.90395198,1.86973358,0.04549479,0.08097548,0.83424311,0.41963817,0.00466357,1.12796901,0.43643638,0.18431108
-5.89794897,1.81878683,0.04568976,0.07317322,0.78496525,0.41098456,0.00457381,1.10069769,0.41002261,0.18398831
-5.89194597,1.77580963,0.04574047,0.06589586,0.73860201,0.40505743,0.00449216,1.07816973,0.38562544,0.18394671
-5.88594297,1.74113611,0.04564376,0.05917017,0.69546506,0.40192106,0.00441831,1.06060991,0.36342360,0.18418579
-5.87993997,1.71487211,0.04539928,0.05300891,0.65576286,0.40156981,0.00435179,1.04810597,0.34353634,0.18469607
-5.87393697,1.69690667,0.04500982,0.04741231,0.61960732,0.40393030,0.00429208,1.04061414,0.32602649,0.18546024
-5.86793397,1.68692865,0.04448150,0.04236968,0.58702298,0.40886505,0.00423861,1.03796792,0.31090472,0.18645431
-5.86193097,1.68444790,0.04382396,0.03786119,0.55795788,0.41617768,0.00419083,1.03988981,0.29813486,0.18764898
-5.85592796,1.68882004,0.04305024,0.03385969,0.53229590,0.42561955,0.00414829,1.04600540,0.28764004,0.18901089
-5.84992496,1.69927410,0.04217664,0.03033257,0.50986952,0.43689756,0.00411061,1.05585955,0.27930916,0.19050398
-5.84392196,1.71494221,0.04122236,0.02724351,0.49047287,0.44968314,0.00407756,1.06893391,0.27300374,0.19209076
-5.83791896,1.73489059,0.04020904,0.02455405,0.47387435,0.46362201,0.00404902,1.08466553,0.26856464,0.19373349
-5.83191596,1.75815074,0.03916019,0.02222510,0.45982844,0.47834465,0.00402504,1.10246584,0.26581864,0.19539534
-5.82591296,1.78375032,0.03810049,0.02021819,0.44808649,0.49347710,0.00400577,1.12173951,0.26458465,0.19704143
-5.81990995,1.81074263,0.03705504,0.01849656,0.43840609,0.50865188,0.00399146,1.14190265,0.26467932,0.19863978
-5.81390695,1.83823396,0.03604860,0.01702602,0.43055896,0.52351854,0.00398243,1.16239982,0.26592212,0.20016204
-5.80790395,1.86540796,0.03510476,0.01577562,0.42433723,0.53775370,0.00397905,1.18271917,0.26813960,0.20158421
-5.80190095,1.89154638,0.03424524,0.01471815,0.41955807,0.55107002,0.00398164,1.20240553,0.27116899,0.20288706
-5.79589795,1.91604544,0.03348913,0.01383046,0.41606663,0.56322394,0.00399047,1.22107064,0.27486083,0.20405639
-5.78989495,1.93842737,0.03285231,0.01309361,0.41373758,0.57402177,0.00400569,1.23840047,0.27908094,0.20508314
-5.78389195,1.95834680,0.03234696,0.01249292,0.41247508,0.58332393,0.00402729,1.25415934,0.28371144,0.20596318
-5.77788894,1.97559173,0.03198115,0.01201789,0.41221163,0.59104711,0.00405507,1.26819062,0.28865114,0.20669691
-5.77188594,1.99007936,0.03175865,0.01166205,0.41290574,0.59716437,0.00408859,1.28041422,0.29381507,0.20728872
-5.76588294,2.00184681,0.03167880,0.01142277,0.41453887,0.60170302,0.00412715,1.29082099,0.29913357,0.20774608
-5.75987994,2.01103754,0.03173665,0.01130093,0.41711165,0.60474049,0.00416983,1.29946439,0.30455069,0.20807867
-5.75387694,2.01788394,0.03192310,0.01130071,0.42063984,0.60639835,0.00421541,1.30644990,0.31002239,0.20829723
-5.74787394,2.02268729,0.03222533,0.01142926,0.42515010,0.60683478,0.00426249,1.31192284,0.31551429,0.20841242
-5.74187094,2.02579591,0.03262721,0.01169639,0.43067585,0.60623581,0.00430947,1.31605513,0.32099952,0.20843374
-5.73586793,2.02758276,0.03310993,0.01211432,0.43725354,0.60480586,0.00435463,1.31903197,0.32645643,0.20836838
-5.72986493,2.02842360,0.03365260,0.01269747,0.44491929,0.60275794,0.00439618,1.32103879,0.33186655,0.20822037
-5.72386193,2.02867685,0.03423302,0.01346215,0.45370627,0.60030400,0.00443235,1.32224951,0.33721283,0.20798978
-5.71785893,2.02866607,0.03482832,0.01442647,0.46364280,0.59764595,0.00446151,1.32281649,0.34247822,0.20767231
-5.71185593,2.02866590,0.03541577,0.01561018,0.47475117,0.59496771,0.00448221,1.32286273,0.34764475,0.20725906
-5.70585293,2.02889204,0.03597341,0.01703450,0.48704728,0.59242865,0.00449331,1.32247660,0.35269298,0.20673664
-5.69984992,2.02949567,0.03648070,0.01872209,0.50054099,0.59015870,0.00449405,1.32170939,0.35760211,0.20608758
-5.69384692,2.03056231,0.03691909,0.02069689,0.51523699,0.58825531,0.00448418,1.32057549,0.36235033,0.20529109
-5.68784392,2.03211498,0.03727246,0.02298407,0.53113617,0.58678235,0.00446394,1.31905532,0.36691572,0.20432392
-5.68184092,2.03412127,0.03752750,0.02560983,0.54823711,0.58577080,0.00443422,1.31710041,0.37127741,0.20316161
-5.67583792,2.03650355,0.03767396,0.02860122,0.56653758,0.58522126,0.00439652,1.31464043,0.37541683,0.20177978
-5.66983492,2.03915170,0.03770474,0.03198581,0.58603578,0.58510797,0.00435297,1.31159152,0.37931918,0.20015545
-5.66383192,2.04193721,0.03761598,0.03579125,0.60673107,0.58538394,0.00430636,1.30786540,0.38297474,0.19826852
-5.65782891,2.04472779,0.03740695,0.04004473,0.62862393,0.58598703,0.00426007,1.30337857,0.38637996,0.19610301
-5.65182591,2.04740141,0.03707988,0.04477221,0.65171503,0.58684636,0.00421798,1.29806114,0.38953832,0.19364827
-5.64582291,2.04985890,0.03663975,0.04999753,0.67600324,0.58788880,0.00418446,1.29186449,0.39246076,0.19089999
-5.63981991,2.05203408,0.03609397,0.05574124,0.70148258,0.58904511,0.00416418,1.28476757,0.39516551,0.18786087
-5.63381691,2.05390093,0.03545203,0.06201940,0.72813800,0.59025517,0.00416202,1.27678126,0.39767758,0.18454115
-5.62781391,2.05547724,0.03472514,0.06884208,0.75594027,0.59147235,0.00418292,1.26795058,0.40002748,0.18095871
-5.62181091,2.05682435,0.03392584,0.07621187,0.78483998,0.59266641,0.00423171,1.25835460,0.40224964,0.17713894
-5.61580790,2.05804313,0.03306758,0.08412224,0.81476111,0.59382502,0.00431292,1.24810417,0.40438018,0.17311430
-5.60980490,2.05926633,0.03216435,0.09255599,0.84559447,0.59495372,0.00443065,1.23733741,0.40645438,0.16892350
-5.60380190,2.06064775,0.03123030,0.10148369,0.87719132,0.59607449,0.00458833,1.22621348,0.40850396,0.16461059
-5.59779890,2.06234890,0.03027934,0.11086248,0.90935787,0.59722283,0.00478863,1.21490470,0.41055419,0.16022368
-5.59179590,2.06452408,0.02932484,0.12063497,0.94185086,0.59844388,0.00503324,1.20358783,0.41262105,0.15581364
-5.58579290,2.06730474,0.02837927,0.13072863,0.97437498,0.59978767,0.00532274,1.19243473,0.41470876,0.15143260
-5.57978989,2.07078429,0.02745394,0.14105567,1.00658232,0.60130387,0.00565652,1.18160316,0.41680761,0.14713248
-5.57378689,2.07500430,0.02655874,0.15151343,1.03807430,0.60303655,0.00603269,1.17122818,0.41889241,0.14296349
-5.56778389,2.07994324,0.02570192,0.16198539,1.06840631,0.60501920,0.00644800,1.16141469,0.42092176,0.13897280
-5.56178089,2.08550856,0.02488991,0.17234286,1.09709517,0.60727045,0.00689791,1.15223162,0.42283799,0.13520325
-5.55577789,2.09153279,0.02412722,0.18244732,1.12362930,0.60979084,0.00737654,1.14370804,0.42456816,0.13169231
-5.54977489,2.09777421,0.02341636,0.19215336,1.14748150,0.61256081,0.00787685,1.13583153,0.42602588,0.12847128
-5.54377189,2.10392228,0.02275783,0.20131221,1.16812383,0.61554021,0.00839071,1.12854886,0.42711406,0.12556468
-5.53776888,2.10960769,0.02215019,0.20977569,1.18504427,0.61866929,0.00890912,1.12176903,0.42772848,0.12298999
-5.53176588,2.11441669,0.02159018,0.21740059,1.19776424,0.62187118,0.00942243,1.11536845,0.42776193,0.12075760
