energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,P_s_up,P_s_down,P_p_up,P_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.34977031,-1.34956067,0.91161075,-0.90487987,0.23180416,-0.23273663,0.01737856,-0.02118034,0.61541716,-0.62304228,0.20251464,-0.19401212,0.00000000,-0.00000000
-5.99399700,1.33418793,-1.35019113,0.90301213,-0.91195440,0.22784463,-0.23055391,0.01626349,-0.01970300,0.60649541,-0.62418884,0.20298088,-0.19448558,0.00000000,-0.00000000
-5.98799400,1.31212796,-1.34450123,0.88878717,-0.91350091,0.22308192,-0.22761367,0.01524424,-0.01834690,0.59402221,-0.62180597,0.20297043,-0.19454758,0.00000000,-0.00000000
-5.98199100,1.28384535,-1.33226536,0.86915773,-0.90934974,0.21754634,-0.22388237,0.01431075,-0.01710361,0.57814778,-0.61579997,0.20248999,-0.19415054,0.00000000,-0.00000000
-5.97598799,1.24975698,-1.31343899,0.84447443,-0.89947228,0.21129097,-0.21935105,0.01345331,-0.01596381,0.55910244,-0.60616471,0.20156628,-0.19327198,0.00000000,-0.00000000
-5.96998499,1.21042519,-1.28816033,0.81520398,-0.88398117,0.20438950,-0.21403613,0.01266293,-0.01491787,0.53718837,-0.59298201,0.20024418,-0.19191499,0.00000000,-0.00000000
-5.96398199,1.16653650,-1.25674485,0.78191283,-0.86312563,0.19693311,-0.20797905,0.01193151,-0.01395635,0.51276895,-0.57641866,0.19858426,-0.19010764,0.00000000,-0.00000000
-5.95797899,1.11887659,-1.21967294,0.74524807,-0.83728192,0.18902687,-0.20124468,0.01125201,-0.01307035,0.48625629,-0.55672041,0.19665992,-0.18790140,0.00000000,-0.00000000
-5.95197599,1.06830288,-1.17757154,0.70591637,-0.80693981,0.18078569,-0.19391881,0.01061843,-0.01225187,0.45809752,-0.53420311,0.19455427,-0.18536850,0.00000000,-0.00000000
-5.94597299,1.01571625,-1.13119081,0.66466209,-0.77268544,0.17233012,-0.18610473,0.01002583,-0.01149392,0.42876048,-0.50924165,0.19235706,-0.18259871,0.00000000,-0.00000000
-5.93996998,0.96203300,-1.08137697,0.62224530,-0.73518162,0.16378222,-0.17791918,0.00947022,-0.01079059,0.39871956,-0.48225711,0.19016171,-0.17969539,0.00000000,-0.00000000
-5.93396698,0.90815852,-1.02904286,0.57942075,-0.69514637,0.15526169,-0.16948790,0.00894848,-0.01013709,0.36844213,-0.45370281,0.18806262,-0.17677131,0.00000000,-0.00000000
-5.92796398,0.85496362,-0.97513754,0.53691847,-0.65333081,0.14688252,-0.16094099,0.00845822,-0.00952961,0.33837614,-0.42405001,0.18615298,-0.17394428,0.00000000,-0.00000000
-5.92196098,0.80326422,-0.92061652,0.49542661,-0.61049716,0.13875016,-0.15240842,0.00799764,-0.00896522,0.30893945,-0.39377372,0.18452302,-0.17133298,0.00000000,-0.00000000
-5.91595798,0.75380520,-0.86641363,0.45557708,-0.56739783,0.13095939,-0.14401572,0.00756544,-0.00844169,0.28051093,-0.36333934,0.18325873,-0.16905300,0.00000000,-0.00000000
-5.90995498,0.70724847,-0.81341603,0.41793411,-0.52475641,0.12359289,-0.13588031,0.00716075,-0.00795733,0.25342374,-0.33319054,0.18244115,-0.16721345,0.00000000,-0.00000000
-5.90395198,0.66416534,-0.76244285,0.38298600,-0.48325097,0.11672057,-0.12810834,0.00678301,-0.00751081,0.22796078,-0.30373893,0.18214604,-0.16591421,0.00000000,-0.00000000
