energy_ev,total_up,total_down,Bi_p_up,Bi_p_down,Bi_d_up,Bi_d_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.93876496,-1.93876496,0.15273491,-0.15273491,0.01001038,-0.01001038,0.99016135,-0.99016134,0.50624748,-0.50624748,1.16006397,-1.16006396,0.00000000,-0.00000000
-5.99399700,1.85936324,-1.85936323,0.14716743,-0.14716743,0.00938537,-0.00938537,0.93467960,-0.93467960,0.48900389,-0.48900388,1.11019050,-1.11019049,0.00000000,-0.00000000
-5.98799400,1.77495765,-1.77495763,0.14127333,-0.14127333,0.00874627,-0.00874627,0.87749491,-0.87749491,0.47023406,-0.47023406,1.05736225,-1.05736224,0.00000000,-0.00000000
-5.98199100,1.68677467,-1.68677465,0.13510470,-0.13510470,0.00810302,-0.00810302,0.81939022,-0.81939021,0.45021868,-0.45021868,1.00237115,-1.00237114,0.00000000,-0.00000000
-5.97598799,1.59606604,-1.59606602,0.12871756,-0.12871756,0.00746526,-0.00746526,0.76113601,-0.76113600,0.42925155,-0.42925154,0.94601919,-0.94601918,0.00000000,-0.00000000
-5.96998499,1.50408249,-1.50408248,0.12217065,-0.12217065,0.00684213,-0.00684213,0.70347265,-0.70347265,0.40763380,-0.40763379,0.88910149,-0.88910149,0.00000000,-0.00000000
-5.96398199,1.41205116,-1.41205115,0.11552434,-0.11552434,0.00624208,-0.00624208,0.64709565,-0.64709564,0.38566882,-0.38566882,0.83239183,-0.83239183,0.00000000,-0.00000000
-5.95797899,1.32115715,-1.32115714,0.10883985,-0.10883985,0.00567277,-0.00567277,0.59264422,-0.59264421,0.36365802,-0.36365801,0.77663088,-0.77663087,0.00000000,-0.00000000
-5.95197599,1.23252956,-1.23252955,0.10217856,-0.10217856,0.00514091,-0.00514091,0.54069350,-0.54069349,0.34189742,-0.34189741,0.72251736,-0.72251736,0.00000000,-0.00000000
-5.94597299,1.14723182,-1.14723180,0.09560158,-0.09560158,0.00465229,-0.00465229,0.49175023,-0.49175022,0.32067520,-0.32067520,0.67070221,-0.67070220,0.00000000,-0.00000000
-5.93996998,1.06625618,-1.06625617,0.08916947,-0.08916947,0.00421173,-0.00421172,0.44625187,-0.44625186,0.30027002,-0.30027002,0.62178529,-0.62178528,0.00000000,-0.00000000
-5.93396698,0.99052181,-0.99052180,0.08294207,-0.08294207,0.00382307,-0.00382307,0.40456875,-0.40456874,0.28095002,-0.28095002,0.57631468,-0.57631468,0.00000000,-0.00000000
-5.92796398,0.92087584,-0.92087583,0.07697854,-0.07697854,0.00348931,-0.00348930,0.36700878,-0.36700878,0.26297245,-0.26297245,0.53478793,-0.53478793,0.00000000,-0.00000000
-5.92196098,0.85809681,-0.85809680,0.07133737,-0.07133736,0.00321258,-0.00321258,0.33382424,-0.33382424,0.24658376,-0.24658376,0.49765483,-0.49765483,0.00000000,-0.00000000
-5.91595798,0.80289959,-0.80289958,0.06607649,-0.06607649,0.00299433,-0.00299433,0.30521988,-0.30521988,0.23201993,-0.23201993,0.46532130,-0.46532130,0.00000000,-0.00000000
-5.90995498,0.75594113,-0.75594112,0.06125345,-0.06125345,0.00283534,-0.00283534,0.28136189,-0.28136188,0.21950698,-0.21950698,0.43815380,-0.43815380,0.00000000,-0.00000000
-5.90395198,0.71782628,-0.71782627,0.05692546,-0.05692546,0.00273586,-0.00273586,0.26238694,-0.26238694,0.20926140,-0.20926140,0.41648381,-0.41648381,0.00000000,-0.00000000
-5.89794897,0.68911299,-0.68911299,0.05314947,-0.05314947,0.00269572,-0.00269572,0.24841085,-0.24841085,0.20149048,-0.20149048,0.40061195,-0.40061195,0.00000000,-0.00000000
-5.89194597,0.67031627,-0.67031627,0.04998217,-0.04998217,0.00271434,-0.00271434,0.23953623,-0.23953623,0.19639226,-0.19639226,0.39081129,-0.39081129,0.00000000,-0.00000000
-5.88594297,0.66191045,-0.66191045,0.04747974,-0.04747974,0.00279089,-0.00279089,0.23585867,-0.23585867,0.19415514,-0.19415514,0.38732956,-0.38732956,0.00000000,-0.00000000
-5.87993997,0.66432923,-0.66432923,0.04569765,-0.04569765,0.00292424,-0.00292424,0.23747113,-0.23747113,0.19495685,-0.19495685,0.39039000,-0.39039001,0.00000000,-0.00000000
-5.87393697,0.67796326,-0.67796326,0.04469004,-0.04469004,0.00311306,-0.00311306,0.24446620,-0.24446620,0.19896289,-0.19896290,0.40019058,-0.40019058,0.00000000,-0.00000000
-5.86793397,0.70315499,-0.70315500,0.04450910,-0.04450910,0.00335582,-0.00335582,0.25693598,-0.25693598,0.20632418,-0.20632419,0.41690149,-0.41690150,0.00000000,-0.00000000
