energy_ev,total_up,Ga_p_up,Ga_d_up,Hg_p_up,Hg_d_up,Se_s_up,Se_p_up
-6.00000000,0.88182828,0.07384718,0.00000000,0.26209797,0.23567289,0.03844945,0.35140756
-5.99399700,0.86708178,0.07183022,0.00000000,0.25784741,0.23178868,0.03864459,0.34528711
-5.98799400,0.85427745,0.07002568,0.00000000,0.25422024,0.22842431,0.03911673,0.33941933
-5.98199100,0.84404398,0.06846758,0.00000000,0.25134036,0.22575239,0.03988305,0.33411522
-5.97598799,0.83694805,0.06718435,0.00000000,0.24931009,0.22392822,0.04095573,0.32966947
-5.96998499,0.83347063,0.06619761,0.00000000,0.24820542,0.22308319,0.04234089,0.32634943
-5.96398199,0.83398540,0.06552121,0.00000000,0.24807206,0.22331886,0.04403772,0.32438474
-5.95797899,0.83874010,0.06516030,0.00000000,0.24892242,0.22470176,0.04603762,0.32395814
-5.95197599,0.84784188,0.06511085,0.00000000,0.25073375,0.22725946,0.04832364,0.32519776
-5.94597299,0.86124709,0.06535934,0.00000000,0.25344753,0.23097784,0.05087011,0.32817120
-5.93996998,0.87875646,0.06588281,0.00000000,0.25697012,0.23579985,0.05364261,0.33288170
-5.93396698,0.90001561,0.06664926,0.00000000,0.26117482,0.24162584,0.05659824,0.33926653
-5.92796398,0.92452147,0.06761837,0.00000000,0.26590514,0.24831548,0.05968617,0.34719764
-5.92196098,0.95163426,0.06874253,0.00000000,0.27097931,0.25569127,0.06284870,0.35648477
-5.91595798,0.98059480,0.06996815,0.00000000,0.27619579,0.26354350,0.06602243,0.36688066
-5.90995498,1.01054673,0.07123728,0.00000000,0.28133964,0.27163655,0.06913993,0.37808848
-5.90395198,1.04056267,0.07248929,0.00000000,0.28618949,0.27971626,0.07213152,0.38977102
-5.89794897,1.06967360,0.07366282,0.00000000,0.29052482,0.28751822,0.07492727,0.40156147
-5.89194597,1.09690030,0.07469766,0.00000000,0.29413335,0.29477642,0.07745915,0.41307525
