energy_ev,total_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,1.45006085,0.01325538,0.08949066,0.47068309,0.15662447,0.93596625,0.00000000,0.55632466,0.18547823
-5.99399700,1.48651442,0.01332602,0.09797032,0.47554534,0.16109370,0.95180183,0.00000000,0.56932842,0.19417295
-5.98799400,1.52097946,0.01334617,0.10722896,0.47874314,0.16504302,0.96514520,0.00000000,0.58014461,0.20349643
-5.98199100,1.55345618,0.01331124,0.11724907,0.48031803,0.16844907,0.97601900,0.00000000,0.58866708,0.21348004
-5.97598799,1.58400509,0.01321790,0.12800779,0.48034659,0.17130049,0.98449873,0.00000000,0.59484475,0.22415188
-5.96998499,1.61274250,0.01306426,0.13947457,0.47894050,0.17359863,0.99071261,0.00000000,0.59868330,0.23553374
-5.96398199,1.63983391,0.01284997,0.15160887,0.47624532,0.17535771,0.99483959,0.00000000,0.60024500,0.24763815
-5.95797899,1.66548535,0.01257628,0.16435820,0.47243830,0.17660476,0.99710544,0.00000000,0.59964648,0.26046562
-5.95197599,1.68993288,0.01224602,0.17765648,0.46772480,0.17737892,0.99777697,0.00000000,0.59705456,0.27400216
-5.94597299,1.71343067,0.01186349,0.19142284,0.46233371,0.17773057,0.99715444,0.00000000,0.59268022,0.28821719
-5.93996998,1.73623802,0.01143439,0.20556103,0.45651179,0.17771988,0.99556260,0.00000000,0.58677091,0.30306195
-5.93396698,1.75860611,0.01096552,0.21995931,0.45051720,0.17741528,0.99334052,0.00000000,0.57960169,0.31846844
-5.92796398,1.78076496,0.01046465,0.23449116,0.44461245,0.17689158,0.99083078,0.00000000,0.57146543,0.33434907
-5.92196098,1.80291132,0.00994021,0.24901656,0.43905702,0.17622804,0.98836840,0.00000000,0.56266264,0.35059692
-5.91595798,1.82519821,0.00940102,0.26338404,0.43409997,0.17550639,0.98627012,0.00000000,0.55349138,0.36708682
-5.90995498,1.84772666,0.00885601,0.27743331,0.42997287,0.17480891,0.98482445,0.00000000,0.54423770,0.38367710
-5.90395198,1.87054011,0.00831397,0.29099856,0.42688333,0.17421661,0.98428297,0.00000000,0.53516712,0.40021211
-5.89794897,1.89362177,0.00778329,0.30391221,0.42500941,0.17380763,0.98485329,0.00000000,0.52651735,0.41652532
-5.89194597,1.91689522,0.00727176,0.31600900,0.42449511,0.17365585,0.98669393,0.00000000,0.51849268,0.43244305
-5.88594297,1.94022797,0.00678637,0.32713033,0.42544708,0.17382967,0.98991124,0.00000000,0.51126022,0.44778864
-5.87993997,1.96343800,0.00633321,0.33712860,0.42793277,0.17439115,0.99455857,0.00000000,0.50494784,0.46238682
-5.87393697,1.98630258,0.00591735,0.34587145,0.43197983,0.17539524,1.00063737,0.00000000,0.49964410,0.47606835
-5.86793397,2.00856900,0.00554281,0.35324565,0.43757681,0.17688920,1.00810025,0.00000000,0.49539965,0.48867444
-5.86193097,2.02996640,0.00521258,0.35916049,0.44467505,0.17891217,1.01685547,0.00000000,0.49223023,0.50006104
-5.85592796,2.05021788,0.00492861,0.36355054,0.45319149,0.18149476,1.02677269,0.00000000,0.49012069,0.51010260
-5.84992496,2.06905224,0.00469189,0.36637773,0.46301220,0.18465858,1.03768932,0.00000000,0.48902980,0.51869530
-5.84392196,2.08621452,0.00450253,0.36763243,0.47399643,0.18841579,1.04941719,0.00000000,0.48889559,0.52575946
-5.83791896,2.10147464,0.00435986,0.36733381,0.48598077,0.19276851,1.06174905,0.00000000,0.48964065,0.53124116
