energy_ev,total_up,Cd_p_up,Cd_d_up,Sb_p_up,Sb_d_up,Te_p_up,Te_d_up
-6.00000000,1.25163422,1.41088392,0.12723198,0.45936327,0.00768669,0.32629535,0.00000000
-5.99399700,1.32819193,1.53368388,0.13222013,0.49310879,0.00760744,0.35238709,0.00000000
-5.98799400,1.40730256,1.66000125,0.13721429,0.52838166,0.00755830,0.37923938,0.00000000
-5.98199100,1.48808542,1.78844510,0.14215102,0.56478801,0.00753984,0.40657639,0.00000000
-5.97598799,1.56951280,1.91743792,0.14695994,0.60186171,0.00755123,0.43408133,0.00000000
-5.96998499,1.65042739,2.04523963,0.15156524,0.63907180,0.00759031,0.46140109,0.00000000
-5.96398199,1.72956691,2.16998069,0.15588757,0.67583327,0.00765371,0.48815302,0.00000000
-5.95797899,1.80559535,2.28970356,0.15984623,0.71152089,0.00773697,0.51393371,0.00000000
-5.95197599,1.87713983,2.40241140,0.16336172,0.74548569,0.00783479,0.53832949,0.00000000
-5.94597299,1.94283178,2.50612256,0.16635831,0.77707356,0.00794125,0.56092847,0.00000000
-5.93996998,2.00135084,2.59892865,0.16876682,0.80564518,0.00805009,0.58133334,0.00000000
-5.93396698,2.05146959,2.67905409,0.17052718,0.83059659,0.00815498,0.59917472,0.00000000
-5.92796398,2.09209717,2.74491433,0.17159094,0.85137933,0.00824983,0.61412427,0.00000000
-5.92196098,2.12231976,2.79517037,0.17192339,0.86751946,0.00832899,0.62590688,0.00000000
-5.91595798,2.14143595,2.82877672,0.17150535,0.87863438,0.00838755,0.63431152,0.00000000
-5.90995498,2.14898522,2.84502062,0.17033438,0.88444676,0.00842154,0.63919996,0.00000000
-5.90395198,2.14476806,2.84355032,0.16842551,0.88479489,0.00842802,0.64051300,0.00000000
-5.89794897,2.12885657,2.82439106,0.16581127,0.87963883,0.00840526,0.63827380,0.00000000
-5.89194597,2.10159491,2.78794752,0.16254117,0.86906215,0.00835273,0.63258805,0.00000000
-5.88594297,2.06358946,2.73499272,0.15868043,0.85326912,0.00827112,0.62364090,0.00000000
-5.87993997,2.01568895,2.66664351,0.15430825,0.83257742,0.00816226,0.61169079,0.00000000
-5.87393697,1.95895549,2.58432381,0.14951546,0.80740678,0.00802901,0.59706038,0.00000000
-5.86793397,1.89462779,2.48971721,0.14440179,0.77826407,0.00787506,0.58012494,0.00000000
-5.86193097,1.82407824,2.38471112,0.13907277,0.74572550,0.00770480,0.56129893,0.00000000
-5.85592796,1.74876584,2.27133498,0.13363654,0.71041690,0.00752306,0.54102109,0.00000000
-5.84992496,1.67018718,2.15169545,0.12820050,0.67299284,0.00733486,0.51973903,0.00000000
-5.84392196,1.58982768,2.02791126,0.12286811,0.63411563,0.00714522,0.49789389,0.00000000
-5.83791896,1.50911513,1.90205075,0.11773591,0.59443516,0.00695891,0.47590574,0.00000000
-5.83191596,1.42937766,1.77607444,0.11289089,0.55457023,0.00678027,0.45416047,0.00000000
-5.82591296,1.35180768,1.65178501,0.10840821,0.51509239,0.00661302,0.43299862,0.00000000
-5.81990995,1.27743317,1.53078630,0.10434960,0.47651255,0.00646015,0.41270667,0.00000000
-5.81390695,1.20709717,1.41445254,0.10076214,0.43927095,0.00632380,0.39351102,0.00000000
-5.80790395,1.14144582,1.30390844,0.09767770,0.40373068,0.00620526,0.37557475,0.00000000
-5.80190095,1.08092516,1.20002018,0.09511301,0.37017468,0.00610494,0.35899733,0.00000000
-5.79589795,1.02578592,1.10339680,0.09307008,0.33880613,0.00602240,0.34381691,0.00000000
-5.78989495,0.97609580,1.01440101,0.09153729,0.30975200,0.00595648,0.33001510,0.00000000
-5.78389195,0.93175788,0.93316822,0.09049071,0.28306914,0.00590537,0.31752369,0.00000000
-5.77788894,0.89253402,0.85963194,0.08989580,0.25875261,0.00586675,0.30623297,0.00000000
-5.77188594,0.85807158,0.79355416,0.08970930,0.23674552,0.00583799,0.29600112,0.00000000
-5.76588294,0.82793222,0.73455846,0.08988125,0.21694987,0.00581625,0.28666410,0.00000000
-5.75987994,0.80162107,0.68216455,0.09035699,0.19923775,0.00579866,0.27804557,0.00000000
-5.75387694,0.77861516,0.63582222,0.09107918,0.18346245,0.00578249,0.26996640,0.00000000
-5.74787394,0.75838976,0.59494356,0.09198962,0.16946885,0.00576529,0.26225334,0.00000000
-5.74187094,0.74044187,0.55893216,0.09303095,0.15710285,0.00574499,0.25474652,0.00000000
-5.73586793,0.72431009,0.52720852,0.09414820,0.14621944,0.00571999,0.24730562,0.00000000
-5.72986493,0.70959044,0.49923096,0.09529003,0.13668923,0.00568924,0.23981454,0.00000000
-5.72386193,0.69594795,0.47451189,0.09640982,0.12840324,0.00565231,0.23218448,0.00000000
-5.71785893,0.68312411,0.45262933,0.09746653,0.12127609,0.00560933,0.22435564,0.00000000
-5.71185593,0.67094031,0.43323388,0.09842536,0.11524740,0.00556105,0.21629748,0.00000000
-5.70585293,0.65929769,0.41605152,0.09925823,0.11028171,0.00550877,0.20800790,0.00000000
-5.69984992,0.64817388,0.40088275,0.09994407,0.10636694,0.00545430,0.19951142,0.00000000
-5.69384692,0.63761714,0.38759868,0.10046904,0.10351162,0.00539987,0.19085666,0.00000000
