energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Li_s_up,S_s_up,S_p_up
-6.00000000,1.05680244,0.01040745,0.05997375,0.26185127,0.14732993,0.15809460,0.02602736,0.63577942
-5.99399700,1.04493776,0.01150685,0.06041757,0.25367920,0.14813491,0.14553018,0.02645744,0.62733040
-5.98799400,1.04047219,0.01270250,0.06128737,0.24820213,0.15007775,0.13475077,0.02680482,0.62345533
-5.98199100,1.04290009,0.01398245,0.06253071,0.24531531,0.15307975,0.12567555,0.02706276,0.62389766
-5.97598799,1.05172595,0.01533279,0.06409308,0.24491760,0.15705691,0.11821548,0.02722885,0.62840882
-5.96998499,1.06648188,0.01673780,0.06591898,0.24691591,0.16192233,0.11227800,0.02730513,0.63675858
-5.96398199,1.08674101,0.01818021,0.06795290,0.25122826,0.16758836,0.10777094,0.02729797,0.64874289
-5.95797899,1.11212669,0.01964151,0.07014016,0.25778551,0.17396849,0.10460568,0.02721781,0.66418892
-5.95197599,1.14231773,0.02110236,0.07242784,0.26653189,0.18097892,0.10269927,0.02707879,0.68295762
-5.94597299,1.17704997,0.02254306,0.07476553,0.27742438,0.18853991,0.10197580,0.02689815,0.70494371
-5.93996998,1.21611443,0.02394408,0.07710611,0.29043129,0.19657681,0.10236681,0.02669555,0.73007362
-5.93396698,1.25935277,0.02528657,0.07940641,0.30553012,0.20502084,0.10381107,0.02649228,0.75830162
-5.92796398,1.30665055,0.02655293,0.08162792,0.32270501,0.21380972,0.10625363,0.02631043,0.78960445
-5.92196098,1.35792870,0.02772731,0.08373730,0.34194387,0.22288797,0.10964440,0.02617199,0.82397510
-5.91595798,1.41313404,0.02879605,0.08570688,0.36323554,0.23220713,0.11393635,0.02609795,0.86141579
-5.90995498,1.47222912,0.02974810,0.08751502,0.38656694,0.24172568,0.11908355,0.02610747,0.90193089
-5.90395198,1.53518197,0.03057528,0.08914631,0.41192041,0.25140893,0.12503902,0.02621709,0.94551977
-5.89794897,1.60195617,0.03127249,0.09059168,0.43927131,0.26122860,0.13175287,0.02644002,0.99217022
-5.89194597,1.67250147,0.03183768,0.09184826,0.46858585,0.27116244,0.13917040,0.02678560,1.04185236
-5.88594297,1.74674537,0.03227188,0.09291911,0.49981910,0.28119353,0.14723075,0.02725885,1.09451344
-5.87993997,1.82458572,0.03257891,0.09381272,0.53291330,0.29130969,0.15586584,0.02786019,1.15007359
-5.87393697,1.90588463,0.03276516,0.09454236,0.56779622,0.30150262,0.16499981,0.02858539,1.20842259
-5.86793397,1.99046364,0.03283912,0.09512525,0.60437967,0.31176716,0.17454902,0.02942555,1.26941773
-5.86193097,2.07810030,0.03281099,0.09558156,0.64255796,0.32210033,0.18442260,0.03036743,1.33288270
-5.85592796,2.16852615,0.03269213,0.09593338,0.68220648,0.33250056,0.19452347,0.03139378,1.39860749
-5.84992496,2.26142594,0.03249459,0.09620349,0.72318024,0.34296674,0.20474990,0.03248391,1.46634920
-5.84392196,2.35643817,0.03223057,0.09641430,0.76531244,0.35349744,0.21499745,0.03361439,1.53583355
-5.83791896,2.45315667,0.03191202,0.09658663,0.80841320,0.36409004,0.22516122,0.03475977,1.60675712
-5.83191596,2.55113308,0.03155022,0.09673875,0.85226844,0.37473996,0.23513831,0.03589348,1.67878986
-5.82591296,2.64988009,0.03115545,0.09688539,0.89663914,0.38543984,0.24483033,0.03698868,1.75157794
-5.81990995,2.74887507,0.03073683,0.09703707,0.94126100,0.39617873,0.25414584,0.03801919,1.82474654
-5.81390695,2.84756398,0.03030211,0.09719954,0.98584466,0.40694135,0.26300256,0.03896033,1.89790252
-5.80790395,2.94536521,0.02985767,0.09737348,1.03007665,0.41770716,0.27132926,0.03978974,1.97063668
-5.80190095,3.04167316,0.02940855,0.09755444,1.07362111,0.42844952,0.27906713,0.04048810,2.04252558
-5.79589795,3.13586145,0.02895855,0.09773303,1.11612235,0.43913478,0.28617066,0.04103968,2.11313281
-5.78989495,3.22728558,0.02851033,0.09789529,1.15720830,0.44972129,0.29260786,0.04143280,2.18200960
-5.78389195,3.31528509,0.02806566,0.09802327,1.19649484,0.46015850,0.29835983,0.04166008,2.24869508
-5.77788894,3.39918529,0.02762553,0.09809584,1.23359098,0.47038606,0.30341972,0.04171856,2.31271600
-5.77188594,3.47829871,0.02719038,0.09808948,1.26810466,0.48033307,0.30779109,0.04160959,2.37358651
-5.76588294,3.55192679,0.02676023,0.09797932,1.29964928,0.48991751,0.31148580,0.04133859,2.43080796
-5.75987994,3.61936180,0.02633482,0.09774005,1.32785060,0.49904601,0.31452155,0.04091461,2.48386935
-5.75387694,3.67988991,0.02591372,0.09734696,1.35235389,0.50761399,0.31691917,0.04034986,2.53224861
-5.74787394,3.73279549,0.02549633,0.09677679,1.37283123,0.51550626,0.31869989,0.03965897,2.57541527
-5.74187094,3.77736730,0.02508198,0.09600863,1.38898858,0.52259824,0.31988277,0.03885834,2.61283472
-5.73586793,3.81290683,0.02466989,0.09502460,1.40057270,0.52875774,0.32048237,0.03796535,2.64397441
-5.72986493,3.83873908,0.02425912,0.09381042,1.40737738,0.53384744,0.32050697,0.03699767,2.66831219
-5.72386193,3.85422582,0.02384862,0.09235590,1.40924913,0.53772798,0.31995725,0.03597246,2.68534664
-5.71785893,3.85878126,0.02343713,0.09065518,1.40609198,0.54026162,0.31882579,0.03490584,2.69460950
-5.71185593,3.85188956,0.02302321,0.08870690,1.39787123,0.54131636,0.31709714,0.03381228,2.69567962
-5.70585293,3.83312391,0.02260523,0.08651419,1.38461612,0.54077049,0.31474879,0.03270425,2.68819812
-5.69984992,3.80216613,0.02218142,0.08408458,1.36642118,0.53851714,0.31175263,0.03159190,2.67188406
-5.69384692,3.75882583,0.02174988,0.08142971,1.34344622,0.53446895,0.30807714,0.03048298,2.64654973
-5.68784392,3.70305822,0.02130870,0.07856508,1.31591485,0.52856231,0.30369001,0.02938280,2.61211490
-5.68184092,3.63497927,0.02085604,0.07550959,1.28411154,0.52076118,0.29856096,0.02829442,2.56861901
-5.67583792,3.55487705,0.02039022,0.07228516,1.24837710,0.51106020,0.29266482,0.02721886,2.51623043
-5.66983492,3.46321854,0.01990985,0.06891616,1.20910274,0.49948678,0.28598445,0.02615549,2.45525217
-5.66383192,3.36065075,0.01941389,0.06542893,1.16672271,0.48610219,0.27851341,0.02510237,2.38612330
-5.65782891,3.24799590,0.01890180,0.06185127,1.12170576,0.47100151,0.27025825,0.02405678,2.30941575
-5.65182591,3.12624030,0.01837353,0.05821181,1.07454544,0.45431222,0.26124017,0.02301556,2.22582635
-5.64582291,2.99651706,0.01782959,0.05453955,1.02574979,0.43619179,0.25149610,0.02197565,2.13616418
-5.63981991,2.86008315,0.01727105,0.05086333,0.97583042,0.41682395,0.24107893,0.02093435,2.04133364
-5.63381691,2.71829162,0.01669949,0.04721128,0.92529163,0.39641420,0.23005711,0.01988977,1.94231387
-5.62781391,2.57256010,0.01611695,0.04361039,0.87461967,0.37518435,0.21851344,0.01884094,1.84013527
-5.62181091,2.42433686,0.01552583,0.04008607,0.82427273,0.35336671,0.20654323,0.01778806,1.73585432
-5.61580790,2.27506599,0.01492880,0.03666176,0.77467201,0.33119790,0.19425193,0.01673253,1.63052764
-5.60980490,2.12615317,0.01432866,0.03335859,0.72619407,0.30891268,0.18175225,0.01567693,1.52518645
-5.60380190,1.97893354,0.01372821,0.03019515,0.67916489,0.28673812,0.16916116,0.01462492,1.42081272
-5.59779890,1.83464316,0.01313019,0.02718724,0.63385586,0.26488817,0.15659659,0.01358111,1.31831773
-5.59179590,1.69439493,0.01253709,0.02434779,0.59048165,0.24355905,0.14417435,0.01255080,1.21852423
-5.58579290,1.55916016,0.01195115,0.02168676,0.54920024,0.22292550,0.13200514,0.01153980,1.12215251
-5.57978989,1.42975618,0.01137427,0.01921122,0.51011479,0.20313799,0.12019193,0.01055412,1.02981111
-5.57378689,1.30684021,0.01080799,0.01692540,0.47327747,0.18432107,0.10882776,0.00959975,0.94199205
-5.56778389,1.19090955,0.01025349,0.01483088,0.43869468,0.16657264,0.09799405,0.00868238,0.85907075
-5.56178089,1.08230739,0.00971161,0.01292680,0.40633365,0.14996439,0.08775947,0.00780721,0.78131015
