energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Li_s_up,Li_s_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,2.79448358,-1.38207436,0.04259509,-0.02784469,0.31992197,-0.25653329,0.80670863,-0.47901177,0.40113270,-0.23124346,0.43229664,-0.16825145,0.05114269,-0.01578777,1.23920055,-0.48176169
-5.99399700,2.90450908,-1.43993225,0.04451051,-0.02795066,0.33170828,-0.26280068,0.84831940,-0.50553354,0.41474148,-0.23461700,0.45196489,-0.17942179,0.05347784,-0.01724754,1.29130346,-0.51050123
-5.98799400,3.00936328,-1.50380991,0.04641520,-0.02806689,0.34343418,-0.26948785,0.88968097,-0.53422634,0.42814326,-0.23801792,0.47063471,-0.19153816,0.05562580,-0.01886551,1.34037945,-0.54255496
-5.98199100,3.10785378,-1.57323498,0.04827621,-0.02820219,0.35493002,-0.27652632,0.93042616,-0.56491207,0.44114042,-0.24142381,0.48815603,-0.20447163,0.05755335,-0.02064127,1.38594166,-0.57773270
-5.97598799,3.19889553,-1.64771691,0.05005982,-0.02836742,0.36602725,-0.28385543,0.97019830,-0.59739568,0.45353607,-0.24482797,0.50439811,-0.21808637,0.05923055,-0.02257273,1.42756785,-0.61581690
-5.96998499,3.28153084,-1.72674937,0.05173236,-0.02857493,0.37656174,-0.29142188,1.00865757,-0.63146689,0.46513799,-0.24823799,0.51925040,-0.23224292,0.06063155,-0.02465582,1.46490787,-0.65656461
-5.96398199,3.35494588,-1.80981091,0.05326105,-0.02883789,0.38637719,-0.29917880,1.04548669,-0.66690175,0.47576261,-0.25167369,0.53262282,-0.24680163,0.06173531,-0.02688416,1.49768913,-0.69970932
-5.95797899,3.41848350,-1.89636433,0.05461486,-0.02916960,0.39532832,-0.30708437,1.08039604,-0.70346419,0.48523885,-0.25516446,0.54444542,-0.26162592,0.06252617,-0.02924872,1.52571989,-0.74496275
-5.95197599,3.47165214,-1.98585526,0.05576527,-0.02958274,0.40328392,-0.31510018,1.11312803,-0.74090757,0.49341182,-0.25874635,0.55466764,-0.27658545,0.06299425,-0.03173752,1.54889032,-0.79201663
-5.94597299,3.51413096,-2.07771045,0.05668709,-0.03008865,0.41012967,-0.32318941,1.14346072,-0.77897635,0.50014621,-0.26245896,0.56325725,-0.29155900,0.06313575,-0.03433546,1.56717152,-0.84054452
-5.93996998,3.54577131,-2.17133633,0.05735906,-0.03069667,0.41577068,-0.33131517,1.17121059,-0.81740788,0.50532951,-0.26634234,0.57019899,-0.30643700,0.06295306,-0.03702410,1.58061264,-0.89020395
-5.93396698,3.56659482,-2.26611818,0.05776448,-0.03141361,0.42013371,-0.33943883,1.19623461,-0.85593448,0.50887487,-0.27043408,0.57549326,-0.32112355,0.06245463,-0.03978163,1.58933624,-0.94063874
-5.92796398,3.57678849,-2.36142055,0.05789166,-0.03224327,0.42316897,-0.34751880,1.21843145,-0.89428562,0.51072359,-0.27476672,0.57915479,-0.33553793,0.06165483,-0.04258294,1.59353232,-0.99148174
-5.92196098,3.57669711,-2.45658909,0.05773426,-0.03318616,0.42485162,-0.35550952,1.23774200,-0.93219046,0.51084718,-0.27936556,0.58121141,-0.34961548,0.06057348,-0.04539979,1.59345129,-1.04235800
-5.91595798,3.56681341,-2.55095398,0.05729150,-0.03423939,0.42518266,-0.36336103,1.25414924,-0.96938048,0.50924892,-0.28424702,0.58170310,-0.36330786,0.05923541,-0.04820116,1.58939604,-1.09288837
-5.90995498,3.54776633,-2.64383528,0.05656820,-0.03539664,0.42418950,-0.37101884,1.26767734,-1.00559239,0.50596491,-0.28941748,0.58068117,-0.37658257,0.05766978,-0.05095368,1.58171362,-1.14269359
-5.90395198,3.52030757,-2.73454990,0.05557473,-0.03664840,0.42192582,-0.37842443,1.27839018,-1.04057116,0.50106444,-0.29487278,0.57820779,-0.38942192,0.05590939,-0.05362226,1.57078662,-1.19139881
-5.89794897,3.48529675,-2.82242031,0.05432673,-0.03798224,0.41847106,-0.38551608,1.28638914,-1.07407316,0.49464970,-0.30059813,0.57435553,-0.40182139,0.05398992,-0.05617082,1.55702454,-1.23863851
-5.89194597,3.44368541,-2.90678460,0.05284479,-0.03938324,0.41392919,-0.39223009,1.29181031,-1.10586934,0.48685484,-0.30656860,0.56920719,-0.41378737,0.05194909,-0.05856311,1.54085523,-1.28406172
-5.88594297,3.39649974,-2.98700765,0.05115389,-0.04083455,0.40842698,-0.39850240,1.29482091,-1.13574840,0.47784411,-0.31274997,0.56285548,-0.42533464,0.04982587,-0.06076364,1.52271661,-1.32733739
-5.87993997,3.34482238,-3.06249289,0.04928279,-0.04231791,0.40211165,-0.40427035,1.29561513,-1.16351986,0.46780943,-0.31909990,0.55540273,-0.43648342,0.04765966,-0.06273866,1.50304859,-1.36815989
-5.87393697,3.28977317,-3.13269431,0.04726335,-0.04381430,0.39514800,-0.40947464,1.29440917,-1.18901710,0.45696698,-0.32556938,0.54696039,-0.44725635,0.04548952,-0.06445715,1.48228539,-1.40625431
-5.86793397,3.23248902,-3.19712814,0.04512971,-0.04530443,0.38771495,-0.41406122,1.29143566,-1.21210003,0.44555327,-0.33210418,0.53764815,-0.45767540,0.04335347,-0.06589180,1.46084808,-1.44138150
-5.86193097,3.17410299,-3.25538375,0.04291745,-0.04676935,0.38000167,-0.41798326,1.28693750,-1.23265766,0.43382036,-0.33864644,0.52759282,-0.46775894,0.04128779,-0.06701991,1.43913751,-1.47334270
-5.85592796,3.11572290,-3.30713326,0.04066275,-0.04819087,0.37220327,-0.42120277,1.28116110,-1.25061021,0.42203059,-0.34513616,0.51692672,-0.47751913,0.03932648,-0.06782420,1.41752755,-1.50198346
-5.84992496,3.05840946,-3.35213940,0.03840153,-0.04955191,0.36451619,-0.42369215,1.27434936,-1.26591091,0.41045079,-0.35151258,0.50578570,-0.48695965,0.03750067,-0.06829354,1.39635868,-1.52719675
-5.84392196,3.00315464,-3.39026134,0.03616862,-0.05083680,0.35713343,-0.42543527,1.26673438,-1.27854725,0.39934620,-0.35771535,0.49430672,-0.49607404,0.03583823,-0.06842341,1.37593204,-1.54892518
-5.83791896,2.95086047,-3.42145805,0.03399699,-0.05203143,0.35023956,-0.42642829,1.25853027,-1.28854167,0.38897408,-0.36368561,0.48262514,-0.50484453,0.03436337,-0.06821626,1.35650401,-1.56716199
-5.83191596,2.90231895,-3.44578911,0.03191708,-0.05312329,0.34400594,-0.42667998,1.24992632,-1.29595166,0.37957741,-0.36936677,0.47087174,-0.51324167,0.03309631,-0.06768159,1.33828147,-1.58195098
-5.82591296,2.85819355,-3.46341268,0.02995617,-0.05410147,0.33858594,-0.42621177,1.24108074,-1.30086905,0.37137858,-0.37470523,0.45916969,-0.52122453,0.03205305,-0.06683591,1.32141783,-1.59338503
-5.81990995,2.81900307,-3.47458082,0.02813791,-0.05495656,0.33411063,-0.42505722,1.23211530,-1.30341854,0.36457351,-0.37965081,0.44763152,-0.52874160,0.03124520,-0.06570233,1.30601016,-1.60160340
-5.81390695,2.78510832,-3.47963204,0.02648191,-0.05568048,0.33068476,-0.42326126,1.22311121,-1.30375535,0.35932608,-0.38415720,0.43635625,-0.53573225,0.03067978,-0.06431012,1.29209741,-1.60678765
