energy_ev,total_up,Mo_p_up,Mo_d_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up
-6.00000000,1.59077226,1.13083909,0.81837255,0.34525025,0.00000000,0.45083720,0.00000000
-5.99399700,1.58895430,1.14043268,0.81118422,0.33585827,0.00000000,0.45465789,0.00000000
-5.98799400,1.58580410,1.14845570,0.80348513,0.32640050,0.00000000,0.45805640,0.00000000
-5.98199100,1.58124606,1.15474758,0.79530546,0.31693359,0.00000000,0.46097015,0.00000000
-5.97598799,1.57528084,1.15921935,0.78670546,0.30752102,0.00000000,0.46336186,0.00000000
-5.96998499,1.56798728,1.16185656,0.77777504,0.29823358,0.00000000,0.46522081,0.00000000
-5.96398199,1.55952146,1.16271921,0.76863234,0.28914928,0.00000000,0.46656328,0.00000000
-5.95797899,1.55011288,1.16193880,0.75942114,0.28035284,0.00000000,0.46743197,0.00000000
-5.95197599,1.54005793,1.15971248,0.75030751,0.27193460,0.00000000,0.46789464,0.00000000
-5.94597299,1.52971098,1.15629468,0.74147558,0.26398899,0.00000000,0.46804164,0.00000000
-5.93996998,1.51947323,1.15198651,0.73312276,0.25661268,0.00000000,0.46798275,0.00000000
-5.93396698,1.50977985,1.14712328,0.72545451,0.24990228,0.00000000,0.46784312,0.00000000
-5.92796398,1.50108572,1.14206085,0.71867882,0.24395189,0.00000000,0.46775859,0.00000000
-5.92196098,1.49385032,1.13716112,0.71300050,0.23885048,0.00000000,0.46787049,0.00000000
-5.91595798,1.48852210,1.13277734,0.70861553,0.23467928,0.00000000,0.46832001,0.00000000
-5.90995498,1.48552292,1.12923992,0.70570557,0.23150911,0.00000000,0.46924245,0.00000000
-5.90395198,1.48523300,1.12684308,0.70443266,0.22939804,0.00000000,0.47076150,0.00000000
-5.89794897,1.48797688,1.12583302,0.70493436,0.22838908,0.00000000,0.47298373,0.00000000
-5.89194597,1.49401075,1.12639801,0.70731937,0.22850843,0.00000000,0.47599360,0.00000000
-5.88594297,1.50351172,1.12866078,0.71166374,0.22976392,0.00000000,0.47984908,0.00000000
-5.87993997,1.51656924,1.13267344,0.71800776,0.23214407,0.00000000,0.48457820,0.00000000
-5.87393697,1.53317907,1.13841522,0.72635363,0.23561759,0.00000000,0.49017664,0.00000000
-5.86793397,1.55324006,1.14579291,0.73666397,0.24013347,0.00000000,0.49660646,0.00000000
-5.86193097,1.57655388,1.15464406,0.74886130,0.24562157,0.00000000,0.50379611,0.00000000
-5.85592796,1.60282775,1.16474275,0.76282845,0.25199392,0.00000000,0.51164173,0.00000000
-5.84992496,1.63168024,1.17580759,0.77841006,0.25914646,0.00000000,0.52000976,0.00000000
-5.84392196,1.66264994,1.18751164,0.79541500,0.26696136,0.00000000,0.52874068,0.00000000
-5.83791896,1.69520677,1.19949379,0.81361996,0.27530983,0.00000000,0.53765389,0.00000000
-5.83191596,1.72876571,1.21137111,0.83277387,0.28405528,0.00000000,0.54655344,0.00000000
-5.82591296,1.76270230,1.22275162,0.85260329,0.29305681,0.00000000,0.55523438,0.00000000
-5.81990995,1.79636970,1.23324708,0.87281849,0.30217283,0.00000000,0.56348958,0.00000000
-5.81390695,1.82911638,1.24248512,0.89312015,0.31126479,0.00000000,0.57111652,0.00000000
-5.80790395,1.86030408,1.25012040,0.91320641,0.32020075,0.00000000,0.57792404,0.00000000
-5.80190095,1.88932530,1.25584441,0.93278006,0.32885875,0.00000000,0.58373849,0.00000000
-5.79589795,1.91561955,1.25939357,0.95155562,0.33712973,0.00000000,0.58840922,0.00000000
-5.78989495,1.93868802,1.26055532,0.96926608,0.34492002,0.00000000,0.59181305,0.00000000
-5.78389195,1.95810584,1.25917232,0.98566896,0.35215309,0.00000000,0.59385763,0.00000000
