energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up
-6.00000000,7.34277943,0.04170750,0.66993440,1.56499530,0.76485472,2.66245272,2.60136087,0.07761061,3.31859265
-5.99399700,7.31908143,0.04189925,0.66385815,1.55000641,0.75847736,2.66162625,2.59230683,0.07808077,3.30248568
-5.98799400,7.29167763,0.04206964,0.65882460,1.53215807,0.75099646,2.66261327,2.58201179,0.07851587,3.28338288
-5.98199100,7.26099907,0.04221453,0.65491738,1.51174548,0.74260419,2.66544332,2.57055247,0.07890675,3.26161418
-5.97598799,7.22741206,0.04232956,0.65217835,1.48907976,0.73350084,2.67003706,2.55799560,0.07924271,3.23749694
-5.96998499,7.19121048,0.04241025,0.65060813,1.46447982,0.72388785,2.67620781,2.54440019,0.07951171,3.21132657
-5.96398199,7.15261513,0.04245214,0.65016833,1.43826536,0.71396143,2.68366778,2.52982159,0.07970072,3.18337034
-5.95797899,7.11177990,0.04245098,0.65078526,1.41075099,0.70390698,2.69203894,2.51431716,0.07979620,3.15386441
-5.95197599,7.06880399,0.04240285,0.65235487,1.38224158,0.69389460,2.70086786,2.49795291,0.07978460,3.12301406
-5.94597299,7.02374904,0.04230437,0.65474875,1.35302886,0.68407561,2.70964396,2.48081071,0.07965299,3.09099669
-5.93996998,6.97665981,0.04215284,0.65782075,1.32338899,0.67458032,2.71782027,2.46299538,0.07938967,3.05796717
-5.93396698,6.92758661,0.04194637,0.66141388,1.29358112,0.66551678,2.72483591,2.44464111,0.07898479,3.02406485
-5.92796398,6.87660801,0.04168403,0.66536735,1.26384666,0.65697072,2.73013912,2.42591663,0.07843093,2.98942162
-5.92196098,6.82385196,0.04136593,0.66952322,1.23440908,0.64900629,2.73321012,2.40702854,0.07772361,2.95417011
-5.91595798,6.76951386,0.04099332,0.67373258,1.20547406,0.64166750,2.73358250,2.38822250,0.07686168,2.91845159
-5.90995498,6.71387035,0.04056858,0.67786082,1.17722975,0.63498026,2.73086267,2.36978193,0.07584756,2.88242267
-5.90395198,6.65728769,0.04009525,0.68179212,1.14984707,0.62895466,2.72474624,2.35202410,0.07468743,2.84626047
-5.89794897,6.60022425,0.03957796,0.68543277,1.12347990,0.62358748,2.71503103,2.33529369,0.07339115,2.81016570
-5.89194597,6.54322671,0.03902236,0.68871332,1.09826510,0.61886454,2.70162599,2.31995397,0.07197209,2.77436362
