energy_ev,total_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,2.28417310,0.00025106,0.32845685,2.48660705,0.81749339,0.00639287,0.57015739,0.63954410,0.09811810
-5.99399700,2.28378856,0.00025150,0.32638692,2.45364300,0.81646769,0.00673638,0.57328898,0.64805640,0.09901382
-5.98799400,2.27370318,0.00025251,0.32254912,2.40902209,0.81200166,0.00708669,0.57427265,0.65451271,0.09956847
-5.98199100,2.25416508,0.00025470,0.31698262,2.35332593,0.80415795,0.00743960,0.57318261,0.65891796,0.09978763
-5.97598799,2.22566101,0.00025882,0.30976800,2.28742987,0.79308816,0.00779117,0.57014110,0.66131803,0.09968555
-5.96998499,2.18889344,0.00026576,0.30102362,2.21246401,0.77902571,0.00813769,0.56531267,0.66179589,0.09928425
-5.96398199,2.14475216,0.00027657,0.29090079,2.12976619,0.76227669,0.00847570,0.55889765,0.66046712,0.09861240
-5.95797899,2.09428188,0.00029246,0.27957819,2.04082966,0.74320913,0.00880204,0.55112497,0.65747505,0.09770402
-5.95197599,2.03864760,0.00031482,0.26725578,1.94724802,0.72224131,0.00911390,0.54224472,0.65298579,0.09659722
-5.94597299,1.97909914,0.00034522,0.25414848,1.85066016,0.69982954,0.00940888,0.53252094,0.64718350,0.09533290
-5.93996998,1.91693656,0.00038541,0.24047976,1.75269769,0.67645598,0.00968507,0.52222474,0.64026584,0.09395344
-5.93396698,1.85347759,0.00043734,0.22647574,1.65493701,0.65261698,0.00994117,0.51162816,0.63243999,0.09250163
-5.92796398,1.79002811,0.00050313,0.21235953,1.55885800,0.62881205,0.01017656,0.50099883,0.62391912,0.09101964
-5.92196098,1.72785644,0.00058506,0.19834647,1.46581048,0.60553394,0.01039143,0.49059565,0.61491951,0.08954821
-5.91595798,1.66817178,0.00068560,0.18463997,1.37698944,0.58325989,0.01058683,0.48066539,0.60565808,0.08812599
-5.90995498,1.61210700,0.00080730,0.17142834,1.29341924,0.56244398,0.01076483,0.47144027,0.59635053,0.08678907
-5.90395198,1.56070554,0.00095283,0.15888239,1.21594661,0.54351077,0.01092853,0.46313635,0.58720970,0.08557070
-5.89794897,1.51491219,0.00112490,0.14715389,1.14524182,0.52684993,0.01108212,0.45595267,0.57844427,0.08450108
-5.89194597,1.47556701,0.00132621,0.13637481,1.08180698,0.51281195,0.01123093,0.45007092,0.57025763,0.08360732
-5.88594297,1.44340197,0.00155939,0.12665716,1.02599009,0.50170454,0.01138139,0.44565537,0.56284665,0.08291350
-5.87993997,1.41903955,0.00182691,0.11809343,0.97800346,0.49378977,0.01154095,0.44285310,0.55640051,0.08244067
-5.87393697,1.40299256,0.00213100,0.11075736,0.93794477,0.48928174,0.01171805,0.44179410,0.55109930,0.08220700
-5.86793397,1.39566479,0.00247359,0.10470505,0.90581920,0.48834466,0.01192191,0.44259123,0.54711244,0.08222784
-5.86193097,1.39735180,0.00285618,0.09997609,0.88156125,0.49109130,0.01216238,0.44533997,0.54459691,0.08251575
-5.85592796,1.40824160,0.00327975,0.09659481,0.86505471,0.49758179,0.01244965,0.45011771,0.54369516,0.08308051
-5.84992496,1.42841497,0.00374471,0.09457139,0.85614981,0.50782274,0.01279402,0.45698276,0.54453297,0.08392906
-5.84392196,1.45784531,0.00425078,0.09390282,0.85467672,0.52176681,0.01320555,0.46597290,0.54721701,0.08506539
-5.83791896,1.49639812,0.00479694,0.09457368,0.86045478,0.53931272,0.01369368,0.47710367,0.55183245,0.08649040
-5.83191596,1.54383022,0.00538136,0.09655664,0.87329721,0.56030581,0.01426687,0.49036636,0.55844045,0.08820168
-5.82591296,1.59978893,0.00600140,0.09981277,0.89301149,0.58453929,0.01493220,0.50572590,0.56707581,0.09019329
-5.81990995,1.66381160,0.00665354,0.10429164,0.91939550,0.61175619,0.01569494,0.52311873,0.57774477,0.09245556
-5.81390695,1.73532578,0.00733344,0.10993124,0.95223024,0.64165213,0.01655820,0.54245079,0.59042300,0.09497482
-5.80790395,1.81365038,0.00803595,0.11665781,0.99126959,0.67387895,0.01752260,0.56359583,0.60505400,0.09773328
-5.80190095,1.89799821,0.00875519,0.12438572,1.03622836,0.70804919,0.01858590,0.58639406,0.62154786,0.10070887
-5.79589795,1.98748015,0.00948461,0.13301726,1.08676932,0.74374138,0.01974285,0.61065149,0.63978057,0.10387513
-5.78989495,2.08111129,0.01021710,0.14244277,1.14249045,0.78050620,0.02098499,0.63613987,0.65959383,0.10720130
-5.78389195,2.17781926,0.01094513,0.15254090,1.20291348,0.81787327,0.02230062,0.66259744,0.68079556,0.11065233
-5.77788894,2.27645484,0.01166089,0.16317922,1.26747458,0.85535861,0.02367488,0.68973058,0.70316104,0.11418916
-5.77188594,2.37580498,0.01235640,0.17421521,1.33551816,0.89247251,0.02508991,0.71721644,0.72643491,0.11776897
-5.76588294,2.47460819,0.01302374,0.18549773,1.40629459,0.92872783,0.02652515,0.74470645,0.75033383,0.12134563
-5.75987994,2.57157231,0.01365512,0.19686890,1.47896224,0.96364837,0.02795777,0.77183097,0.77455010,0.12487024
-5.75387694,2.66539430,0.01424311,0.20816650,1.55259424,0.99677731,0.02936319,0.79820473,0.79875600,0.12829177
-5.74787394,2.75478199,0.01478073,0.21922674,1.62619011,1.02768550,0.03071572,0.82343325,0.82260905,0.13155783
-5.74187094,2.83847715,0.01526161,0.22988747,1.69869197,1.05597936,0.03198921,0.84711999,0.84575793,0.13461554
-5.73586793,2.91527969,0.01568008,0.23999166,1.76900498,1.08130832,0.03315786,0.86887419,0.86784914,0.13741245
-5.72986493,2.98407209,0.01603129,0.24939103,1.83602141,1.10337154,0.03419696,0.88831901,0.88853418,0.13989765
-5.72386193,3.04384365,0.01631127,0.25794975,1.89864736,1.12192380,0.03508364,0.90510008,0.90747706,0.14202278
-5.71785893,3.09371359,0.01651701,0.26554802,1.95583122,1.13678034,0.03579764,0.91889382,0.92436206,0.14374319
-5.71185593,3.13295244,0.01664645,0.27208539,2.00659263,1.14782050,0.03632194,0.92941561,0.93890126,0.14501899
-5.70585293,3.16100065,0.01669854,0.27748364,2.05005079,1.15499011,0.03664333,0.93642726,0.95084182,0.14581619
-5.69984992,3.17748382,0.01667322,0.28168911,2.08545079,1.15830233,0.03675282,0.93974366,0.95997258,0.14610762
-5.69384692,3.18222375,0.01657139,0.28467430,2.11218695,1.15783705,0.03664600,0.93923826,0.96612970,0.14587378
-5.68784392,3.17524472,0.01639488,0.28643873,2.12982194,1.15373862,0.03632310,0.93484712,0.96920116,0.14510361
-5.68184092,3.15677451,0.01614640,0.28700888,2.13810094,1.14621208,0.03578903,0.92657145,0.96912981,0.14379489
-5.67583792,3.12723991,0.01582950,0.28643729,2.13696009,1.13551776,0.03505318,0.91447836,0.96591492,0.14195461
-5.66983492,3.08725664,0.01544845,0.28480080,2.12652896,1.12196451,0.03412909,0.89869976,0.95961197,0.13959891
-5.66383192,3.03761397,0.01500820,0.28219795,2.10712676,1.10590160,0.03303396,0.87942959,0.95033083,0.13675289
-5.65782891,2.97925431,0.01451425,0.27874571,2.07925261,1.08770966,0.03178811,0.85691917,0.93823226,0.13345011
-5.65182591,2.91324862,0.01397262,0.27457570,2.04357019,1.06779076,0.03041430,0.83147112,0.92352298,0.12973176
-5.64582291,2.84076832,0.01338966,0.26982986,2.00088753,1.04655810,0.02893699,0.80343185,0.90644947,0.12564578
-5.63981991,2.76305493,0.01277203,0.26465607,1.95213275,1.02442562,0.02738164,0.77318303,0.88729079,0.12124557
-5.63381691,2.68138848,0.01212652,0.25920362,1.89832689,1.00179781,0.02577390,0.74113239,0.86635080,0.11658872
