energy_ev,total_up,Bi_p_up,Bi_d_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-6.00000000,4.06286560,0.21838216,0.04544016,0.63146039,3.81384382,0.14326901,0.00000000
-5.99399700,4.13606301,0.22033161,0.04648179,0.63852072,3.88625433,0.14575418,0.00000000
-5.98799400,4.20169999,0.22168974,0.04750013,0.64313685,3.95224853,0.14783433,0.00000000
-5.98199100,4.25882287,0.22239020,0.04848434,0.64511020,4.01094056,0.14943996,0.00000000
-5.97598799,4.30659979,0.22238390,0.04942321,0.64430891,4.06153394,0.15051288,0.00000000
-5.96998499,4.34433496,0.22164082,0.05030522,0.64067206,4.10333442,0.15100799,0.00000000
-5.96398199,4.37147902,0.22015105,0.05111867,0.63421134,4.13576022,0.15089457,0.00000000
-5.95797899,4.38763553,0.21792509,0.05185178,0.62501008,4.15834952,0.15015702,0.00000000
-5.95197599,4.39256376,0.21499339,0.05249287,0.61321986,4.17076551,0.14879519,0.00000000
-5.94597299,4.38617798,0.21140512,0.05303059,0.59905486,4.17279892,0.14682414,0.00000000
-5.93996998,4.36854378,0.20722639,0.05345413,0.58278435,4.16436837,0.14427344,0.00000000
-5.93396698,4.33987186,0.20253787,0.05375351,0.56472362,4.14551887,0.14118610,0.00000000
-5.92796398,4.30050962,0.19743209,0.05391982,0.54522390,4.11641863,0.13761713,0.00000000
-5.92196098,4.25093140,0.19201037,0.05394557,0.52466158,4.07735454,0.13363182,0.00000000
-5.91595798,4.19172743,0.18637972,0.05382495,0.50342737,4.02872652,0.12930387,0.00000000
-5.90995498,4.12359224,0.18064971,0.05355407,0.48191570,3.97104097,0.12471340,0.00000000
-5.90395198,4.04731263,0.17492943,0.05313123,0.46051477,3.90490345,0.11994492,0.00000000
-5.89794897,3.96375557,0.16932477,0.05255703,0.43959758,3.83101070,0.11508538,0.00000000
-5.89194597,3.87385608,0.16393592,0.05183453,0.41951420,3.75014202,0.11022232,0.00000000
-5.88594297,3.77860538,0.15885526,0.05096927,0.40058533,3.66315016,0.10544220,0.00000000
-5.87993997,3.67903910,0.15416573,0.04996921,0.38309742,3.57095158,0.10082893,0.00000000
-5.87393697,3.57622574,0.14993946,0.04884460,0.36729908,3.47451621,0.09646257,0.00000000
-5.86793397,3.47125533,0.14623694,0.04760782,0.35339903,3.37485670,0.09241841,0.00000000
-5.86193097,3.36522817,0.14310648,0.04627303,0.34156521,3.27301714,0.08876613,0.00000000
-5.85592796,3.25924378,0.14058401,0.04485591,0.33192506,3.17006151,0.08556933,0.00000000
-5.84992496,3.15438990,0.13869315,0.04337323,0.32456669,3.06706168,0.08288516,0.00000000
-5.84392196,3.05173176,0.13744556,0.04184249,0.31954088,2.96508530,0.08076421,0.00000000
-5.83791896,2.95230143,0.13684143,0.04028145,0.31686358,2.86518358,0.07925048,0.00000000
-5.83191596,2.85708745,0.13687011,0.03870774,0.31651887,2.76837914,0.07838158,0.00000000
-5.82591296,2.76702469,0.13751092,0.03713850,0.31846214,2.67565400,0.07818884,0.00000000
-5.81990995,2.68298455,0.13873398,0.03558996,0.32262341,2.58793784,0.07869761,0.00000000
-5.81390695,2.60576543,0.14050113,0.03407718,0.32891060,2.50609656,0.07992744,0.00000000
-5.80790395,2.53608356,0.14276689,0.03261376,0.33721275,2.43092128,0.08189230,0.00000000
-5.80190095,2.47456414,0.14547958,0.03121164,0.34740304,2.36311776,0.08460063,0.00000000
-5.79589795,2.42173288,0.14858230,0.02988098,0.35934154,2.30329625,0.08805536,0.00000000
-5.78989495,2.37800779,0.15201409,0.02863002,0.37287766,2.25196196,0.09225371,0.00000000
-5.78389195,2.34369153,0.15571107,0.02746509,0.38785225,2.20950607,0.09718688,0.00000000
-5.77788894,2.31896413,0.15960753,0.02639058,0.40409926,2.17619755,0.10283956,0.00000000
-5.77188594,2.30387643,0.16363712,0.02540902,0.42144702,2.15217581,0.10918924,0.00000000
-5.76588294,2.29834444,0.16773384,0.02452114,0.43971898,2.13744460,0.11620540,0.00000000
-5.75987994,2.30214483,0.17183312,0.02372595,0.45873417,2.13186733,0.12384863,0.00000000
-5.75387694,2.31491205,0.17587265,0.02302092,0.47830714,2.13516432,0.13206960,0.00000000
-5.74787394,2.33613740,0.17979320,0.02240211,0.49824765,2.14691218,0.14080810,0.00000000
-5.74187094,2.36517062,0.18353925,0.02186428,0.51836010,2.16654598,0.14999221,0.00000000
-5.73586793,2.40122445,0.18705942,0.02140113,0.53844292,2.19336450,0.15953755,0.00000000
-5.72986493,2.44338261,0.19030685,0.02100544,0.55828803,2.22653894,0.16934696,0.00000000
-5.72386193,2.49061152,0.19323935,0.02066925,0.57768052,2.26512534,0.17931045,0.00000000
-5.71785893,2.54177613,0.19581950,0.02038409,0.59639885,2.30808095,0.18930572,0.00000000
-5.71185593,2.59565978,0.19801459,0.02014116,0.61421558,2.35428435,0.19919917,0.00000000
-5.70585293,2.65098815,0.19979661,0.01993157,0.63089897,2.40255930,0.20884759,0.00000000
-5.69984992,2.70645680,0.20114214,0.01974652,0.64621544,2.45170162,0.21810046,0.00000000
-5.69384692,2.76076172,0.20203237,0.01957756,0.65993292,2.50050875,0.22680285,0.00000000
-5.68784392,2.81263219,0.20245313,0.01941678,0.67182527,2.54781084,0.23479889,0.00000000
-5.68184092,2.86086473,0.20239501,0.01925702,0.68167745,2.59250255,0.24193580,0.00000000
-5.67583792,2.90435707,0.20185364,0.01909209,0.68929145,2.63357429,0.24806814,0.00000000
-5.66983492,2.94214069,0.20083000,0.01891694,0.69449267,2.67014172,0.25306230,0.00000000
-5.66383192,2.97341076,0.19933091,0.01872778,0.69713652,2.70147229,0.25680100,0.00000000
-5.65782891,2.99755192,0.19736953,0.01852226,0.69711486,2.72700764,0.25918755,0.00000000
-5.65182591,3.01415896,0.19496581,0.01829949,0.69436199,2.74638089,0.26014966,0.00000000
-5.64582291,3.02305120,0.19214710,0.01806012,0.68885976,2.75942796,0.25964268,0.00000000
-5.63981991,3.02427998,0.18894848,0.01780635,0.68064159,2.76619249,0.25765206,0.00000000
-5.63381691,3.01812886,0.18541313,0.01754183,0.66979514,2.76692400,0.25419485,0.00000000
-5.62781391,3.00510643,0.18159244,0.01727160,0.65646330,2.76206948,0.24932020,0.00000000
-5.62181091,2.98593206,0.17754598,0.01700196,0.64084360,2.75225875,0.24310885,0.00000000
-5.61580790,2.96151527,0.17334128,0.01674023,0.62318595,2.73828425,0.23567153,0.00000000
-5.60980490,2.93292959,0.16905335,0.01649461,0.60378869,2.72107629,0.22714646,0.00000000
-5.60380190,2.90138219,0.16476400,0.01627387,0.58299338,2.70167476,0.21769596,0.00000000
-5.59779890,2.86818045,0.16056106,0.01608709,0.56117831,2.68119855,0.20750237,0.00000000
-5.59179590,2.83469703,0.15653731,0.01594342,0.53875119,2.66081402,0.19676352,0.00000000
-5.58579290,2.80233470,0.15278942,0.01585171,0.51614123,2.64170358,0.18568787,0.00000000
-5.57978989,2.77249221,0.14941667,0.01582030,0.49379104,2.62503569,0.17448960,0.00000000
-5.57378689,2.74653240,0.14651966,0.01585672,0.47214851,2.61193703,0.16338376,0.00000000
-5.56778389,2.72575330,0.14419900,0.01596740,0.45165902,2.60346769,0.15258175,0.00000000
-5.56178089,2.71136295,0.14255391,0.01615754,0.43275806,2.60059991,0.14228729,0.00000000
-5.55577789,2.70445827,0.14168076,0.01643083,0.41586449,2.60420061,0.13269279,0.00000000
-5.54977489,2.70600810,0.14167168,0.01678937,0.40137438,2.61501778,0.12397642,0.00000000
-5.54377189,2.71684022,0.14261296,0.01723355,0.38965543,2.63367063,0.11629982,0.00000000
-5.53776888,2.73763215,0.14458352,0.01776205,0.38104191,2.66064320,0.10980624,0.00000000
-5.53176588,2.76890523,0.14765317,0.01837179,0.37582994,2.69628114,0.10461937,0.00000000
-5.52576288,2.81102143,0.15188087,0.01905805,0.37427309,2.74079104,0.10084252,0.00000000
-5.51975988,2.86418247,0.15731277,0.01981457,0.37657799,2.79424209,0.09855810,0.00000000
-5.51375688,2.92843059,0.16398027,0.02063373,0.38290006,2.85656946,0.09782738,0.00000000
-5.50775388,3.00365079,0.17189799,0.02150672,0.39333914,2.92757913,0.09869034,0.00000000
-5.50175088,3.08957397,0.18106166,0.02242389,0.40793513,3.00695395,0.10116551,0.00000000
-5.49574787,3.18578115,0.19144621,0.02337494,0.42666372,3.09426064,0.10524979,0.00000000
-5.48974487,3.29170847,0.20300393,0.02434927,0.44943239,3.18895773,0.11091819,0.00000000
-5.48374187,3.40665333,0.21566295,0.02533632,0.47607693,3.29040453,0.11812355,0.00000000
-5.47773887,3.52978189,0.22932612,0.02632588,0.50635874,3.39787112,0.12679612,0.00000000
-5.47173587,3.66013822,0.24387043,0.02730842,0.53996344,3.51054964,0.13684333,0.00000000
-5.46573287,3.79665566,0.25914707,0.02827537,0.57650089,3.62756696,0.14814955,0.00000000
-5.45972986,3.93817061,0.27498230,0.02921947,0.61550722,3.74799898,0.16057624,0.00000000
-5.45372686,4.08343928,0.29117919,0.03013493,0.65644912,3.87088665,0.17396244,0.00000000
-5.44772386,4.23115749,0.30752022,0.03101772,0.69873049,3.99525371,0.18812583,0.00000000
-5.44172086,4.37998359,0.32377093,0.03186567,0.74170180,4.12012606,0.20286431,0.00000000
-5.43571786,4.52856442,0.33968439,0.03267859,0.78467201,4.24455253,0.21795851,0.00000000
-5.42971486,4.67556370,0.35500661,0.03345832,0.82692287,4.36762644,0.23317486,0.00000000
-5.42371186,4.81969232,0.36948257,0.03420873,0.86772549,4.48850752,0.24826962,0.00000000
-5.41770885,4.95973940,0.38286288,0.03493560,0.90635850,4.60644319,0.26299350,0.00000000
-5.41170585,5.09460295,0.39491069,0.03564650,0.94212739,4.72078828,0.27709704,0.00000000
-5.40570285,5.22331872,0.40540871,0.03635058,0.97438416,4.83102207,0.29033643,0.00000000
-5.39969985,5.34508563,0.41416597,0.03705829,1.00254671,4.93676147,0.30247956,0.00000000
-5.39369685,5.45928622,0.42102412,0.03778106,1.02611693,5.03776924,0.31331223,0.00000000
-5.38769385,5.56550062,0.42586294,0.03853090,1.04469680,5.13395623,0.32264410,0.00000000
-5.38169085,5.66351280,0.42860477,0.03931996,1.05800175,5.22537685,0.33031420,0.00000000
-5.37568784,5.75330808,0.42921773,0.04016008,1.06587050,5.31221713,0.33619570,0.00000000
-5.36968484,5.83506130,0.42771745,0.04106227,1.06827105,5.39477554,0.34019968,0.00000000
-5.36368184,5.90911582,0.42416736,0.04203619,1.06530225,5.47343658,0.34227786,0.00000000
-5.35767884,5.97595365,0.41867722,0.04308966,1.05719098,5.54863819,0.34242381,0.00000000
-5.35167584,6.03615806,0.41140029,0.04422814,1.04428484,5.62083418,0.34067297,0.00000000
-5.34567284,6.09037016,0.40252892,0.04545427,1.02704081,5.69045339,0.33710110,0.00000000
-5.33966983,6.13924174,0.39228890,0.04676752,1.00601006,5.75785773,0.33182138,0.00000000
-5.33366683,6.18338681,0.38093270,0.04816382,0.98181977,5.82330149,0.32498029,0.00000000
-5.32766383,6.22333463,0.36873199,0.04963542,0.95515258,5.88689424,0.31675237,0.00000000
-5.32166083,6.25948701,0.35596955,0.05117075,0.92672453,5.94856998,0.30733414,0.00000000
-5.31565783,6.29208247,0.34293104,0.05275452,0.89726237,6.00806453,0.29693741,0.00000000
-5.30965483,6.32116970,0.32989683,0.05436790,0.86748117,6.06490316,0.28578232,0.00000000
-5.30365183,6.34659210,0.31713426,0.05598885,0.83806298,6.11839978,0.27409038,0.00000000
-5.29764882,6.36798457,0.30489052,0.05759265,0.80963741,6.16766832,0.26207776,0.00000000
-5.29164582,6.38478326,0.29338636,0.05915250,0.78276468,6.21164644,0.24994917,0.00000000
-5.28564282,6.39624790,0.28281097,0.06064031,0.75792172,6.24913088,0.23789248,0.00000000
-5.27963982,6.40149585,0.27331787,0.06202749,0.73549169,6.27882298,0.22607434,0.00000000
-5.27363682,6.39954620,0.26502226,0.06328588,0.71575711,6.29938259,0.21463681,0.00000000
-5.26763382,6.38937181,0.25799946,0.06438869,0.69889672,6.30948774,0.20369523,0.00000000
-5.26163082,6.36995660,0.25228483,0.06531139,0.68498598,6.30789736,0.19333718,0.00000000
-5.25562781,6.34035524,0.24787479,0.06603263,0.67400101,6.29351406,0.18362255,0.00000000
-5.24962481,6.29975229,0.24472912,0.06653495,0.66582576,6.26544399,0.17458476,0.00000000
-5.24362181,6.24751794,0.24277418,0.06680553,0.66026195,6.22305096,0.16623272,0.00000000
-5.23761881,6.18325757,0.24190722,0.06683662,0.65704139,6.16600229,0.15855368,0.00000000
-5.23161581,6.10685310,0.24200132,0.06662597,0.65584011,6.09430431,0.15151661,0.00000000
-5.22561281,6.01849400,0.24291099,0.06617692,0.65629389,6.00832612,0.14507591,0.00000000
-5.21960980,5.91869689,0.24447821,0.06549841,0.65801447,5.90881030,0.13917541,0.00000000
-5.21360680,5.80831287,0.24653862,0.06460473,0.66060600,5.79687043,0.13375236,0.00000000
-5.20760380,5.68852227,0.24892779,0.06351518,0.66368107,5.67397547,0.12874122,0.00000000
-5.20160080,5.56081722,0.25148726,0.06225344,0.66687584,5.54192149,0.12407723,0.00000000
-5.19559780,5.42697246,0.25407020,0.06084694,0.66986363,5.40279205,0.11969953,0.00000000
-5.18959480,5.28900573,0.25654643,0.05932606,0.67236666,5.25890837,0.11555377,0.00000000
-5.18359180,5.14912876,0.25880668,0.05772324,0.67416529,5.11277111,0.11159414,0.00000000
-5.17758879,5.00969059,0.26076583,0.05607206,0.67510462,4.96699559,0.10778479,0.00000000
-5.17158579,4.87311493,0.26236509,0.05440638,0.67509811,4.82424238,0.10410064,0.00000000
