energy_ev,total_up,Cd_p_up,Cd_d_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,1.82461384,0.17217059,0.26725120,0.83214665,0.51220941,0.04039972,0.05284865,0.00859943,0.97325388
-5.99399700,1.94844928,0.18594405,0.28023015,0.87952231,0.55333531,0.04166311,0.05663233,0.00946209,1.04574309
-5.98799400,2.08147336,0.20064065,0.29382875,0.92983906,0.59851430,0.04285578,0.06076381,0.01036751,1.12372391
-5.98199100,2.22285832,0.21616388,0.30791341,0.98279392,0.64753223,0.04395411,0.06522395,0.01130733,1.20675984
-5.97598799,2.37151200,0.23239162,0.32232705,1.03799900,0.70006471,0.04493504,0.06998304,0.01227220,1.29426505
-5.96998499,2.52608579,0.24917707,0.33689128,1.09498432,0.75567767,0.04577670,0.07500091,0.01325188,1.38550735
-5.96398199,2.68499140,0.26635066,0.35140970,1.15320347,0.81383136,0.04645899,0.08022746,0.01423532,1.47961585
-5.95797899,2.84642646,0.28372275,0.36567196,1.21204180,0.87388806,0.04696416,0.08560355,0.01521089,1.57559342
-5.95197599,3.00840824,0.30108716,0.37945852,1.27082721,0.93512338,0.04727737,0.09106220,0.01616647,1.67233383
-5.94597299,3.16881496,0.31822543,0.39254608,1.32884292,0.99674098,0.04738712,0.09653016,0.01708977,1.76864320
-5.93996998,3.32543350,0.33491161,0.40471329,1.38534231,1.05789047,0.04728562,0.10192970,0.01796849,1.86326527
-5.93396698,3.47601196,0.35091754,0.41574665,1.43956498,1.11768785,0.04696906,0.10718059,0.01879063,1.95490979
-5.92796398,3.61831559,0.36601829,0.42544640,1.49075400,1.17523799,0.04643773,0.11220228,0.01954476,2.04228322
-5.92196098,3.75018416,0.37999778,0.43363208,1.53817347,1.22965832,0.04569603,0.11691604,0.02022027,2.12412079
-5.91595798,3.86958867,0.39265407,0.44014764,1.58112620,1.28010289,0.04475238,0.12124710,0.02080766,2.19921876
-5.90995498,3.97468557,0.40380446,0.44486586,1.61897069,1.32578600,0.04361894,0.12512666,0.02129877,2.26646585
-5.90395198,4.06386639,0.41328996,0.44769197,1.65113713,1.36600438,0.04231131,0.12849371,0.02168703,2.32487273
-5.89794897,4.13580100,0.42097904,0.44856627,1.67714177,1.40015713,0.04084809,0.13129659,0.02196762,2.37359844
-5.89194597,4.18947299,0.42677065,0.44746571,1.69659920,1.42776258,0.03925037,0.13349419,0.02213761,2.41197282
-5.88594297,4.22420581,0.43059615,0.44440438,1.70923222,1.44847152,0.03754122,0.13505680,0.02219613,2.43951418
-5.87993997,4.23967892,0.43242039,0.43943290,1.71487902,1.46207622,0.03574510,0.13596656,0.02214434,2.45594145
-5.87393697,4.23593335,0.43224173,0.43263683,1.71349724,1.46851490,0.03388729,0.13621758,0.02198549,2.46118063
-5.86793397,4.21336690,0.43009109,0.42413412,1.70516504,1.46787163,0.03199339,0.13581557,0.02172484,2.45536509
-5.86193097,4.17271912,0.42603017,0.41407171,1.69007911,1.46037176,0.03008881,0.13477721,0.02136961,2.43883017
-5.85592796,4.11504725,0.42014881,0.40262158,1.66854956,1.44637311,0.02819831,0.13312919,0.02092875,2.41210205
-5.84992496,4.04169403,0.41256185,0.38997634,1.64099225,1.42635338,0.02634573,0.13090703,0.02041283,2.37588177
-5.84392196,3.95424908,0.40340540,0.37634449,1.60791850,1.40089453,0.02455362,0.12815364,0.01983381,2.33102489
-5.83791896,3.85450548,0.39283288,0.36194572,1.56992291,1.37066471,0.02284313,0.12491794,0.01920476,2.27851784
-5.83191596,3.74441323,0.38101093,0.34700624,1.52766957,1.33639861,0.02123390,0.12125323,0.01853958,2.21945183
-5.82591296,3.62603153,0.36811531,0.33175450,1.48187717,1.29887700,0.01974404,0.11721578,0.01785277,2.15499543
-5.81990995,3.50148153,0.35432707,0.31641715,1.43330362,1.25890633,0.01839020,0.11286337,0.01715910,2.08636671
-5.81390695,3.37290094,0.33982893,0.30121566,1.38273055,1.21729895,0.01718766,0.10825403,0.01647333,2.01480603
-5.80790395,3.24240202,0.32480208,0.28636337,1.33094829,1.17485480,0.01615053,0.10344491,0.01580993,1.94155010
-5.80190095,3.11203371,0.30942343,0.27206315,1.27874161,1.13234487,0.01529185,0.09849132,0.01518283,1.86780826
-5.79589795,2.98374878,0.29386334,0.25850557,1.22687660,1.09049697,0.01462384,0.09344600,0.01460513,1.79474134
-5.78989495,2.85937630,0.27828380,0.24586751,1.17608898,1.04998400,0.01415794,0.08835853,0.01408895,1.72344353
-5.78389195,2.74059953,0.26283706,0.23431122,1.12707390,1.01141476,0.01390495,0.08327499,0.01364515,1.65492747
-5.77788894,2.62893914,0.24766470,0.22398355,1.08047744,0.97532745,0.01387503,0.07823764,0.01328321,1.59011269
-5.77188594,2.52574134,0.23289699,0.21501549,1.03688966,0.94218561,0.01407765,0.07328487,0.01301110,1.52981713
-5.76588294,2.43217050,0.21865255,0.20752163,0.99683934,0.91237637,0.01452140,0.06845117,0.01283512,1.47475181
-5.75987994,2.34920557,0.20503826,0.20159968,0.96079008,0.88621070,0.01521373,0.06376720,0.01275984,1.42551807
-5.75387694,2.27763974,0.19214930,0.19732984,0.92913772,0.86392552,0.01616062,0.05925993,0.01278809,1.38260737
-5.74787394,2.21808276,0.18006925,0.19477407,0.90220898,0.84568707,0.01736612,0.05495273,0.01292087,1.34640305
-5.74187094,2.17096525,0.16887034,0.19397514,0.88026093,0.83159558,0.01883185,0.05086561,0.01315738,1.31718369
-5.73586793,2.13654463,0.15861371,0.19495558,0.86348140,0.82169060,0.02055645,0.04701535,0.01349508,1.29512790
-5.72986493,2.11491213,0.14934962,0.19771655,0.85198989,0.81595696,0.02253505,0.04341567,0.01392972,1.28031989
-5.72386193,2.10600076,0.14111775,0.20223666,0.84583903,0.81433093,0.02475869,0.04007738,0.01445543,1.27275583
-5.71785893,2.10959390,0.13394750,0.20847096,0.84501647,0.81670647,0.02721389,0.03700855,0.01506485,1.27235043
-5.71185593,2.12533441,0.12785823,0.21635011,0.84944698,0.82294129,0.02988227,0.03421462,0.01574926,1.27894370
-5.70585293,2.15273416,0.12285965,0.22577994,0.85899486,0.83286250,0.03274034,0.03169859,0.01649872,1.29230756
-5.69984992,2.19118401,0.11895209,0.23664148,0.87346652,0.84627190,0.03575948,0.02946111,0.01730232,1.31215217
-5.69384692,2.23996414,0.11612691,0.24879153,0.89261330,0.86295056,0.03890604,0.02750063,0.01814832,1.33813193
-5.68784392,2.29825473,0.11436686,0.26206405,0.91613442,0.88266269,0.04214178,0.02581357,0.01902441,1.36985086
-5.68184092,2.36514706,0.11364652,0.27627208,0.94368021,0.90515885,0.04542444,0.02439441,0.01991797,1.40686752
-5.67583792,2.43965476,0.11393265,0.29121061,0.97485555,0.93017828,0.04870860,0.02323585,0.02081627,1.44869933
-5.66983492,2.52072552,0.11518466,0.30665998,1.00922360,0.95745054,0.05194668,0.02232893,0.02170676,1.49482635
-5.66383192,2.60725286,0.11735492,0.32239010,1.04630988,0.98669640,0.05509015,0.02166315,0.02257733,1.54469465
-5.65782891,2.69808806,0.12038912,0.33816506,1.08560673,1.01762819,0.05809087,0.02122653,0.02341653,1.59771937
-5.65182591,2.79205235,0.12422653,0.35374818,1.12657820,1.04994964,0.06090244,0.02100578,0.02421382,1.65328760
-5.64582291,2.88794894,0.12880027,0.36890729,1.16866545,1.08335554,0.06348162,0.02098626,0.02495975,1.71076141
-5.63981991,2.98457528,0.13403747,0.38341997,1.21129269,1.11753127,0.06578967,0.02115214,0.02564618,1.76948114
-5.63381691,3.08073533,0.13985946,0.39707860,1.25387368,1.15215256,0.06779356,0.02148638,0.02626638,1.82876932
-5.62781391,3.17525182,0.14618191,0.40969497,1.29581886,1.18688561,0.06946699,0.02197079,0.02681514,1.88793535
-5.62181091,3.26697863,0.15291510,0.42110434,1.33654298,1.22138796,0.07079118,0.02258613,0.02728885,1.94628120
-5.61580790,3.35481327,0.15996414,0.43116870,1.37547333,1.25531005,0.07175539,0.02331211,0.02768549,2.00310827
-5.60980490,3.43770934,0.16722950,0.43977916,1.41205836,1.28829788,0.07235710,0.02412757,0.02800458,2.05772557
-5.60380190,3.51468900,0.17460751,0.44685732,1.44577667,1.31999659,0.07260191,0.02501055,0.02824713,2.10945901
-5.59779890,3.58485533,0.18199125,0.45235569,1.47614609,1.35005523,0.07250306,0.02593853,0.02841547,2.15766185
-5.59179590,3.64740437,0.18927160,0.45625706,1.50273267,1.37813235,0.07208076,0.02688866,0.02851315,2.20172611
-5.58579290,3.70163662,0.19633858,0.45857297,1.52515939,1.40390253,0.07136116,0.02783804,0.02854468,2.24109437
-5.57978989,3.74696766,0.20308290,0.45934131,1.54311423,1.42706336,0.07037519,0.02876410,0.02851537,2.27527188
-5.57378689,3.78293771,0.20939789,0.45862326,1.55635732,1.44734274,0.06915723,0.02964497,0.02843109,2.30383817
-5.56778389,3.80921947,0.21518145,0.45649970,1.56472696,1.46450605,0.06774374,0.03045992,0.02829801,2.32645781
-5.56178089,3.82562418,0.22033827,0.45306728,1.56814413,1.47836288,0.06617185,0.03118982,0.02812243,2.34288978
-5.55577789,3.83210528,0.22478208,0.44843439,1.56661538,1.48877287,0.06447804,0.03181759,0.02791054,2.35299484
-5.54977489,3.82875965,0.22843790,0.44271710,1.56023389,1.49565039,0.06269697,0.03232862,0.02766823,2.35674058
-5.54377189,3.81582594,0.23124404,0.43603543,1.54917862,1.49896773,0.06086046,0.03271120,0.02740095,2.35420374
-5.53776888,3.79368016,0.23315411,0.42850994,1.53371154,1.49875667,0.05899667,0.03295682,0.02711358,2.34556964
-5.53176588,3.76282846,0.23413845,0.42025880,1.51417317,1.49510814,0.05712961,0.03306045,0.02681037,2.33112870
-5.52576288,3.72389725,0.23418539,0.41139551,1.49097637,1.48817019,0.05527886,0.03302066,0.02649483,2.31127013
-5.51975988,3.67762116,0.23330189,0.40202723,1.46459895,1.47814423,0.05345949,0.03283974,0.02616981,2.28647307
-5.51375688,3.62482905,0.23151374,0.39225374,1.43557516,1.46527967,0.05168229,0.03252357,0.02583744,2.25729563
-5.50775388,3.56642884,0.22886525,0.38216707,1.40448659,1.44986743,0.04995418,0.03208149,0.02549924,2.22436225
-5.50175088,3.50339163,0.22541836,0.37185165,1.37195295,1.43223251,0.04827877,0.03152605,0.02515620,2.18835018
-5.49574787,3.43673579,0.22125140,0.36138501,1.33862278,1.41272602,0.04665706,0.03087258,0.02480884,2.14997550
-5.48974487,3.36751155,0.21645725,0.35083881,1.30516487,1.39171706,0.04508815,0.03013885,0.02445739,2.10997939
-5.48374187,3.29678671,0.21114134,0.34028021,1.27226022,1.36958487,0.04357008,0.02934449,0.02410185,2.06911522
-5.47773887,3.22563371,0.20541928,0.32977329,1.24059501,1.34671141,0.04210053,0.02851055,0.02374216,2.02813690
-5.47173587,3.15511840,0.19941437,0.31938066,1.21085446,1.32347479,0.04067752,0.02765894,0.02337828,1.98778867
-5.46573287,3.08629049,0.19325508,0.30916479,1.18371749,1.30024357,0.03929998,0.02681190,0.02301033,1.94879674
-5.45972986,3.02017556,0.18707249,0.29918930,1.15985216,1.27737203,0.03796824,0.02599161,0.02263867,1.91186243
-5.45372686,2.95776827,0.18099788,0.28951989,1.13991132,1.25519638,0.03668431,0.02521967,0.02226397,1.87765688
-5.44772386,2.90002639,0.17516043,0.28022489,1.12452830,1.23403177,0.03545209,0.02451682,0.02188728,1.84681681
-5.44172086,2.84786482,0.16968515,0.27137548,1.11431212,1.21416995,0.03427734,0.02390255,0.02151006,1.81994101
-5.43571786,2.80214929,0.16469091,0.26304530,1.10984170,1.19587728,0.03316759,0.02339494,0.02113419,1.79758687
-5.42971486,2.76368864,0.16028875,0.25530973,1.11165884,1.17939285,0.03213188,0.02301041,0.02076196,1.78026653
-5.42371186,2.73322556,0.15658031,0.24824462,1.12025939,1.16492657,0.03118039,0.02276359,0.02039606,1.76844211
-5.41770885,2.71142495,0.15365629,0.24192459,1.13608265,1.15265688,0.03032398,0.02266718,0.02003947,1.76251954
-5.41170585,2.69885991,0.15159517,0.23642094,1.15949877,1.14272804,0.02957371,0.02273187,0.01969545,1.76284073
-5.40570285,2.69599524,0.15046177,0.23179924,1.19079439,1.13524690,0.02894020,0.02296615,0.01936736,1.76967409
-5.39969985,2.70316889,0.15030595,0.22811664,1.23015690,1.13027929,0.02843311,0.02337625,0.01905863,1.78320341
-5.39369685,2.72057184,0.15116129,0.22541911,1.27765785,1.12784607,0.02806054,0.02396592,0.01877253,1.80351548
-5.38769385,2.74822746,0.15304374,0.22373862,1.33323629,1.12791912,0.02782850,0.02473626,0.01851211,1.83058710
-5.38169085,2.78597136,0.15595036,0.22309042,1.39668300,1.13041767,0.02774035,0.02568549,0.01827997,1.86427221
-5.37568784,2.83343336,0.15985812,0.22347062,1.46762673,1.13520524,0.02779648,0.02680874,0.01807812,1.90429009
-5.36968484,2.89002284,0.16472301,0.22485416,1.54552344,1.14208769,0.02799387,0.02809777,0.01790784,1.95021563
-5.36368184,2.95491910,0.17047925,0.22719327,1.62964982,1.15081268,0.02832594,0.02954081,0.01776953,2.00147284
-5.35767884,3.02706821,0.17703913,0.23041665,1.71910191,1.16107103,0.02878237,0.03112235,0.01766255,2.05733253
-5.35167584,3.10518743,0.18429313,0.23442936,1.81279988,1.17250006,0.02934920,0.03282306,0.01758517,2.11691495
-5.34567284,3.18777827,0.19211088,0.23911361,1.90949941,1.18468927,0.03000891,0.03461981,0.01753449,2.17919828
-5.33966983,3.27314854,0.20034267,0.24433038,2.00780998,1.19718823,0.03074075,0.03648578,0.01750642,2.24303312
-5.33366683,3.35944357,0.20882175,0.24992198,2.10622011,1.20951663,0.03152115,0.03839075,0.01749573,2.30716314
-5.32766383,3.44468592,0.21736744,0.25571545,2.20312894,1.22117621,0.03232430,0.04030154,0.01749614,2.37025155
-5.32166083,3.52682266,0.22578894,0.26152672,2.29688342,1.23166417,0.03312277,0.04218259,0.01750042,2.43091267
-5.31565783,3.60377873,0.23388979,0.26716542,2.38581988,1.24048750,0.03388829,0.04399670,0.01750067,2.48774768
-5.30965483,3.67351421,0.24147293,0.27244018,2.46830847,1.24717766,0.03459255,0.04570596,0.01748848,2.53938303
-5.30365183,3.73408339,0.24834605,0.27716420,2.54279867,1.25130490,0.03520807,0.04727268,0.01745523,2.58451008
-5.29764882,3.78369301,0.25432716,0.28116085,2.60786404,1.25249154,0.03570902,0.04866052,0.01739242,2.62192427
-5.29164582,3.82075716,0.25925010,0.28426908,2.66224426,1.25042367,0.03607207,0.04983556,0.01729197,2.65056199
-5.28564282,3.84394625,0.26296976,0.28634847,2.70488256,1.24486055,0.03627715,0.05076738,0.01714651,2.66953341
-5.27963982,3.85222794,0.26536670,0.28728355,2.73495691,1.23564142,0.03630807,0.05143010,0.01694970,2.67815002
-5.27363682,3.84489808,0.26635114,0.28698736,2.75190357,1.22268930,0.03615309,0.05180329,0.01669651,2.67594522
-5.26763382,3.82160031,0.26586593,0.28540398,2.75543199,1.20601172,0.03580529,0.05187267,0.01638341,2.66268751
-5.26163082,3.78233367,0.26388844,0.28250998,2.74553048,1.18569844,0.03526276,0.05163070,0.01600853,2.63838532
-5.25562781,3.72744790,0.26043137,0.27831476,2.72246256,1.16191627,0.03452870,0.05107692,0.01557178,2.60328378
-5.24962481,3.65762708,0.25554222,0.27285971,2.68675433,1.13490143,0.03361122,0.05021795,0.01507487,2.55785356
-5.24362181,3.57386254,0.24930172,0.26621630,2.63917370,1.10494993,0.03252308,0.04906745,0.01452127,2.50277256
-5.23761881,3.47741673,0.24182111,0.25848332,2.58070257,1.07240640,0.03128123,0.04764559,0.01391607,2.43890154
-5.23161581,3.36977999,0.23323846,0.24978312,2.51250363,1.03765227,0.02990623,0.04597853,0.01326588,2.36725511
-5.22561281,3.25262228,0.22371424,0.24025744,2.43588322,1.00109359,0.02842156,0.04409756,0.01257851,2.28896937
-5.21960980,3.12774247,0.21342632,0.23006270,2.35225220,0.96314930,0.02685289,0.04203815,0.01186280,2.20526804
-5.21360680,2.99701723,0.20256463,0.21936513,2.26308653,0.92424037,0.02522725,0.03983886,0.01112826,2.11742837
-5.20760380,2.86235167,0.19132571,0.20833591,2.16988904,0.88478026,0.02357229,0.03754027,0.01038481,2.02674835
-5.20160080,2.72563362,0.17990732,0.19714651,2.07415402,0.84516698,0.02191543,0.03518378,0.00964246,1.93451639
-5.19559780,2.58869286,0.16850341,0.18596434,1.97733548,0.80577682,0.02028322,0.03281050,0.00891099,1.84198437
-5.18959480,2.45326627,0.15729952,0.17494892,1.88082000,0.76695993,0.01870066,0.03046024,0.00819974,1.75034458
-5.18359180,2.32096943,0.14646873,0.16424858,1.78590448,0.72903748,0.01719061,0.02817058,0.00751731,1.66071109
-5.17758879,2.19327482,0.13616832,0.15399778,1.69377897,0.69230036,0.01577338,0.02597601,0.00687141,1.57410522
-5.17158579,2.07149607,0.12653712,0.14431500,1.60551418,0.65700896,0.01446638,0.02390731,0.00626867,1.49144512
-5.16558279,1.95677792,0.11769355,0.13530128,1.52205334,0.62339382,0.01328382,0.02199105,0.00571456,1.41353885
-5.15957979,1.85009081,0.10973434,0.12703930,1.44420770,0.59165676,0.01223661,0.02024923,0.00521328,1.34108040
-5.15357679,1.75222925,0.10273396,0.11959288,1.37265490,0.56197215,0.01133231,0.01869906,0.00476778,1.27464801
-5.14757379,1.66381299,0.09674442,0.11300699,1.30793943,0.53448808,0.01057512,0.01735295,0.00437972,1.21470403
-5.14157079,1.58529007,0.09179579,0.10730799,1.25047459,0.50932709,0.00996603,0.01621852,0.00404954,1.16159592
-5.13556778,1.51694105,0.08789684,0.10250428,1.20054521,0.48658644,0.00950294,0.01529879,0.00377653,1.11555775
-5.12956478,1.45888388,0.08503626,0.09858703,1.15831085,0.46633787,0.00918089,0.01459246,0.00355891,1.07671200
-5.12356178,1.41107918,0.08318390,0.09553120,1.12380923,0.44862675,0.00899231,0.01409419,0.00339393,1.04507153
-5.11755878,1.37333586,0.08229235,0.09329666,1.09695974,0.43347092,0.00892726,0.01379498,0.00327799,1.02054174
-5.11155578,1.34531724,0.08229863,0.09182945,1.07756735,0.42085927,0.00897377,0.01368261,0.00320676,1.00292317
-5.10555278,1.32654806,0.08312600,0.09106322,1.06532712,0.41075035,0.00911817,0.01374206,0.00317532,0.99191483
-5.09954977,1.31642283,0.08468589,0.09092078,1.05982963,0.40307135,0.00934536,0.01395596,0.00317829,0.98711865
-5.09354677,1.31421596,0.08687991,0.09131581,1.06056785,0.39771748,0.00963921,0.01430508,0.00320995,0.98804545
-5.08754377,1.31909414,0.08960207,0.09215476,1.06694572,0.39455229,0.00998294,0.01476875,0.00326439,0.99412278
-5.08154077,1.33013128,0.09274091,0.09333889,1.07828881,0.39340880,0.01035939,0.01532539,0.00333560,1.00470494
-5.07553777,1.34632620,0.09618187,0.09476642,1.09385718,0.39409177,0.01075149,0.01595291,0.00341765,1.01908522
-5.06953477,1.36662291,0.09980961,0.09633484,1.11286046,0.39638116,0.01114256,0.01662921,0.00350478,1.03651035
-5.06353177,1.38993329,0.10351040,0.09794329,1.13447487,0.40003650,0.01151668,0.01733261,0.00359150,1.05619698
-5.05752876,1.41516150,0.10717446,0.09949492,1.15786191,0.40480238,0.01185903,0.01804222,0.00367272,1.07734968
-5.05152576,1.44122950,0.11069822,0.10089920,1.18218803,0.41041456,0.01215623,0.01873839,0.00374385,1.09917989
-5.04552276,1.46710264,0.11398642,0.10207409,1.20664463,0.41660661,0.01239656,0.01940303,0.00380086,1.12092524
-5.03951976,1.49181427,0.11695402,0.10294801,1.23046752,0.42311678,0.01257025,0.02001992,0.00384036,1.14186817
-5.03351676,1.51448836,0.11952776,0.10346143,1.25295498,0.42969460,0.01266966,0.02057495,0.00385967,1.16135328
-5.02751376,1.53435901,0.12164743,0.10356820,1.27348366,0.43610707,0.01268936,0.02105631,0.00385682,1.17880241
-5.02151076,1.55078595,0.12326672,0.10323631,1.29152132,0.44214403,0.01262625,0.02145463,0.00383058,1.19372679
-5.01550775,1.56326515,0.12435362,0.10244828,1.30663606,0.44762242,0.01247951,0.02176300,0.00378045,1.20573565
-5.00950475,1.57143426,0.12489036,0.10120096,1.31850136,0.45238931,0.01225053,0.02197699,0.00370666,1.21454085
-5.00350175,1.57507233,0.12487295,0.09950492,1.32689684,0.45632348,0.01194281,0.02209449,0.00361006,1.21995738
-4.99749875,1.57409413,0.12431018,0.09738330,1.33170467,0.45933556,0.01156168,0.02211561,0.00349211,1.22189970
-4.99149575,1.56853940,0.12322239,0.09487031,1.33290198,0.46136672,0.01111413,0.02204245,0.00335479,1.22037419
-4.98549275,1.55855750,0.12163980,0.09200934,1.33054968,0.46238617,0.01060848,0.02187878,0.00320048,1.21546833
-4.97948974,1.54438869,0.11960069,0.08885088,1.32477852,0.46238743,0.01005403,0.02162984,0.00303191,1.20733702
-4.97348674,1.52634287,0.11714939,0.08545022,1.31577313,0.46138394,0.00946078,0.02130193,0.00285201,1.19618718
-4.96748374,1.50477713,0.11433425,0.08186517,1.30375506,0.45940406,0.00883907,0.02090213,0.00266382,1.18226126
-4.96148074,1.48007333,0.11120566,0.07815385,1.28896589,0.45648598,0.00819922,0.02043801,0.00247039,1.16582083
