energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-6.00000000,5.61074411,0.00214352,0.05589300,2.03856448,5.05063786,0.40177159,0.49026939,0.16421604,0.00000000
-5.99399700,5.59858627,0.00201086,0.05559337,2.03798579,5.04181748,0.39991273,0.48724941,0.16060973,0.00000000
-5.98799400,5.59068214,0.00188294,0.05550326,2.03957650,5.03298886,0.39934369,0.48669698,0.15768559,0.00000000
-5.98199100,5.58642874,0.00176012,0.05561144,2.04288459,5.02377088,0.39996567,0.48852590,0.15541854,0.00000000
-5.97598799,5.58518412,0.00164277,0.05590511,2.04742343,5.01375738,0.40166147,0.49265350,0.15378460,0.00000000
-5.96998499,5.58627944,0.00153124,0.05637039,2.05268174,5.00252340,0.40429820,0.49900325,0.15276203,0.00000000
-5.96398199,5.58903229,0.00142588,0.05699273,2.05813457,4.98963362,0.40773054,0.50750629,0.15233218,0.00000000
-5.95797899,5.59276100,0.00132697,0.05775740,2.06325536,4.97465274,0.41180439,0.51810174,0.15248010,0.00000000
-5.95197599,5.59679946,0.00123475,0.05864983,2.06752858,4.95715751,0.41636098,0.53073585,0.15319479,0.00000000
-5.94597299,5.60051190,0.00114936,0.05965594,2.07046274,4.93674985,0.42124103,0.54535996,0.15446918,0.00000000
-5.93996998,5.60330694,0.00107084,0.06076242,2.07160333,4.91307035,0.42628914,0.56192733,0.15629980,0.00000000
-5.93396698,5.60465018,0.00099914,0.06195684,2.07054508,4.88581147,0.43135788,0.58038903,0.15868605,0.00000000
-5.92796398,5.60407456,0.00093412,0.06322777,2.06694312,4.85472942,0.43631171,0.60068912,0.16162928,0.00000000
-5.92196098,5.60118786,0.00087554,0.06456471,2.06052241,4.81965405,0.44103025,0.62275928,0.16513150,0.00000000
-5.91595798,5.59567674,0.00082305,0.06595800,2.05108500,4.78049583,0.44541102,0.64651335,0.16919400,0.00000000
-5.90995498,5.58730696,0.00077627,0.06739865,2.03851470,4.73724945,0.44937123,0.67184202,0.17381572,0.00000000
-5.90395198,5.57591980,0.00073473,0.06887804,2.02277880,4.68999367,0.45284877,0.69860806,0.17899165,0.00000000
-5.89794897,5.56142459,0.00069791,0.07038766,2.00392668,4.63888704,0.45580206,0.72664250,0.18471112,0.00000000
-5.89194597,5.54378813,0.00066530,0.07191876,1.98208535,4.58415991,0.45820912,0.75574200,0.19095635,0.00000000
-5.88594297,5.52302140,0.00063636,0.07346204,1.95745203,4.52610299,0.46006557,0.78566785,0.19770110,0.00000000
-5.87993997,5.49916476,0.00061058,0.07500732,1.93028414,4.46505311,0.46138187,0.81614669,0.20490962,0.00000000
-5.87393697,5.47227270,0.00058749,0.07654332,1.90088719,4.40137724,0.46218005,0.84687317,0.21253600,0.00000000
-5.86793397,5.44239930,0.00056664,0.07805743,1.86960113,4.33545565,0.46248989,0.87751460,0.22052394,0.00000000
-5.86193097,5.40958579,0.00054767,0.07953567,1.83678598,4.26766544,0.46234500,0.90771752,0.22880701,0.00000000
-5.85592796,5.37385116,0.00053029,0.08096263,1.80280736,4.19836566,0.46177912,0.93711599,0.23730941,0.00000000
-5.84992496,5.33518699,0.00051429,0.08232164,1.76802271,4.12788494,0.46082261,0.96534138,0.24594726,0.00000000
-5.84392196,5.29355689,0.00049955,0.08359494,1.73276891,4.05651260,0.45949966,0.99203327,0.25463037,0.00000000
-5.83791896,5.24890116,0.00048605,0.08476411,1.69735180,3.98449384,0.45782630,1.01685096,0.26326446,0.00000000
-5.83191596,5.20114638,0.00047384,0.08581041,1.66203809,3.91202936,0.45580927,1.03948514,0.27175373,0.00000000
-5.82591296,5.15021954,0.00046311,0.08671534,1.62704991,3.83927940,0.45344603,1.05966914,0.28000370,0.00000000
-5.81990995,5.09606591,0.00045408,0.08746122,1.59256206,3.76637184,0.45072563,1.07718927,0.28792421,0.00000000
-5.81390695,5.03866937,0.00044711,0.08803176,1.55870193,3.69341373,0.44763064,1.09189367,0.29543240,0.00000000
-5.80790395,4.97807391,0.00044260,0.08841266,1.52555183,3.62050527,0.44413991,1.10369926,0.30245565,0.00000000
-5.80190095,4.91440460,0.00044103,0.08859220,1.49315335,3.54775526,0.44023181,1.11259645,0.30893416,0.00000000
-5.79589795,4.84788645,0.00044293,0.08856172,1.46151322,3.47529653,0.43588796,1.11865129,0.31482324,0.00000000
-5.78989495,4.77885967,0.00044888,0.08831603,1.43061030,3.40330036,0.43109705,1.12200493,0.32009505,0.00000000
-5.78389195,4.70778984,0.00045947,0.08785372,1.40040294,3.33198842,0.42585844,1.12287047,0.32473977,0.00000000
-5.77788894,4.63527202,0.00047535,0.08717734,1.37083639,3.26164140,0.42018535,1.12152709,0.32876608,0.00000000
-5.77188594,4.56202799,0.00049710,0.08629346,1.34184970,3.19260330,0.41410733,1.11831198,0.33220098,0.00000000
-5.76588294,4.48889617,0.00052535,0.08521251,1.31338170,3.12528103,0.40767194,1.11361008,0.33508881,0.00000000
-5.75987994,4.41681455,0.00056063,0.08394864,1.28537599,3.06013882,0.40094531,1.10784228,0.33748967,0.00000000
-5.75387694,4.34679676,0.00060345,0.08251930,1.25778447,2.99768781,0.39401164,1.10145237,0.33947708,0.00000000
-5.74787394,4.27990243,0.00065421,0.08094479,1.23056973,2.93847086,0.38697160,1.09489339,0.34113513,0.00000000
-5.74187094,4.21720281,0.00071323,0.07924774,1.20370601,2.88304363,0.37993968,1.08861363,0.34255511,0.00000000
-5.73586793,4.15974312,0.00078070,0.07745247,1.17717911,2.83195235,0.37304058,1.08304308,0.34383182,0.00000000
-5.72986493,4.10850324,0.00085666,0.07558437,1.15098535,2.78570984,0.36640487,1.07858044,0.34505966,0.00000000
-5.72386193,4.06435835,0.00094099,0.07366922,1.12512972,2.74477048,0.36016405,1.07558134,0.34632857,0.00000000
-5.71785893,4.02804119,0.00103340,0.07173255,1.09962357,2.70950564,0.35444535,1.07434792,0.34772017,0.00000000
-5.71185593,4.00010755,0.00113340,0.06979899,1.07448210,2.68018068,0.34936643,1.07512014,0.34930403,0.00000000
