energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Li_s_up,S_s_up,S_p_up
-6.00000000,1.89977369,0.01964818,0.11761750,0.39180567,0.24962016,0.15621608,0.03302970,0.94313323
-5.99399700,2.06923638,0.02108002,0.12818631,0.42530158,0.27351362,0.16912392,0.03622965,1.02887502
-5.98799400,2.27116763,0.02282258,0.14054421,0.46553826,0.30176915,0.18564923,0.03993385,1.13121581
-5.98199100,2.50480650,0.02486429,0.15460343,0.51238538,0.33430565,0.20585312,0.04412039,1.24988023
-5.97598799,2.76894542,0.02719000,0.17025194,0.56561581,0.37098691,0.22976577,0.04875929,1.38436422
-5.96998499,3.06190877,0.02978090,0.18735341,0.62490159,0.41161812,0.25738153,0.05381216,1.53392120
-5.96398199,3.38153772,0.03261468,0.20574761,0.68981117,0.45594312,0.28865359,0.05923213,1.69755121
-5.95797899,3.72518407,0.03566562,0.22525153,0.75980862,0.50364277,0.32348869,0.06496387,1.87399429
-5.95197599,4.08971514,0.03890480,0.24566112,0.83425507,0.55433460,0.36174200,0.07094393,2.06172938
-5.94597299,4.47153177,0.04230032,0.26675382,0.91241300,0.60757409,0.40321270,0.07710128,2.25898005
-5.93996998,4.86660077,0.04581763,0.28829175,0.99345351,0.66285777,0.44764065,0.08335813,2.46372769
-5.93396698,5.27050248,0.04941995,0.31002555,1.07646685,0.71962823,0.49470443,0.08963106,2.67373302
-5.92796398,5.67849362,0.05306865,0.33169873,1.16047611,0.77728106,0.54402113,0.09583237,2.88656592
-5.92196098,6.08558434,0.05672380,0.35305255,1.24445401,0.83517366,0.59514811,0.10187166,3.09964342
-5.91595798,6.48662796,0.06034466,0.37383096,1.32734221,0.89263577,0.64758692,0.10765766,3.31027519
-5.90995498,6.87642093,0.06389031,0.39378573,1.40807285,0.94898137,0.70078940,0.11310013,3.51571536
-5.90395198,7.24980997,0.06732014,0.41268132,1.48559139,1.00352173,0.75416595,0.11811193,3.71321915
-5.89794897,7.60180270,0.07059453,0.43029953,1.55888011,1.05557907,0.80709570,0.12261103,3.90010255
-5.89194597,7.92767792,0.07367536,0.44644351,1.62698133,1.10450047,0.85893846,0.12652249,4.07380284
-5.88594297,8.22309141,0.07652660,0.46094119,1.68901935,1.14967153,0.90904793,0.12978039,4.23193778
-5.87993997,8.48417337,0.07911481,0.47364793,1.74422042,1.19052924,0.95678571,0.13232942,4.37236124
-5.87393697,8.70761365,0.08140969,0.48444830,1.79192977,1.22657377,1.00153570,0.13412637,4.49321310
-5.86793397,8.89073187,0.08338446,0.49325707,1.83162510,1.25737858,1.04271822,0.13514123,4.59296139
-5.86193097,9.03152970,0.08501635,0.50001929,1.86292607,1.28259870,1.07980332,0.13535795,4.67043530
-5.85592796,9.12872374,0.08628690,0.50470970,1.88559935,1.30197685,1.11232278,0.13477484,4.72484758
-5.84992496,9.18175825,0.08718232,0.50733135,1.89955934,1.31534727,1.13988040,0.13340460,4.75580591
-5.84392196,9.19079769,0.08769374,0.50791381,1.90486451,1.32263716,1.16216007,0.13127394,4.76331278
-5.83791896,9.15670025,0.08781739,0.50651091,1.90170985,1.32386592,1.17893148,0.12842281,4.74775442
-5.83191596,9.08097407,0.08755477,0.50319818,1.89041586,1.31914215,1.19005331,0.12490336,4.70987948
-5.82591296,8.96571869,0.08691269,0.49807029,1.87141476,1.30865873,1.19547379,0.12077852,4.65076872
-5.81990995,8.81355474,0.08590328,0.49123837,1.84523483,1.29268627,1.19522892,0.11612039,4.57179734
-5.81390695,8.62754516,0.08454391,0.48282748,1.81248349,1.27156520,1.18943836,0.11100840,4.47459188
-5.80790395,8.41111152,0.08285695,0.47297431,1.77383015,1.24569685,1.17829944,0.10552738,4.36098343
-5.80190095,8.16794866,0.08086956,0.46182497,1.72998943,1.21553396,1.16207961,0.09976550,4.23295950
-5.79589795,7.90194091,0.07861323,0.44953312,1.68170548,1.18157078,1.14110768,0.09381229,4.09261609
-5.78989495,7.61708247,0.07612336,0.43625828,1.62973794,1.14433326,1.11576440,0.08775665,3.94211196
-5.78389195,7.31740417,0.07343863,0.42216423,1.57484983,1.10436944,1.08647258,0.08168499,3.78362631
-5.77788894,7.00690809,0.07060035,0.40741768,1.51779752,1.06224025,1.05368736,0.07567957,3.61932095
