energy_ev,total_up,Cu_p_up,Cu_d_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up
-6.00000000,0.46402464,0.11600513,0.11611336,0.00373209,0.00001929,0.08798896,0.16771558
-5.99399700,0.49279997,0.12253525,0.12427309,0.00417741,0.00002151,0.08997675,0.18080796
-5.98799400,0.52338120,0.12955820,0.13308855,0.00467192,0.00002401,0.09144298,0.19537086
-5.98199100,0.55571051,0.13702943,0.14254846,0.00521759,0.00002681,0.09238473,0.21136466
-5.97598799,0.58975010,0.14491047,0.15264363,0.00581586,0.00002991,0.09281514,0.22874816
-5.96998499,0.62547298,0.15316657,0.16336429,0.00646743,0.00003331,0.09276373,0.24747335
-5.96398199,0.66285310,0.16176416,0.17469731,0.00717210,0.00003702,0.09227603,0.26748049
-5.95797899,0.70185528,0.17066842,0.18662354,0.00792862,0.00004104,0.09141272,0.28869349
-5.95197599,0.74242574,0.17984108,0.19911545,0.00873453,0.00004536,0.09024815,0.31101612
-5.94597299,0.78448375,0.18923855,0.21213518,0.00958607,0.00004997,0.08886832,0.33432932
-5.93996998,0.82791515,0.19881064,0.22563325,0.01047811,0.00005486,0.08736849,0.35848982
-5.93396698,0.87256831,0.20849999,0.23954806,0.01140414,0.00006001,0.08585039,0.38333032
-5.92796398,0.91825284,0.21824219,0.25380624,0.01235634,0.00006539,0.08441918,0.40866135
-5.92196098,0.96474151,0.22796680,0.26832396,0.01332563,0.00007098,0.08318033,0.43427493
-5.91595798,1.01177539,0.23759910,0.28300913,0.01430191,0.00007675,0.08223649,0.45994980
-5.90995498,1.05907220,0.24706274,0.29776458,0.01527420,0.00008267,0.08168450,0.48545826
-5.90395198,1.10633746,0.25628297,0.31249195,0.01623099,0.00008871,0.08161271,0.51057426
-5.89794897,1.15327809,0.26519037,0.32709614,0.01716051,0.00009483,0.08209864,0.53508239
-5.89194597,1.19961769,0.27372501,0.34149025,0.01805109,0.00010100,0.08320723,0.55878734
-5.88594297,1.24511275,0.28184059,0.35560062,0.01889150,0.00010720,0.08498960,0.58152339
-5.87993997,1.28956886,0.28950850,0.36937165,0.01967130,0.00011339,0.08748250,0.60316344
-5.87393697,1.33285602,0.29672148,0.38277030,0.02038118,0.00011955,0.09070850,0.62362688
-5.86793397,1.37492199,0.30349652,0.39578982,0.02101325,0.00012565,0.09467681,0.64288613
-5.86193097,1.41580304,0.30987707,0.40845256,0.02156131,0.00013169,0.09938482,0.66097109
-5.85592796,1.45563106,0.31593399,0.42081152,0.02202096,0.00013765,0.10482024,0.67797143
-5.84992496,1.49463662,0.32176547,0.43295068,0.02238979,0.00014351,0.11096373,0.69403629
-5.84392196,1.53314741,0.32749550,0.44498377,0.02266735,0.00014928,0.11779197,0.70937129
-5.83791896,1.57158199,0.33327116,0.45705161,0.02285515,0.00015495,0.12528088,0.72423297
-5.83191596,1.61043865,0.33925852,0.46931792,0.02295652,0.00016050,0.13340887,0.73892056
-5.82591296,1.65027969,0.34563743,0.48196379,0.02297642,0.00016595,0.14215994,0.75376550
-5.81990995,1.69171145,0.35259519,0.49518090,0.02292121,0.00017129,0.15152637,0.76911895
-5.81390695,1.73536072,0.36031944,0.50916367,0.02279835,0.00017651,0.16151072,0.78533767
-5.80790395,1.78184819,0.36899044,0.52410067,0.02261611,0.00018160,0.17212713,0.80276895
-5.80190095,1.83175984,0.37877300,0.54016552,0.02238319,0.00018654,0.18340159,0.82173489
-5.79589795,1.88561728,0.38980837,0.55750759,0.02210845,0.00019133,0.19537106,0.84251686
-5.78989495,1.94384799,0.40220648,0.57624293,0.02180056,0.00019594,0.20808157,0.86534048
-5.78389195,2.00675668,0.41603870,0.59644566,0.02146770,0.00020033,0.22158505,0.89036191
-5.77788894,2.07449883,0.43133150,0.61814023,0.02111736,0.00020448,0.23593517,0.91765587
-5.77188594,2.14705760,0.44806132,0.64129494,0.02075611,0.00020834,0.25118232,0.94720589
-5.76588294,2.22422512,0.46615085,0.66581690,0.02038944,0.00021188,0.26736790,0.97889737
-5.75987994,2.30558926,0.48546697,0.69154886,0.02002171,0.00021505,0.28451835,1.01251358
-5.75387694,2.39052676,0.50582048,0.71826811,0.01965606,0.00021779,0.30263922,1.04773512
-5.74787394,2.47820351,0.52696779,0.74568750,0.01929444,0.00022006,0.32170969,1.08414284
-5.74187094,2.56758240,0.54861460,0.77345897,0.01893769,0.00022181,0.34167805,1.12122437
-5.73586793,2.65743933,0.57042155,0.80117940,0.01858562,0.00022298,0.36245844,1.15838425
-5.72986493,2.74638707,0.59201171,0.82839877,0.01823713,0.00022353,0.38392928,1.19495731
-5.72386193,2.83290699,0.61297978,0.85463064,0.01789043,0.00022342,0.40593365,1.23022523
-5.71785893,2.91538774,0.63290284,0.87936448,0.01754316,0.00022261,0.42828186,1.26343567
-5.71185593,2.99217012,0.65135209,0.90207969,0.01719263,0.00022107,0.45075615,1.29382341
-5.70585293,3.06159659,0.66790546,0.92226083,0.01683601,0.00021878,0.47311759,1.32063303
-5.69984992,3.12206391,0.68216051,0.93941345,0.01647053,0.00021573,0.49511490,1.34314209
-5.69384692,3.17207692,0.69374721,0.95308016,0.01609364,0.00021192,0.51649469,1.36068419
-5.68784392,3.21030135,0.70234005,0.96285605,0.01570324,0.00020736,0.53701289,1.37267104
-5.68184092,3.23561341,0.70766909,0.96840315,0.01529778,0.00020208,0.55644650,1.37861260
-5.67583792,3.24714413,0.70952943,0.96946303,0.01487643,0.00019611,0.57460511,1.37813458
-5.66983492,3.24431619,0.70778876,0.96586724,0.01443913,0.00018950,0.59134146,1.37099253
-5.66383192,3.22687157,0.70239260,0.95754495,0.01398672,0.00018231,0.60656028,1.35708194
-5.65782891,3.19488849,0.69336704,0.94452750,0.01352090,0.00017462,0.62022481,1.33644395
-5.65182591,3.14878675,0.68081888,0.92694966,0.01304430,0.00016650,0.63236039,1.30926639
-5.64582291,3.08932082,0.66493307,0.90504745,0.01256039,0.00015804,0.64305478,1.27588006
-5.63981991,3.01756094,0.64596766,0.87915265,0.01207344,0.00014933,0.65245490,1.23675046
-5.63381691,2.93486285,0.62424638,0.84968420,0.01158844,0.00014049,0.66076011,1.19246533
-5.62781391,2.84282727,0.60014925,0.81713683,0.01111095,0.00013160,0.66821201,1.14371845
-5.62181091,2.74325096,0.57410159,0.78206747,0.01064699,0.00012277,0.67508137,1.09129050
-5.61580790,2.63807148,0.54656184,0.74507997,0.01020288,0.00011410,0.68165274,1.03602773
-5.60980490,2.52930787,0.51800880,0.70680878,0.00978510,0.00010570,0.68820740,0.97881926
-5.60380190,2.41900007,0.48892873,0.66790219,0.00940011,0.00009765,0.69500580,0.92057404
-5.59779890,2.30914935,0.45980279,0.62900595,0.00905421,0.00009005,0.70227018,0.86219823
-5.59179590,2.20166246,0.43109532,0.59074764,0.00875341,0.00008298,0.71016865,0.80457382
-5.58579290,2.09830144,0.40324332,0.55372250,0.00850326,0.00007650,0.71880149,0.74853918
-5.57978989,2.00064107,0.37664746,0.51848110,0.00830881,0.00007069,0.72819062,0.69487222
-5.57378689,1.91003514,0.35166473,0.48551900,0.00817444,0.00006560,0.73827290,0.64427623
-5.56778389,1.82759255,0.32860304,0.45526883,0.00810384,0.00006127,0.74889776,0.59736898
-5.56178089,1.75416336,0.30771752,0.42809460,0.00809993,0.00005774,0.75982946,0.55467487
-5.55577789,1.69033471,0.28920871,0.40428834,0.00816482,0.00005504,0.77075387,0.51662011
-5.54977489,1.63643573,0.27322231,0.38406872,0.00829980,0.00005319,0.78128963,0.48353074
-5.54377189,1.59255060,0.25985034,0.36758161,0.00850531,0.00005218,0.79100303,0.45563299
-5.53776888,1.55853805,0.24913348,0.35490210,0.00878097,0.00005202,0.79942606,0.43305584
-5.53176588,1.53405596,0.24106428,0.34603771,0.00912555,0.00005271,0.80607654,0.41583507
-5.52576288,1.51858923,0.23559105,0.34093253,0.00953701,0.00005421,0.81047939,0.40391858
-5.51975988,1.51147936,0.23262209,0.33947190,0.01001252,0.00005650,0.81218799,0.39717252
-5.51375688,1.51195422,0.23203011,0.34148746,0.01054853,0.00005955,0.81080440,0.39538796
-5.50775388,1.51915679,0.23365674,0.34676240,0.01114077,0.00006331,0.80599753,0.39828784
-5.50175088,1.53217190,0.23731689,0.35503677,0.01178441,0.00006772,0.79751836,0.40553406
-5.49574787,1.55005031,0.24280301,0.36601280,0.01247411,0.00007272,0.78521149,0.41673474
-5.48974487,1.57182991,0.24988925,0.37936039,0.01320417,0.00007823,0.76902239,0.43145160
-5.48374187,1.59655394,0.25833547,0.39472268,0.01396875,0.00008417,0.74900034,0.44920761
-5.47773887,1.62328661,0.26789136,0.41172199,0.01476207,0.00009046,0.72529682,0.46949502
-5.47173587,1.65112658,0.27830045,0.42996604,0.01557870,0.00009699,0.69815970,0.49178389
-5.46573287,1.67921885,0.28930443,0.44905479,0.01641386,0.00010366,0.66792355,0.51553130
-5.45972986,1.70676564,0.30064759,0.46858779,0.01726377,0.00011036,0.63499687,0.54019117
-5.45372686,1.73303691,0.31208148,0.48817208,0.01812606,0.00011700,0.59984683,0.56522482
-5.44772386,1.75738084,0.32336986,0.50743062,0.01900011,0.00012345,0.56298239,0.59011205
-5.44172086,1.77923448,0.33429371,0.52601098,0.01988747,0.00012963,0.52493676,0.61436260
-5.43571786,1.79813460,0.34465634,0.54359424,0.02079219,0.00013542,0.48624997,0.63752759
-5.42971486,1.81372833,0.35428828,0.55990350,0.02172111,0.00014075,0.44745230,0.65921065
-5.42371186,1.82578321,0.36305188,0.57471196,0.02268408,0.00014554,0.40904935,0.67907815
-5.41770885,1.83419584,0.37084526,0.58784981,0.02369399,0.00014972,0.37150918,0.69686812
-5.41170585,1.83899828,0.37760541,0.59920979,0.02476676,0.00015325,0.33525201,0.71239731
-5.40570285,1.84036133,0.38331023,0.60875088,0.02592109,0.00015610,0.30064254,0.72556583
-5.39969985,1.83859375,0.38797922,0.61649974,0.02717806,0.00015826,0.26798518,0.73635910
