energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up,Zn_p_up,Zn_d_up
-6.00000000,3.94434721,0.07055376,0.37639243,1.82939450,0.00000000,0.97656492,0.36279912,0.85526789,0.53201643
-5.99399700,3.93926890,0.06994763,0.38026604,1.82969367,0.00000000,0.96846064,0.36679087,0.85112410,0.52965061
-5.98799400,3.93386229,0.06929570,0.38442750,1.83059073,0.00000000,0.96081226,0.37114034,0.84601615,0.52716841
-5.98199100,3.92798217,0.06859571,0.38882988,1.83200406,0.00000000,0.95368544,0.37577256,0.83997092,0.52454210
-5.97598799,3.92146192,0.06784676,0.39342085,1.83382480,0.00000000,0.94712795,0.38060445,0.83303484,0.52174295
-5.96998499,3.91410703,0.06704942,0.39814256,1.83591399,0.00000000,0.94116511,0.38554609,0.82527190,0.51873987
-5.96398199,3.90569094,0.06620565,0.40293183,1.83810116,0.00000000,0.93579626,0.39050211,0.81676145,0.51549863
-5.95797899,3.89595408,0.06531878,0.40772076,1.84018462,0.00000000,0.93099241,0.39537344,0.80759603,0.51198138
-5.95197599,3.88460658,0.06439338,0.41243773,1.84193393,0.00000000,0.92669541,0.40005929,0.79787942,0.50814684
-5.94597299,3.87133520,0.06343514,0.41700888,1.84309451,0.00000000,0.92281887,0.40445935,0.78772516,0.50395103
-5.93996998,3.85581444,0.06245083,0.42136004,1.84339455,0.00000000,0.91925082,0.40847620,0.77725550,0.49934858
-5.93396698,3.83772164,0.06144812,0.42541909,1.84255406,0.00000000,0.91585821,0.41201796,0.76660104,0.49429465
-5.92796398,3.81675559,0.06043559,0.42911873,1.84029582,0.00000000,0.91249292,0.41500096,0.75590081,0.48874728
-5.92196098,3.79265780,0.05942264,0.43239943,1.83635776,0.00000000,0.90899927,0.41735252,0.74530304,0.48267005
-5.91595798,3.76523549,0.05841953,0.43521266,1.83050630,0.00000000,0.90522239,0.41901372,0.73496613,0.47603502
-5.90995498,3.73438484,0.05743739,0.43752397,1.82255002,0.00000000,0.90101738,0.41994195,0.72505995,0.46882559
-5.90395198,3.70011343,0.05648828,0.43931600,1.81235286,0.00000000,0.89625835,0.42011330,0.71576700,0.46103933
-5.89794897,3.66256011,0.05558523,0.44059108,1.79984627,0.00000000,0.89084725,0.41952456,0.70728339,0.45269039
-5.89194597,3.62201110,0.05474231,0.44137331,1.78503936,0.00000000,0.88472159,0.41819474,0.69981910,0.44381142
-5.88594297,3.57891076,0.05397469,0.44170989,1.76802653,0.00000000,0.87786088,0.41616593,0.69359757,0.43445492
