energy_ev,total_up,P_s_up,P_p_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,0.80330017,0.00643676,0.04331960,0.23806045,0.36642245,0.00958875,0.38904275
-5.99399700,0.81103196,0.00682326,0.04294374,0.23728382,0.37109290,0.00967056,0.39433995
-5.98799400,0.82107683,0.00719253,0.04303837,0.23771115,0.37662795,0.00983763,0.40038901
-5.98199100,0.83301213,0.00753815,0.04357360,0.23926153,0.38279876,0.01008885,0.40700545
-5.97598799,0.84638416,0.00785428,0.04452164,0.24184334,0.38936984,0.01042100,0.41398736
-5.96998499,0.86072391,0.00813582,0.04585720,0.24535770,0.39610705,0.01082879,0.42112363
-5.96398199,0.87556463,0.00837866,0.04755813,0.24970274,0.40278615,0.01130494,0.42820290
-5.95797899,0.89046018,0.00857984,0.04960611,0.25477825,0.40920145,0.01184040,0.43502289
-5.95197599,0.90500352,0.00873770,0.05198755,0.26049072,0.41517428,0.01242454,0.44139957
-5.94597299,0.91884428,0.00885200,0.05469436,0.26675838,0.42056076,0.01304556,0.44717581
-5.93996998,0.93170475,0.00892395,0.05772483,0.27351602,0.42525854,0.01369077,0.45222917
-5.93396698,0.94339342,0.00895629,0.06108436,0.28071933,0.42921221,0.01434711,0.45647830
-5.92796398,0.95381548,0.00895320,0.06478600,0.28834849,0.43241705,0.01500154,0.45988788
-5.92196098,0.96297971,0.00892022,0.06885077,0.29641086,0.43492089,0.01564156,0.46247168
-5.91595798,0.97100133,0.00886414,0.07330770,0.30494242,0.43682412,0.01625565,0.46429360
-5.90995498,0.97810063,0.00879276,0.07819338,0.31400791,0.43827748,0.01683371,0.46546681
-5.90395198,0.98459725,0.00871466,0.08355120,0.32369955,0.43947806,0.01736749,0.46615069
-5.89794897,0.99090016,0.00863896,0.08943008,0.33413420,0.44066318,0.01785087,0.46654592
-5.89194597,0.99749372,0.00857494,0.09588269,0.34544898,0.44210273,0.01828014,0.46688761
-5.88594297,1.00492005,0.00853177,0.10296327,0.35779548,0.44408993,0.01865416,0.46743705
-5.87993997,1.01375843,0.00851818,0.11072496,0.37133257,0.44693102,0.01897435,0.46847193
-5.87393697,1.02460235,0.00854208,0.11921684,0.38621815,0.45093400,0.01924469,0.47027579
-5.86793397,1.03803500,0.00861029,0.12848065,0.40260004,0.45639713,0.01947149,0.47312681
-5.86193097,1.05460421,0.00872824,0.13854736,0.42060634,0.46359734,0.01966310,0.47728650
-5.85592796,1.07479776,0.00889973,0.14943380,0.44033573,0.47277910,0.01982957,0.48298865
