energy_ev,total_up,Cd_p_up,Cd_d_up,Ga_p_up,Ga_d_up,Se_s_up,Se_p_up
-6.00000000,0.49356768,0.19845826,0.05400709,0.04239199,0.00000000,0.01550332,0.20988169
-5.99399700,0.46992178,0.19177391,0.05142246,0.03996433,0.00000000,0.01521003,0.19541791
-5.98799400,0.44954111,0.18649571,0.04926707,0.03768730,0.00000000,0.01509984,0.18278966
-5.98199100,0.43226706,0.18251648,0.04751184,0.03557050,0.00000000,0.01515138,0.17189966
-5.97598799,0.41788521,0.17970738,0.04612153,0.03361958,0.00000000,0.01534103,0.16262644
-5.96998499,0.40613204,0.17792084,0.04505572,0.03183617,0.00000000,0.01564347,0.15482879
-5.96398199,0.39670280,0.17699422,0.04426993,0.03021806,0.00000000,0.01603232,0.14835033
-5.95797899,0.38926065,0.17675381,0.04371677,0.02875947,0.00000000,0.01648066,0.14302421
-5.95197599,0.38344670,0.17701944,0.04334726,0.02745151,0.00000000,0.01696174,0.13867781
-5.94597299,0.37889079,0.17760933,0.04311206,0.02628276,0.00000000,0.01744949,0.13513740
-5.93996998,0.37522284,0.17834528,0.04296284,0.02523992,0.00000000,0.01791912,0.13223273
-5.93396698,0.37208416,0.17905779,0.04285356,0.02430858,0.00000000,0.01834767,0.12980138
-5.92796398,0.36913865,0.17959118,0.04274171,0.02347401,0.00000000,0.01871447,0.12769277
-5.92196098,0.36608319,0.17980832,0.04258946,0.02272195,0.00000000,0.01900160,0.12577183
-5.91595798,0.36265704,0.17959488,0.04236465,0.02203935,0.00000000,0.01919423,0.12392212
-5.90995498,0.35864973,0.17886288,0.04204163,0.02141510,0.00000000,0.01928088,0.12204833
-5.90395198,0.35390719,0.17755338,0.04160186,0.02084058,0.00000000,0.01925362,0.12007812
-5.89794897,0.34833585,0.17563816,0.04103427,0.02031013,0.00000000,0.01910810,0.11796325
-5.89194597,0.34190450,0.17312040,0.04033542,0.01982140,0.00000000,0.01884356,0.11567980
-5.88594297,0.33464386,0.17003416,0.03950931,0.01937546,0.00000000,0.01846264,0.11322775
-5.87993997,0.32664391,0.16644278,0.03856701,0.01897680,0.00000000,0.01797116,0.11062966
-5.87393697,0.31804895,0.16243625,0.03752602,0.01863318,0.00000000,0.01737781,0.10792863
-5.86793397,0.30905083,0.15812762,0.03640940,0.01835525,0.00000000,0.01669368,0.10518570
-5.86193097,0.29988041,0.15364854,0.03524475,0.01815613,0.00000000,0.01593187,0.10247654
-5.85592796,0.29079773,0.14914421,0.03406302,0.01805072,0.00000000,0.01510692,0.09988778
-5.84992496,0.28208119,0.14476790,0.03289726,0.01805507,0.00000000,0.01423434,0.09751304
-5.84392196,0.27401631,0.14067515,0.03178127,0.01818558,0.00000000,0.01333003,0.09544874
-5.83791896,0.26688429,0.13701802,0.03074831,0.01845816,0.00000000,0.01240984,0.09378989
-5.83191596,0.26095098,0.13393948,0.02982980,0.01888743,0.00000000,0.01148906,0.09262611
